Rank,Player,High School,Position,Height / Weight,Rating,Team
1,Andrew Wiggins,"Andrew WigginsHuntington Prep (Huntington, WV)",SF,6-8 / 195,100,Kansas
2,Julius Randle,"Julius RandlePrestonwood Christian (Dallas, TX)",PF,6-9 / 250,100,Kentucky
3,Andrew Harrison,"Andrew HarrisonFort Bend Travis (Richmond, TX)",PG,6-4 / 200,100,Kentucky
4,Aaron Gordon,"Aaron GordonArchbishop Mitty (San Jose, CA)",SF,6-8 / 210,100,Arizona
5,Aaron Harrison,"Aaron HarrisonFort Bend Travis (Richmond, TX)",SG,6-4 / 200,100,Kentucky
6,Jabari Parker,"Jabari ParkerSimeon (Chicago, IL)",SF,6-8 / 241,99,Duke
7,Chris Walker,"Chris WalkerHolmes County (Bonifay, FL)",PF,6-10 / 210,99,Florida
8,Dakari Johnson,"Dakari JohnsonMontverde Academy (Brooklyn, NY)",C,6-10 / 250,99,Kentucky
9,Kasey Hill,"Kasey HillMontverde Academy (Montverde, FL)",PG,6-1 / 175,99,Florida
10,James Young,"James YoungRochester (Flint, MI)",SF,6-6 / 200,99,Kentucky
11,Jarell Martin,"Jarell MartinMadison (Tallulah, LA)",SF,6-8 / 210,99,LSU
12,Wayne Selden,"Wayne SeldenTilton School (Tilton, NH)",SG,6-5 / 213,99,Kansas
13,Joel Embiid,"Joel EmbiidThe Rock School (Gainesville, FL)",C,7-0 / 245,99,Kansas
14,Marcus Lee,"Marcus LeeDeer Valley (Antioch, CA)",PF,6-9 / 215,99,Kentucky
15,Noah Vonleh,"Noah VonlehNew Hampton School (New Hampton, NH)",PF,6-9 / 220,99,Indiana
16,Isaac Hamilton,"Isaac HamiltonSt. John Bosco (Los Angeles, CA)",SG,6-5 / 180,98,UCLA
17,Terry Rozier,"Terry RozierHargrave Military Academy (HS) (Cleveland, OH)",PG,6-1 / 180,98,Louisville
18,Rondae Hollis-Jefferson,"Rondae Hollis-JeffersonChester (Chester, PA)",SF,6-7 / 215,98,Arizona
19,Isaiah Hicks,"Isaiah HicksJ F Webb (Oxford, NC)",PF,6-8 / 205,98,North Carolina
20,Roddy Peters,"Roddy PetersSuitland (District Heights, MD)",PG,6-4 / 190,98,Maryland
21,Robert Hubbs,"Robert HubbsDyer County (Newbern, TN)",SG,6-6 / 195,98,Tennessee
22,Sindarius Thornwell,"Sindarius ThornwellOak Hill Academy (Lancaster, SC)",SG,6-5 / 195,98,South Carolina
23,Semi Ojeleye,"Semi OjeleyeOttawa Sr (Ottawa, KS)",SF,6-7 / 215,98,Duke
24,Jermaine Lawrence,"Jermaine LawrencePope John XXIII (Bayside, NY)",SF,6-9 / 220,98,Cincinnati
25,Bobby Portis,"Bobby PortisHall (Little Rock, AR)",PF,6-10 / 225,98,Arkansas
26,Keith Frazier,"Keith FrazierKimball (Irving, TX)",SG,6-6 / 190,98,SMU
27,Brannen Greene,"Brannen GreeneTift County (Forsyth, GA)",SG,6-7 / 200,98,Kansas
28,Jabari Bird,"Jabari BirdSalesian (Richmond, CA)",SG,6-6 / 190,97,California
29,Austin Nichols,"Austin NicholsBriarcrest Christian (Memphis, TN)",PF,6-9 / 220,97,Memphis
30,Jordan Mickey,"Jordan MickeyGrace Preparatory Academy (Richardson, TX)",PF,6-8 / 225,97,LSU
31,Kuran Iverson,"Kuran IversonFishburne Military School (West Hartford, CT)",SF,6-9 / 215,97,Memphis
32,Eric Mika,"Eric MikaLone Peak (American Fork, UT)",C,6-9 / 215,97,Brigham Young
33,Nigel Williams-Goss,"Nigel Williams-GossFindlay Prep (Henderson, NV)",PG,6-3 / 185,97,Washington
34,Zak Irvin,"Zak IrvinHamilton Southeastern  (Fishers, IN)",SG,6-5 / 170,97,Michigan
35,Troy Williams,"Troy WilliamsOak Hill Academy (Hampton, VA)",SG,6-6 / 185,97,Indiana
36,Tyler Ennis,"Tyler EnnisSt. Benedict's Preparatory School (Newark, NJ)",PG,6-2 / 180,97,Syracuse
37,Mamadou Ndiaye,"Mamadou NdiayeBrethren Christian (Huntington Beach, CA)",C,7-5 / 320,97,UC Irvine
38,Tyler Roberson,"Tyler RobersonRoselle Catholic (Roselle, NJ)",SF,6-7 / 190,97,Syracuse
39,Anthony Barber,"Anthony BarberHampton (Hampton, VA)",PG,6-1 / 160,97,NC State
40,Moses Kingsley,"Moses KingsleyHuntington Prep (New Albany, MS)",C,6-9 / 250,97,Arkansas
41,Aquille Carr,"Aquille CarrPrinceton Day Academy (Baltimore, MD)",PG,5-7 / 150,96,N/A
42,Jajuan Johnson,"Jajuan JohnsonSouthwind (Memphis, TN)",SG,6-4 / 185,96,Marquette
43,Conner Frankamp,"Conner FrankampWichita North (Wichita, KS)",SG,6-1 / 165,96,Kansas
44,Christian Wood,"Christian WoodFindlay Prep (Henderson, NV)",PF,6-8 / 200,96,UNLV
45,Anthony January,"Anthony JanuaryCompton (Compton, CA)",SF,6-7 / 195,95,N/A
46,Brandon Austin,"Brandon AustinImhotep Institute (Philadelphia, PA)",SF,6-7 / 195,95,Providence
47,Johnathan Williams,"Johnathan WilliamsSouthwind (Memphis, TN)",PF,6-8 / 200,95,Missouri
48,Demetrius Jackson,"Demetrius JacksonMarian (Mishawaka, IN)",PG,6-2 / 185,95,Notre Dame
