Rank,Player,High School,Position,Height / Weight,Rating,Team
1,Anthony Davis,"Anthony DavisPerspectives Charter (Chicago, IL)",PF,6-10 / 220,100,Kentucky
2,Michael Kidd-Gilchrist,"Michael Kidd-GilchristSt. Patrick (Elizabeth, NJ)",SF,6-6 / 190,100,Kentucky
3,Austin Rivers,"Austin RiversWinter Park (Winter Park, FL)",PG,6-3 / 175,100,Duke
4,Bradley Beal,"Bradley BealChaminade (Saint Louis, MO)",SG,6-4 / 195,100,Florida
5,Quincy Miller,"Quincy MillerWestchester Country Day School (High Point, NC)",PF,6-8 / 193,100,Baylor
6,Marquis Teague,"Marquis TeaguePike (Indianapolis, IN)",PG,6-2 / 170,99,Kentucky
7,Adonis Thomas,"Adonis ThomasMelrose (Memphis, TN)",SF,6-6 / 205,99,Memphis
8,James Michael McAdoo,"James Michael McAdooNorfolk Christian  (Norfolk, VA)",PF,6-8 / 205,99,North Carolina
9,LeBryan Nash,"LeBryan NashLincoln (Dallas, TX)",SF,6-7 / 230,99,Oklahoma State
10,Kentavious Caldwell-Pope,"Kentavious Caldwell-PopeGreenville (Greenville, GA)",SG,6-6 / 187,99,Georgia
11,Cody Zeller,"Cody ZellerWashington (Washington, IN)",PF,6-11 / 215,99,Indiana
12,P.J. Hairston,"P.J. HairstonHargrave Military Academy (HS) (Chatham, VA)",SG,6-4 / 230,99,North Carolina
13,Josiah Turner,"Josiah TurnerMet Sacramento Charter (Sacramento, CA)",PG,6-3 / 175,99,Arizona
14,Myck Kabongo,"Myck KabongoFindlay Prep (Henderson, NV)",PG,6-2 / 160,99,Texas
15,Jabari Brown,"Jabari BrownOakland (Oakland, CA)",SG,6-4 / 205,99,Oregon
16,DeAndre Daniels,"DeAndre DanielsIMG Academy (Bradenton, FL)",SF,6-8 / 180,98,Connecticut
17,Chane Behanan,"Chane BehananBowling Green (Bowling Green, KY)",PF,6-6 / 250,98,Louisville
18,Dorian Finney-Smith,"Dorian Finney-SmithI.C. Norcom (Portsmouth, VA)",SF,6-7 / 189,98,Virginia Tech
19,Michael Carter-Williams,"Michael Carter-WilliamsHamilton-wenham Reg (South Hamilton, MA)",SG,6-4 / 175,98,Syracuse
20,Branden Dawson,"Branden DawsonLew Wallace (Gary, IN)",SF,6-6 / 200,98,Michigan State
21,Kyle Wiltjer,"Kyle WiltjerJesuit (Portland, OR)",PF,6-9 / 225,98,Kentucky
22,Rakeem Christmas,"Rakeem ChristmasAcademy Of The New Church Boys School (Bryn Mawr, PA)",C,6-8 / 200,98,Syracuse
23,B.J. Young,"B.J. YoungMcCluer North (Florissant, MO)",SG,6-3 / 170,98,Arkansas
24,Michael Gbinije,"Michael GbinijeBenedictine (Richmond, VA)",SF,6-6 / 194,98,Duke
25,Khem Birch,"Khem BirchNotre Dame Academy (Worcester, MA)",PF,6-8 / 210,98,UNLV
26,Nick Johnson,"Nick JohnsonFindlay Prep (Henderson, NV)",SG,6-2 / 175,97,Arizona
27,Jahii Carson,"Jahii CarsonMesa (Mesa, AZ)",PG,5-10 / 170,97,Arizona State
28,D'Angelo Harrison,"D'Angelo HarrisonDulles (Sugar Land, TX)",SG,6-3 / 186,97,St. John's
29,Shannon Scott,"Shannon ScottNorcross (Norcross, GA)",PG,6-2 / 175,97,Ohio State
30,Wayne Blackshear,"Wayne BlackshearMorgan Park (Chicago, IL)",SG,6-5 / 215,97,Louisville
31,Tony Wroten,"Tony WrotenGarfield (Seattle, WA)",SG,6-4 / 195,97,Washington
32,Quinn Cook,"Quinn CookOak Hill Academy (Mouth Of Wilson, VA)",PG,6-1 / 180,97,Duke
33,Otto Porter,"Otto PorterScott Co. Central (Sikeston, MO)",PF,6-8 / 190,97,Georgetown
34,Malcolm Gilbert,"Malcolm GilbertAcademy Of The New Church Boys School (Bryn Mawr, PA)",C,6-11 / 230,97,Pittsburgh
35,Ben McLemore,"Ben McLemoreEskridge (Saint Louis, MO)",SG,6-5 / 185,97,Kansas
