Rank,Player,High School,Position,Height / Weight,Rating
1141,Nate Watson,N/A,C,6-8 / 220,91
1151,Tristan Clark,N/A,PF,6-9 / 230,91
1161,DeAundrae Ballard,N/A,SF,6-6 / 170,91
1171,Tyler Bey,N/A,PF,6-8 / 200,91
1181,Jamorko Pickett,N/A,SF,6-9 / 215,90
1191,Mayan Kiir,N/A,PF,6-9 / 220,90
1201,Kevin Samuel,N/A,C,6-10 / 220,90
1211,Kobe King,N/A,SG,6-3 / 175,90
1221,Galen Alexander,N/A,SF,6-6 / 215,90
1231,Alex Barcello,N/A,PG,6-2 / 165,90
1241,Jack Nunge,N/A,PF,6-9 / 185,90
1251,Jase Febres,N/A,SG,6-5 / 180,90
1261,Mitchell Ballock,N/A,SG,6-5 / 185,90
1271,Kyle Young,N/A,SF,6-6 / 205,90
1281,Brad Davison,N/A,PG,6-3 / 190,90
1291,Isaiah Stokes,N/A,PF,6-8 / 270,90
1301,Devontae Shuler,N/A,SG,6-3 / 180,90
1311,Davide Moretti,N/A,CG,6-2 / -,90
1321,Theo John,N/A,PF,6-8 / 210,90
1331,Terrence Lewis,N/A,SF,6-6 / 195,90
1341,Jordan Usher,N/A,SG,6-5 / 180,89
1351,Thomas Allen,N/A,SG,6-2 / 180,89
1361,Donnie Tillman,N/A,PF,6-7 / 225,89
1371,Brandon Knapper,N/A,PG,6-0 / 160,89
1381,Sam Waardenburg,N/A,PF,6-9 / 205,89
1391,William Douglas,N/A,PG,6-5 / 175,89
1401,RaiQuan Gray,N/A,PF,6-8 / 240,89
1411,Ejike Obinna,N/A,C,6-9 / 220,89
1421,Remy Martin,N/A,PG,5-11 / 170,89
1431,J.P. Moorman,N/A,SF,6-7 / 205,89
1441,Chris Smith,N/A,SF,6-8 / 190,89
1451,Garrison Brooks,N/A,PF,6-9 / 215,89
1461,Mark Smith,N/A,SG,6-5 / 225,89
1471,Clifton Moore,N/A,PF,6-10 / 202,89
1481,Trent Frazier,N/A,PG,6-2 / 170,89
1491,Aaron Wheeler,N/A,SF,6-8 / 200,89
1501,Elias Harden,N/A,SG,6-6 / 175,89
1511,Deng Gak,N/A,C,6-11 / 209,89
1521,Victor Bailey,N/A,PG,6-3 / 165,89
1531,Branden Carlson,N/A,PF,6-9 / 200,89
1541,Darius McNeill,N/A,SG,6-2 / 165,89
1551,Zack Dawson,N/A,PG,6-4 / 180,89
1561,David Nickelberry,N/A,SF,6-7 / 205,89
1571,Christian Popoola,N/A,CG,6-3 / 180,89
1581,Jamal Johnson,N/A,CG,6-4 / 170,89
1591,Greg Elliott,N/A,SG,6-3 / 165,89
1601,Matur Maker,N/A,PF,6-10 / 200,89
1611,A.J. Oliver,N/A,SG,6-4 / 175,89
1621,Chase Johnson,N/A,PF,6-8 / 205,89
1631,R.J. Nembhard,N/A,SG,6-4 / 175,89
1641,Christian David,N/A,SG,6-5 / 185,89
1651,Corey Kispert,N/A,SF,6-6 / 190,89
1661,Malik Ondigo,N/A,C,6-11 / -,89
1671,Marcus Carr,N/A,PG,6-2 / 170,89
1681,McKinley Wright,N/A,PG,6-0 / 180,89
1691,Cheikh Mbacke Diong,N/A,PF,6-10 / 225,89
1701,Jordan Schakel,N/A,SG,6-5 / 180,89
1711,Goanar Mar,N/A,PF,6-7 / 190,89
1721,Nicolas Claxton,N/A,SF,6-9 / 195,89
1731,Victor Uyaelunmo,N/A,C,7-0 / 210,89
1741,Andrew Platek,N/A,SG,6-4 / 190,89
1751,Isaiah Livers,N/A,PF,6-8 / 220,89
1761,Al Durham,N/A,PG,6-4 / 175,89
1771,Zach Kent,N/A,C,6-10 / 235,89
1781,Jose Alvarado,N/A,PG,6-0 / 160,89
1791,Jordan Walker,N/A,PG,5-10 / 160,89
1801,Khalil Garland,N/A,SG,6-6 / 195,89
1811,Nate Pierre-Louis,N/A,PG,6-3 / 175,89
1821,Eli Brooks,N/A,PG,6-1 / 170,89
1831,LiAngelo Ball,N/A,SG,6-5 / 220,89
1841,Sean Mobley,N/A,PF,6-9 / 225,89
1851,Chris Duarte,N/A,SG,6-5 / 175,88
1861,Tyler Polley,N/A,PF,6-7 / 190,88
1871,Fatts Russell,N/A,PG,5-10 / 150,88
1881,Juhwan Harris-Dyson,N/A,SG,6-4 / 190,88
1891,Aaron Thompson,N/A,PG,6-1 / 160,88
1901,Malik William,N/A,PF,6-8 / 200,88
1911,Marco Anthony,N/A,CG,6-6 / 220,88
1921,Brady Manek,N/A,PF,6-7 / 205,88
1931,Jerald Butler,N/A,PG,6-4 / 210,88
1941,Evan Battey,N/A,PF,6-6 / 280,88
1951,Teddy Allen,N/A,SG,6-5 / 215,88
1961,Abu Kigab,N/A,SF,6-7 / 190,88
1971,Anthony Polite,N/A,SG,6-6 / 210,88
1981,Dajour Dickens,N/A,C,7-0 / 205,88
1991,C.J. Roberts,N/A,PG,6-2 / 178,88
2001,Cooper Neese,N/A,PG,6-3 / 170,88
2011,Jared Ridder,N/A,SF,6-5 / 180,88
2021,Royce Hamm,N/A,PF,6-8 / 214,88
2031,Mike Okauru,N/A,PG,6-3 / 180,88
2041,Boubacar Diakite,N/A,SF,6-8 / 185,88
2051,Justice Sueing,N/A,PF,6-7 / 205,88
2061,Curtis Hollis,N/A,SF,6-5 / 180,88
2071,Alonzo Verge Jr.,N/A,PG,6-3 / 160,87
2081,Alfred Hollins,N/A,SF,6-6 / 185,87
2091,Melo Eggleston,N/A,SF,6-8.5 / 180,87
2101,Da'Monte Williams,N/A,PG,6-2 / 180,87
2111,Shamiel Stevenson,N/A,SF,6-6 / 230,87
2121,Elijah Landrum,N/A,PG,6-0 / 170,87
2131,Walter Whyte,N/A,SF,6-5 / 180,87
2141,KeyShawn Feazell,N/A,PF,6-9 / 225,87
2151,Wyatt Wilkes,N/A,PF,6-7 / 200,87
2161,Parker Stewart,N/A,SG,6-5 / 185,87
2171,Matt Turner,N/A,CG,6-4 / 170,87
2181,Josh Carlton,N/A,C,6-9 / 200,87
2191,Chris Yannick Sodom,N/A,C,7-3 / 225,87
2201,Sterling Manley,N/A,PF,6-10 / 230,87
2211,Maxwell Evans,N/A,CG,6-2 / 165,87
2221,Zhaire Smith,N/A,SG,6-5 / 180,87
2231,Jordan Davis,N/A,SG,6-4 / 180,87
2241,Jahvon Blair,N/A,SG,6-3 / 170,87
2251,Marcus Santos-Silva,N/A,PF,6-7 / 265,87
2262,Mamoudou Diarra,N/A,SF,6-9 / 205,87
2272,Jatrious Smith,N/A,SF,6-4 / 190,87
2282,Adam Seiko,N/A,SG,6-0 / 175,87
2292,Justyn Hamilton,N/A,PF,6-10 / 190,87
2302,Amauri Hardy,N/A,PG,6-1 / 175,87
2312,Jamir Moultrie,N/A,PG,6-1 / 165,87
2322,Geo Baker,N/A,CG,6-2 / -,87
2332,Paul Reed,N/A,SF,6-5 / 170,87
