Year,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2014,16,Travis Bader,OAKL,33,37.6,20.6,5.6,14.5,.386,4.5,10.9,.408,5.0,5.3,.943,0.3,2.5,2.8,1.4,0.9,0.1,1.3,3.0
2014,17,Sean Kilpatrick,CINCY,34,33.8,20.6,6.3,14.9,.423,2.7,7.9,.348,5.3,6.3,.845,1.1,3.2,4.3,2.5,1.4,0.0,2.1,1.4
2014,18,Alan Williams,UCSB,29,30.1,20.6,7.7,14.5,.532,0.0,0.0,.000,5.1,7.4,.685,3.7,7.5,11.2,1.1,1.1,2.3,2.0,2.9
2014,19,Cameron Bairstow,UNM,34,32.9,20.4,7.0,12.5,.556,0.0,0.1,.333,6.4,8.8,.735,2.2,5.1,7.4,1.6,0.6,1.5,2.0,2.1
2014,20,Denzel Livingston,UIW,27,32.5,20.3,6.4,12.9,.501,2.0,5.0,.397,5.4,7.0,.772,1.4,4.9,6.4,3.7,2.5,1.4,2.7,2.0
2014,21,Keifer Sykes,UWGB,30,34.3,20.3,6.5,13.9,.469,1.0,3.2,.309,6.3,7.7,.810,0.7,3.7,4.4,4.9,1.2,0.0,2.1,1.7
2014,22,Reger Dowell,UTA,30,30.9,20.3,6.5,16.0,.405,3.2,9.0,.354,4.1,5.4,.765,0.3,2.2,2.5,2.2,0.7,0.1,2.5,2.5
2014,23,Andrew Rowsey,UNCA,32,36.1,20.3,6.3,14.7,.429,3.3,8.2,.405,4.3,5.2,.836,0.4,3.3,3.7,2.9,1.3,0.1,3.2,2.0
2014,24,Jordan Downing,PRSBY,32,37.2,20.2,7.3,16.9,.434,2.5,6.8,.367,3.0,3.7,.815,0.7,3.8,4.5,1.9,1.0,0.4,2.3,2.1
2014,25,Stephen Madison,IDAHO,34,34.5,20.1,6.4,13.4,.477,1.1,3.5,.325,6.1,8.1,.760,2.1,5.6,7.6,2.4,1.0,0.5,2.7,3.0
2014,26,D.J. Covington,VMI,35,29.7,20.1,7.7,12.9,.593,0.0,0.1,.000,4.8,6.9,.697,2.7,6.6,9.3,0.8,1.0,3.0,2.1,3.1
2014,27,Deonte Burton,UNR,32,38.6,20.1,6.7,14.3,.471,1.5,4.9,.314,5.1,6.9,.742,0.4,3.9,4.3,4.4,1.5,0.5,2.0,2.2
2014,28,Jabari Brown,MZZOU,35,37.1,19.9,5.8,12.4,.467,2.3,5.6,.410,6.1,7.6,.797,0.5,3.9,4.4,1.9,0.6,0.1,2.3,1.6
2014,29,Zeke Upshaw,HOF,33,36.5,19.8,6.0,14.8,.403,2.8,7.9,.349,5.2,6.8,.756,1.0,3.2,4.2,1.8,0.8,0.2,2.8,2.1
2014,30,Karvel Anderson,RMU,36,30.6,19.7,6.9,13.5,.510,3.3,7.1,.463,2.6,3.1,.841,0.8,2.6,3.3,1.4,1.3,0.2,1.2,2.0
