Year,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2015,33,Lawrence Alexander,NDSU,33,38.5,18.9,6.2,14.3,.430,3.2,7.2,.441,3.5,4.3,.809,0.4,4.1,4.5,1.7,0.9,0.2,2.0,1.4
2015,34,Frank Kaminsky,UWISC,39,33.6,18.8,6.8,12.5,.547,1.1,2.6,.416,4.0,5.1,.780,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7
2015,35,Dyami Starks,BRYNT,31,38.2,18.6,6.0,16.0,.377,3.2,9.2,.343,3.4,3.7,.913,0.5,2.9,3.4,1.5,0.9,0.2,2.1,1.9
2015,36,Keifer Sykes,UWGB,33,35.1,18.6,6.5,14.3,.452,1.4,4.5,.311,4.3,5.5,.780,0.8,3.7,4.5,3.9,1.7,0.2,2.2,2.2
2015,37,Corey Walden,EKU,32,34.6,18.6,6.2,11.3,.547,1.6,4.4,.364,4.6,5.6,.817,0.8,3.1,4.0,3.8,3.1,0.2,2.2,2.5
2015,38,Keon Moore,WIN,32,33.1,18.5,5.9,13.3,.443,3.2,7.3,.432,3.6,4.2,.859,0.8,4.4,5.2,1.8,1.4,0.3,1.8,1.9
2015,39,K.T. Harrell,AUB,35,33.0,18.5,5.5,12.2,.453,2.8,6.5,.434,4.6,5.7,.814,0.9,2.1,3.0,1.5,0.9,0.1,2.5,2.3
2015,40,Maodo Lo,COM,28,34.2,18.4,6.5,13.2,.489,3.0,7.0,.431,2.5,3.3,.769,0.5,3.9,4.4,2.3,1.5,0.6,2.5,2.2
2015,41,Craig Bradshaw,BLMNT,30,31.7,18.3,6.6,13.4,.491,2.7,6.5,.423,2.5,3.3,.747,0.5,3.4,3.8,3.1,1.6,0.4,3.1,2.1
2015,42,Zaid Hearst,QUIN,30,36.9,18.3,6.6,15.2,.432,1.3,4.8,.278,3.8,5.0,.772,2.3,3.8,6.1,2.5,0.5,0.3,2.2,2.2
2015,43,Obi Emegano,ORU,34,34.4,18.3,5.7,12.8,.447,0.9,2.2,.387,6.0,7.6,.788,0.8,3.9,4.7,2.2,1.7,0.2,2.6,2.1
2015,44,Ryan Harrow,GAST,29,31.8,18.3,7.2,14.2,.504,1.5,3.8,.394,2.4,3.4,.717,0.4,1.7,2.1,3.6,1.4,0.1,1.9,1.5
2015,45,Terran Petteway,UNL,31,35.0,18.2,5.9,15.0,.396,2.2,7.0,.313,4.1,5.8,.711,0.5,4.4,4.9,2.8,1.1,0.9,3.4,3.0
2015,46,Kay Felder,OAKL,33,38.5,18.1,5.5,13.2,.422,1.4,4.2,.338,5.6,6.8,.826,0.8,4.0,4.8,7.6,2.0,0.2,4.2,2.5
2015,47,Ashton Moore,CTDL,30,37.6,18.0,5.8,14.0,.412,2.6,6.9,.383,3.9,4.5,.859,0.5,2.7,3.2,3.6,1.0,0.2,3.4,1.5
2015,48,Ladarius Tabb,AAMU,28,33.1,17.9,6.8,15.0,.451,1.6,5.7,.289,2.7,4.4,.605,3.3,4.5,7.8,0.7,1.3,0.1,1.8,2.9
2015,49,DeAndre' Bembry,STJOE,31,38.6,17.7,6.4,14.9,.432,1.6,4.9,.327,3.3,5.2,.638,1.6,6.2,7.7,3.6,1.9,0.9,2.9,2.4
2015,50,Chris Hansen,IDHST,30,33.3,17.7,5.2,13.0,.404,2.7,7.0,.383,4.6,5.5,.836,0.4,3.0,3.4,2.3,1.3,0.0,2.0,1.5
2015,51,Jelani Hewitt,GASO,31,35.1,17.6,4.8,13.7,.351,2.9,8.6,.335,5.1,6.4,.807,1.0,3.2,4.2,3.7,2.5,0.3,2.6,1.8
2015,52,Justin Moss,BUFF,33,30.0,17.5,6.2,11.8,.521,0.0,0.1,.000,5.2,7.2,.730,2.8,6.4,9.2,0.6,1.0,0.8,2.2,3.0
2015,53,Marcus Burton,WAGNR,29,33.8,17.5,6.0,15.0,.401,2.1,6.6,.321,3.4,4.2,.811,0.5,2.1,2.7,1.6,1.1,0.0,2.3,2.0
2015,54,Kyle Wilson,USMA,29,32.4,17.5,5.9,15.3,.384,2.6,7.6,.338,3.2,4.0,.786,0.5,2.4,2.9,1.9,0.8,0.1,2.7,1.8
2015,55,Damon Lynn,NJIT,33,36.5,17.5,5.5,15.1,.365,3.8,10.6,.360,2.7,3.5,.772,0.5,2.5,3.0,3.7,1.8,0.1,2.8,2.0
2015,56,D'Angelo Harrison,STJ,33,34.8,17.5,5.4,13.0,.415,2.0,5.4,.369,4.7,5.9,.799,1.2,4.3,5.5,1.9,1.1,0.4,1.7,3.5
2015,57,Martez Harrison,UMKC,33,32.0,17.5,5.3,13.6,.393,1.4,5.1,.280,5.4,7.2,.748,0.6,1.8,2.4,3.9,1.8,0.0,2.6,2.7
2015,58,Rakeem Christmas,SYRA,31,34.3,17.5,6.5,11.9,.552,0.0,0.0,.000,4.4,6.2,.712,3.1,5.9,9.0,1.5,0.9,2.5,2.5,3.4
2015,59,Bobby Portis,ARK,36,29.9,17.5,6.9,12.9,.536,0.4,0.8,.467,3.2,4.3,.737,3.7,5.2,8.9,1.2,1.1,1.4,1.6,2.2
2015,60,Marcel Mosley,UAPB,28,35.6,17.5,5.2,12.9,.403,2.5,6.5,.381,4.6,5.7,.818,0.8,2.1,2.9,2.6,2.1,0.0,3.5,1.9
2015,61,"Juwan Howard, Jr.",UDM,33,31.6,17.5,6.3,14.5,.434,1.9,4.8,.408,2.9,3.4,.850,1.1,3.0,4.1,2.4,0.9,0.3,2.1,2.0
2015,62,Buddy Hield,OKLA,35,32.4,17.4,5.9,14.2,.412,2.7,7.4,.359,3.1,3.7,.823,1.6,3.8,5.4,1.9,1.3,0.2,1.9,1.7
2015,63,Jermaine Ruttley,FAMU,29,33.0,17.4,6.2,13.8,.451,1.1,3.9,.295,3.8,5.6,.679,1.4,5.3,6.7,2.1,1.6,0.1,2.4,3.0
2015,64,Ryan Boatright,UConn,34,35.8,17.4,5.4,12.6,.423,2.5,6.1,.411,4.2,4.9,.850,0.4,3.6,4.1,3.8,1.4,0.2,2.4,1.9
2015,65,Evan Payne,LOYMR,28,27.3,17.4,5.7,12.9,.443,1.3,3.8,.352,4.6,5.8,.791,0.8,2.0,2.7,1.6,0.8,0.2,2.3,1.5
2015,66,Jahlil Okafor,DUKE,38,30.1,17.3,7.3,11.1,.664,0.0,0.0,.000,2.6,5.1,.510,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1
2015,67,Daniel Trist,LAFAY,33,27.0,17.3,7.0,12.1,.576,0.0,0.0,.000,3.3,4.3,.780,2.3,4.4,6.7,1.3,0.4,0.7,2.3,2.2
2015,68,Alan Williams,UCSB,26,32.6,17.3,6.2,13.4,.458,0.0,0.1,.000,5.0,6.5,.768,3.3,8.5,11.8,1.7,1.2,1.8,2.0,2.7
2015,69,Desharick Guidry,MCNST,31,35.2,17.3,6.3,12.9,.488,1.2,3.2,.374,3.5,4.9,.715,4.4,6.8,11.2,1.6,1.3,0.6,2.1,2.8
2015,70,Stephen Croone,FRMN,31,32.0,17.3,5.0,11.2,.448,1.8,5.1,.348,5.5,7.3,.752,0.8,3.8,4.7,2.6,1.6,0.2,2.4,2.5
2015,71,Dennis Mavin,FIU,33,35.6,17.2,6.0,13.7,.438,0.9,3.0,.313,4.3,6.7,.643,0.8,4.5,5.3,3.1,1.2,0.0,3.6,1.4
2015,72,Quincy Taylor,LONG,31,36.0,17.2,6.1,14.0,.434,2.8,5.8,.480,2.3,3.2,.735,0.4,2.5,3.0,2.7,1.3,0.2,3.0,2.4
2015,73,Matt Mobley,CCSU,31,37.0,17.2,5.5,13.8,.400,2.4,6.7,.357,3.8,5.0,.756,0.5,2.3,2.8,1.8,0.8,0.2,2.7,2.1
2015,74,Jordan Price,LASAL,33,31.9,17.2,5.5,14.1,.387,2.1,6.2,.340,4.2,5.3,.799,0.5,3.4,3.9,2.3,0.8,0.2,3.1,2.8
2015,75,Le'Bryan Nash,OKST,31,31.7,17.2,5.7,12.4,.462,0.1,0.6,.100,5.6,7.1,.791,1.2,4.5,5.7,2.0,0.8,0.9,3.2,3.0
2015,76,Askia Booker,COLO,31,30.2,17.2,5.6,14.4,.387,1.8,5.4,.329,4.2,5.1,.834,0.5,2.8,3.3,3.2,1.4,0.1,2.3,1.8
2015,77,Tyrone Wallace,Cal,33,34.9,17.1,6.3,14.8,.425,0.8,2.7,.318,3.6,6.0,.606,0.9,6.2,7.1,4.0,1.3,0.3,2.8,2.8
2015,78,Terry Rozier,LVILL,36,35.0,17.1,5.9,14.5,.411,1.3,4.4,.306,3.9,4.9,.790,1.2,4.4,5.6,3.0,2.0,0.2,2.2,1.7
2015,79,T.J. Price,WKU,32,33.4,17.1,5.5,12.3,.443,2.5,6.1,.413,3.6,4.4,.816,0.7,4.7,5.3,4.0,0.9,0.1,2.6,2.7
2015,80,Juan'ya Green,HOF,34,36.4,17.1,4.6,12.2,.382,1.8,5.4,.335,6.0,7.2,.825,0.5,3.8,4.3,6.5,1.4,0.3,2.5,2.1
2015,81,Jordan Gregory,MONT,33,36.0,17.0,5.3,13.2,.403,2.6,6.9,.382,3.7,4.7,.799,0.5,2.8,3.4,3.2,0.6,0.0,2.1,1.6
2015,82,Johnny Dee,SAND,31,31.1,17.0,5.4,12.6,.428,2.6,6.8,.379,3.6,4.0,.919,0.4,3.1,3.5,1.3,1.2,0.1,1.0,1.5
2015,83,Isiah Umipig,SEA,34,34.0,17.0,5.2,12.9,.405,3.6,8.6,.418,2.9,3.4,.845,0.4,2.8,3.1,2.9,1.3,0.0,2.1,2.1
2015,84,E.C. Matthews,URI,32,32.9,16.9,5.4,13.1,.410,2.1,6.5,.325,4.1,5.5,.734,1.1,3.5,4.6,2.0,0.8,0.5,3.6,2.1
2015,85,DaVonte Lacy,WSU,31,32.4,16.9,5.1,12.5,.406,2.2,6.6,.330,4.5,5.9,.770,0.7,1.9,2.6,2.1,0.6,0.1,1.8,2.2
2015,86,Jarell Martin,LSU,33,35.1,16.9,6.1,12.0,.509,0.4,1.6,.269,4.2,6.2,.690,3.0,6.3,9.2,1.8,1.2,0.7,2.8,2.8
2015,87,Josh Williams,LIP,31,31.5,16.9,5.7,11.9,.480,2.2,5.7,.392,3.3,4.5,.732,1.6,3.3,4.9,2.0,1.4,0.2,2.3,2.8
2015,88,C.J. Carter,OMAHA,29,34.3,16.9,6.1,13.4,.454,1.7,5.1,.322,3.1,4.4,.709,0.4,1.9,2.3,2.7,1.5,0.7,2.9,2.4
2015,89,Trey Freeman,ODU,35,32.3,16.9,6.3,14.3,.440,1.3,3.8,.356,2.9,4.0,.729,0.6,3.8,4.3,3.6,1.3,0.1,1.7,1.5
2015,90,Janari Joesaar,UTRGV,31,34.0,16.9,5.1,11.0,.460,2.0,5.3,.378,4.7,5.8,.817,2.2,4.5,6.6,2.4,1.3,0.6,2.8,2.6
2015,91,Shonn Miller,COR,30,31.3,16.8,5.6,12.9,.434,0.9,3.5,.269,4.7,5.6,.834,0.9,7.5,8.5,1.0,1.3,1.8,1.8,2.9
2015,92,Kyle Wiltjer,ZAGS,38,27.6,16.8,6.4,11.8,.540,1.8,3.8,.466,2.3,2.9,.789,1.3,4.8,6.2,1.9,0.5,0.7,1.1,1.6
2015,93,Alec Peters,VAL,34,30.6,16.8,5.7,11.7,.489,2.4,5.2,.466,2.9,3.4,.829,1.9,4.8,6.7,1.2,0.7,0.3,1.4,2.0
2015,94,Raven Lee,EMICH,35,28.0,16.7,5.4,12.3,.443,2.0,5.5,.361,3.9,4.9,.795,0.7,1.2,1.9,1.5,1.4,0.2,2.9,2.2
2015,95,Venky Jois,EWASH,31,31.2,16.7,6.8,11.1,.610,0.1,0.3,.300,3.1,5.7,.540,2.6,5.0,7.7,2.0,1.2,2.2,2.3,2.4
2015,96,J.J. Avila,COLST,31,32.1,16.7,6.6,12.0,.552,0.3,1.2,.243,3.1,4.9,.634,2.9,4.5,7.5,2.8,2.0,0.4,2.7,2.6
2015,97,Martin Breunig,MONT,32,30.1,16.7,6.7,11.3,.593,0.1,0.4,.154,3.3,4.4,.738,2.6,4.7,7.3,1.9,0.5,0.8,2.4,3.4
2015,98,Marcus Posley,STBN,31,35.9,16.7,5.5,14.4,.382,2.5,7.6,.322,3.3,4.2,.783,0.5,2.5,2.9,2.1,1.2,0.0,2.1,2.3
2015,99,James Daniel,HWRD,30,32.4,16.7,4.7,13.8,.338,2.3,7.9,.286,5.1,6.2,.817,0.5,1.7,2.2,2.7,1.8,0.0,3.6,1.9
2015,100,Tyler Kalinoski,DAV,32,34.8,16.7,6.0,12.8,.466,2.8,6.7,.423,1.9,2.4,.789,1.5,4.2,5.7,4.1,1.2,0.4,1.4,2.7
2016,1,James Daniel,HWRD,30,37.2,27.1,7.5,19.4,.388,2.7,8.0,.332,9.3,11.0,.846,0.7,1.5,2.2,2.8,2.0,0.2,4.1,2.1
2016,2,Buddy Hield,OKLA,37,35.4,25.0,8.1,16.2,.501,4.0,8.7,.457,4.8,5.4,.880,1.2,4.5,5.7,2.0,1.1,0.5,3.1,2.1
2016,3,Kay Felder,OAKL,35,36.7,24.4,7.7,17.5,.440,2.2,6.1,.355,6.8,8.1,.848,0.7,3.5,4.3,9.3,2.0,0.2,3.4,3.0
2016,4,Josh Adams,UWYOM,31,36.3,24.2,7.1,16.1,.442,3.2,8.4,.378,6.8,8.3,.821,0.6,5.0,5.6,4.3,1.4,0.6,3.7,2.8
2016,5,Stefan Moody,MISS,31,34.6,23.6,6.7,16.4,.409,3.3,8.8,.379,6.8,8.3,.828,1.0,2.2,3.2,4.3,1.5,0.1,3.8,2.4
2016,6,Cat Barber,NCST,33,38.7,23.5,7.5,17.3,.434,1.3,3.6,.361,7.2,8.3,.865,0.6,3.9,4.6,4.5,0.6,0.1,2.6,2.2
2016,7,Jack Gibbs,DAV,31,35.5,23.4,7.8,18.2,.431,2.6,7.9,.332,5.1,6.1,.840,0.9,3.2,4.1,4.9,1.8,0.1,3.2,1.9
2016,8,Cane Broome,HEART,30,37.5,23.1,7.9,17.7,.445,2.2,7.1,.311,5.2,6.8,.768,0.6,4.4,4.9,2.9,1.7,0.0,3.8,2.4
2016,9,Obi Emegano,ORU,29,35.4,23.1,7.2,16.7,.434,1.8,4.6,.381,6.8,8.0,.853,1.0,4.2,5.1,1.8,1.1,0.3,1.8,2.4
2016,10,A.J. English III,IONA,28,35.9,22.6,6.8,15.7,.433,3.4,9.1,.370,5.6,6.8,.836,0.5,4.5,5.0,6.2,1.6,0.5,3.6,2.1
2016,11,Zeek Woodley,NSU,28,33.0,22.2,7.7,14.5,.531,2.0,5.0,.407,4.8,5.4,.887,1.7,3.5,5.2,1.6,1.0,0.6,2.0,2.4
2016,12,Kevin Punter,TENN,26,34.1,22.2,6.8,14.8,.460,2.2,6.0,.369,6.3,7.8,.817,0.2,3.3,3.5,3.5,1.4,0.2,2.5,2.8
2016,13,Trey Freeman,ODU,38,35.1,22.1,8.5,19.8,.429,1.3,3.8,.349,3.7,4.5,.829,0.6,3.7,4.2,3.0,1.0,0.1,1.3,1.8
2016,14,Elijah Brown,UNM,32,33.7,21.7,6.1,14.2,.428,2.8,7.1,.394,6.8,8.0,.851,0.7,4.8,5.5,3.2,1.1,0.1,3.4,2.0
2016,15,Grayson Allen,DUKE,36,36.6,21.6,6.6,14.3,.466,2.5,6.0,.417,5.9,7.0,.837,0.7,3.9,4.6,3.5,1.3,0.1,2.0,2.7
2016,16,Marcus Evans,RICE,32,33.5,21.5,7.0,14.8,.472,1.7,5.3,.310,5.8,7.3,.798,0.9,3.1,4.0,2.8,2.2,0.2,3.1,2.9
2016,17,Ben Bentil,PROV,35,34.2,21.1,7.0,15.2,.462,1.5,4.5,.329,5.5,7.1,.782,2.7,5.0,7.7,1.1,0.9,1.0,1.9,2.8
2016,18,Austin McBroom,EWASH,33,37.4,21.0,6.4,14.8,.434,3.5,8.7,.402,4.6,5.6,.832,0.6,1.9,2.5,3.7,1.1,0.0,2.8,1.6
2016,19,Andrew Andrews,UWASH,34,33.8,20.9,5.3,13.6,.393,2.3,5.6,.401,8.0,9.4,.850,1.5,4.3,5.7,4.9,1.4,0.0,2.8,2.8
2016,20,Marvelle Harris,FRSNO,35,36.7,20.7,6.9,16.8,.407,1.9,5.8,.325,5.1,6.8,.752,0.5,4.1,4.7,4.5,2.2,0.6,2.2,2.9
2016,21,Jared Brownridge,SCU,31,35.8,20.6,6.3,15.8,.397,2.9,7.6,.386,5.1,6.2,.832,0.4,2.8,3.2,2.3,0.7,0.2,1.9,2.2
2016,22,D.J. Balentine,UE,34,37.1,20.5,7.1,16.0,.442,1.7,5.0,.339,4.7,6.0,.784,0.8,2.6,3.3,4.4,0.7,0.3,2.7,1.7
2016,23,Georges Niang,IWAST,35,33.2,20.5,8.1,14.8,.546,1.6,4.1,.392,2.7,3.4,.807,1.3,4.9,6.2,3.3,0.9,0.6,2.6,3.2
2016,24,Kyle Wiltjer,ZAGS,36,33.6,20.4,7.2,14.7,.491,2.5,5.7,.437,3.5,4.1,.857,1.7,4.6,6.3,1.5,0.4,0.8,2.1,1.8
2016,25,Khallid Hart,MRST,28,36.5,20.3,5.9,13.2,.444,2.6,6.7,.383,6.0,7.2,.841,0.4,2.3,2.6,2.1,1.5,0.1,2.3,2.3
2016,26,Cameron Morse,YSU,30,33.5,20.3,6.7,14.2,.471,2.1,5.2,.413,4.7,5.8,.811,0.3,2.4,2.7,3.1,1.5,0.1,1.7,1.6
2016,27,Devin Watson,SANFR,30,34.7,20.3,6.4,15.3,.418,2.2,6.2,.349,5.3,7.2,.733,0.3,2.2,2.5,4.9,0.9,0.0,3.0,1.8
2016,28,Pascal Siakam,NMSU,34,34.6,20.2,8.1,15.0,.538,0.1,0.4,.200,4.0,5.9,.678,3.9,7.7,11.6,1.7,1.0,2.2,2.0,2.7
2016,29,DeSean Murray,PRSBY,31,29.1,20.2,7.5,13.8,.543,0.0,0.2,.000,5.3,6.8,.773,2.4,5.0,7.4,1.7,2.0,0.5,3.1,3.0
2016,30,Ethan Telfair,IDHST,31,35.7,20.2,5.8,14.5,.398,2.0,5.3,.387,6.6,7.6,.869,0.9,3.1,4.0,5.4,2.4,0.1,3.6,2.5
2016,31,Jordan Howard,UCA,28,34.9,20.2,6.3,14.7,.426,3.4,7.9,.428,4.3,4.9,.876,0.6,2.7,3.4,2.8,0.6,0.1,2.2,1.2
2016,32,James Kelly,MARSH,33,30.6,20.1,7.9,14.5,.543,1.5,4.8,.308,2.8,3.8,.746,1.8,8.0,9.8,1.2,1.3,1.1,2.3,2.8
2016,33,Quinton Hooker,UND,32,35.5,20.1,6.6,13.5,.487,1.6,4.2,.383,5.3,6.2,.858,1.2,3.7,4.9,3.5,1.9,0.3,1.8,2.3
2016,34,Jamal Murray,UK,36,35.2,20.0,6.8,14.9,.454,3.1,7.7,.408,3.3,4.2,.783,1.5,3.7,5.2,2.2,1.0,0.3,2.3,2.1
2016,35,Alex Hamilton,LATCH,33,35.3,19.9,6.5,13.0,.498,1.0,3.5,.298,5.9,8.4,.708,1.0,4.7,5.7,6.2,2.0,0.5,3.2,1.6
2016,36,Jameel Warney,SB,33,32.9,19.8,8.2,13.1,.628,0.0,0.0,.000,3.4,5.4,.624,4.5,6.3,10.8,1.6,0.9,3.0,1.3,2.2
2016,37,Q.J. Peterson,VMI,30,33.5,19.8,6.3,15.6,.405,2.8,7.7,.361,4.5,4.9,.905,1.6,4.7,6.3,2.8,1.4,0.5,2.7,2.2
2016,38,Tanner Plomb,USMA,28,31.4,19.8,6.8,16.0,.423,2.9,8.1,.352,3.4,4.6,.736,0.6,5.1,5.8,1.5,0.9,0.3,1.7,1.7
2016,39,Dikembe Dixson,UIC,30,36.7,19.8,6.4,17.3,.369,1.4,4.5,.304,5.6,8.5,.660,1.4,5.9,7.3,1.8,1.2,0.5,4.1,2.6
2016,40,Dallas Moore,UNF,34,35.6,19.8,7.5,14.6,.516,1.9,4.8,.395,2.8,4.0,.711,0.6,3.4,4.0,6.0,0.9,0.1,1.9,0.8
2016,41,Marcus Posley,STBN,31,37.2,19.6,6.4,15.2,.418,2.6,7.4,.360,4.3,5.3,.806,0.7,2.7,3.4,3.6,1.3,0.1,2.4,2.5
2016,42,John Brown,HP,28,29.6,19.6,7.6,12.6,.602,0.0,0.0,1.000,4.4,6.3,.701,3.3,3.9,7.1,2.2,1.7,1.8,1.7,2.1
2016,43,Max Landis,IPFW,33,37.2,19.3,5.9,13.1,.453,3.8,8.3,.456,3.7,4.5,.812,0.2,2.0,2.1,3.7,0.9,0.0,2.2,1.3
2016,44,Nathan Boothe,U of T,32,31.5,19.3,7.5,15.2,.496,1.0,2.8,.375,3.2,3.9,.824,1.9,7.1,9.0,3.3,0.7,1.0,2.2,2.6
2016,45,"Anthony Beane, Jr.",SOILL,32,34.3,19.3,6.5,15.0,.432,2.3,6.1,.371,4.0,5.2,.772,0.7,3.2,3.8,1.8,1.1,0.0,2.7,2.8
2016,46,Justin Robinson,MONM,36,32.9,19.3,5.9,13.6,.439,2.2,5.6,.394,5.1,6.1,.845,0.6,3.2,3.8,3.7,2.2,0.0,2.2,1.5
2016,47,Cameron Forte,PORTL,31,29.3,19.2,7.9,13.6,.580,0.0,0.1,.500,3.5,6.3,.552,3.4,5.9,9.3,2.6,1.0,0.5,3.2,2.1
2016,48,Jordan Price,LASAL,31,37.7,19.2,6.3,16.1,.390,2.9,7.9,.365,3.8,5.3,.718,0.7,4.8,5.5,3.0,1.1,0.4,3.3,2.2
2016,49,Denzel Valentine,MCHST,31,33.0,19.2,6.6,14.3,.462,3.4,7.5,.444,2.6,3.1,.853,0.8,6.7,7.5,7.8,1.0,0.2,2.7,1.7
2016,50,Ben Simmons,LSU,33,34.9,19.2,6.5,11.7,.560,0.0,0.1,.333,6.0,9.0,.670,3.1,8.6,11.8,4.8,2.0,0.8,3.4,2.8
2016,51,Ladarius Tabb,AAMU,29,34.5,18.9,6.9,15.8,.440,1.6,5.3,.294,3.5,5.5,.638,2.0,4.9,6.9,0.7,1.4,0.3,1.7,2.5
2016,52,Martin Breunig,MONT,33,30.5,18.9,6.9,11.1,.621,0.1,0.3,.300,5.0,7.1,.708,2.9,6.1,9.0,1.5,0.7,1.1,2.2,3.3
2016,53,Jarrod Uthoff,IOWA,33,31.5,18.9,6.6,14.8,.448,2.0,5.2,.382,3.7,4.5,.813,1.5,4.9,6.3,1.1,1.0,2.5,1.2,1.5
2016,54,Matt Morgan,COR,27,30.7,18.9,5.9,14.2,.415,2.6,7.9,.329,4.5,5.6,.808,0.4,2.7,3.1,2.0,1.4,0.4,1.9,1.7
2016,55,Shawn Long,LA,34,30.6,18.9,6.8,13.0,.524,0.5,2.0,.269,4.7,6.9,.681,4.0,8.1,12.1,1.4,0.7,1.8,2.7,2.8
2016,56,Pancake Thomas,UHA,30,34.6,18.9,5.9,13.6,.437,2.7,6.3,.426,4.3,5.2,.827,1.0,5.4,6.4,2.8,1.2,0.2,1.8,2.4
2016,57,Chris Horton,APSU,36,33.7,18.8,6.9,11.5,.599,0.0,0.0,.000,5.0,8.1,.621,4.9,7.1,12.0,1.5,1.4,1.8,2.7,2.1
2016,58,Keon Johnson,WIN,32,34.4,18.7,5.6,12.3,.452,2.4,6.2,.394,5.2,6.2,.833,0.5,3.6,4.2,2.5,0.9,0.0,2.2,1.9
2016,59,Trey Davis,UMass,32,34.0,18.7,5.8,14.7,.391,2.6,7.1,.366,4.6,5.3,.876,0.6,4.0,4.6,3.2,1.2,0.1,2.8,2.0
2016,60,Jaron Blossomgame,CLEM,31,34.2,18.7,6.5,12.6,.513,1.5,3.3,.446,4.3,5.5,.782,1.8,4.9,6.7,1.5,0.7,1.3,1.8,2.0
2016,61,Kendrick Ray,KENN,31,34.2,18.7,6.9,14.2,.485,1.3,3.7,.360,3.5,5.0,.714,1.4,4.2,5.6,2.7,1.4,0.2,2.5,3.1
2016,62,Frank Eaves,APPST,31,31.1,18.7,5.5,14.4,.381,2.7,7.0,.384,5.0,6.2,.817,0.6,3.1,3.7,2.2,0.8,0.0,2.3,2.3
2016,63,Jimmy Gavin,WIN,32,33.8,18.7,6.1,12.8,.478,2.9,7.2,.410,3.5,4.2,.828,0.5,2.4,2.9,3.0,0.8,0.1,2.1,1.8
2016,64,Tyler Hall,MTSTU,31,32.0,18.6,6.5,14.3,.457,3.1,7.2,.430,2.5,2.9,.867,0.8,4.4,5.3,1.6,0.9,0.3,1.8,2.2
2016,65,Yonel Brown,KENN,31,38.8,18.6,6.4,15.4,.414,2.5,7.0,.364,3.3,4.2,.792,0.7,2.7,3.4,2.5,1.1,0.0,2.5,2.0
2016,66,Marcus Romain,MVSU,30,29.0,18.6,6.3,14.3,.438,1.0,2.9,.341,5.1,6.7,.760,1.0,4.4,5.4,2.4,1.1,0.4,3.6,2.3
2016,67,Kori Babineaux,JAC,32,35.9,18.6,8.0,17.2,.468,0.3,1.0,.273,2.2,3.5,.628,0.7,4.2,4.8,3.8,1.0,0.2,2.8,2.3
2016,68,Ge'Lawn Guyn,ETSU,35,32.6,18.5,6.3,14.5,.432,2.7,6.4,.422,3.3,4.4,.752,0.6,3.4,4.0,1.9,1.1,0.8,2.0,2.1
2016,69,Chris Clemons,CAM,30,32.2,18.5,6.2,14.6,.424,3.1,8.2,.374,3.1,3.6,.844,0.3,3.4,3.7,1.8,1.5,0.3,1.9,2.5
2016,70,Micah Mason,DUQ,33,35.7,18.4,6.3,13.4,.469,3.6,8.5,.423,2.3,2.8,.835,0.2,2.8,3.1,4.5,0.9,0.1,2.1,1.9
2016,71,Majok Deng,ULM,31,36.3,18.4,6.2,13.0,.478,1.9,5.1,.373,4.1,5.0,.813,1.6,5.4,7.0,1.9,0.7,1.6,2.2,2.5
2016,72,Paris Bass,UDM,24,29.8,18.4,6.6,14.3,.465,0.9,2.8,.324,4.3,6.2,.685,2.1,5.9,8.0,2.1,1.4,1.4,3.4,3.5
2016,73,T.J. Cline,RICH,32,30.0,18.4,7.1,12.8,.559,1.4,3.7,.370,2.8,4.3,.642,1.2,4.0,5.2,3.8,0.7,0.1,2.3,2.7
2016,74,Alec Peters,VAL,37,32.1,18.4,6.0,11.9,.505,2.5,5.6,.440,3.8,4.5,.850,2.5,5.9,8.4,1.3,0.7,0.3,1.7,2.1
2016,75,Damon Lynn,NJIT,35,37.8,18.3,5.6,15.0,.374,3.3,10.0,.331,3.8,4.6,.832,0.3,2.7,3.0,3.3,1.6,0.1,2.0,1.2
2016,76,Alec Wintering,UP,32,31.6,18.3,5.7,12.8,.444,1.3,3.4,.398,5.5,7.1,.780,0.6,2.8,3.3,4.9,1.5,0.0,3.2,2.7
2016,77,Malcolm Brogdon,UVA,37,34.1,18.2,6.2,13.6,.457,2.0,5.2,.391,3.8,4.2,.897,0.5,3.5,4.1,3.1,0.9,0.2,1.4,2.1
2016,78,Torrance Rowe,TNTCH,31,35.5,18.2,5.7,13.9,.412,2.6,7.6,.343,4.2,4.8,.866,0.5,2.3,2.7,4.4,0.6,0.1,2.6,1.1
2016,79,Chase Fischer,BYU,37,34.0,18.2,5.6,13.8,.411,3.0,8.2,.367,3.9,4.7,.827,0.4,2.4,2.8,2.1,1.1,0.1,1.5,1.7
2016,80,Isaiah Whitehead,SETON,34,32.3,18.2,5.7,15.1,.379,2.4,6.5,.365,4.4,5.8,.760,0.5,3.1,3.6,5.1,1.2,1.4,3.5,2.3
2016,81,Isaiah Miles,STJOE,36,34.4,18.1,6.2,11.8,.523,1.8,4.7,.385,3.9,4.4,.888,2.3,5.8,8.1,0.9,0.6,1.0,1.2,2.8
