Rank,Player,High School,Position,Height / Weight,Rating,Team
1,Josh Jackson,"Josh JacksonJustin-Siena (Detroit, MI)",SG,6-7 / 202,10,Kansas
2,Lonzo Ball,"Lonzo BallChino Hills (Chino, CA)",PG,6-6 / 170,10,UCLA
3,Harry Giles,"Harry GilesOak Hill Academy (Winston Salem, NC)",PF,6-11 / 222,100,Duke
4,Markelle Fultz,"Markelle FultzDeMatha Catholic (Hyattsville, MD)",CG,6-4 / 170,100,Washington
5,Frank Jackson,"Frank JacksonLone Peak (American Fork, UT)",PG,6-3 / 180,100,Duke
6,De'Aaron Fox,"De'Aaron FoxCy Lakes (Katy, TX)",PG,6-3 / 171,99,Kentucky
7,Dennis Smith Jr.,"Dennis Smith Jr.Trinity Christian School (Fayetteville, NC)",PG,6-2 / 180,99,NC State
8,Jayson Tatum,"Jayson TatumChaminade (Saint Louis, MO)",SF,6-8 / 208,99,Duke
9,Jonathan Isaac,"Jonathan IsaacIMG Academy (Hollywood, FL)",SF,6-10 / 185,99,Florida State
10,Malik Monk,"Malik MonkBentonville (Lepanto, AR)",CG,6-3.5 / 187,99,Kentucky
11,Miles Bridges,"Miles BridgesHuntington Prep (Huntington, WV)",SF,6-6 / 218,99,Michigan State
12,Bam Adebayo,"Bam AdebayoHigh Point Christian Academy (Pinetown, NC)",PF,6-9 / 232,99,Kentucky
13,Thon Maker,Thon MakerAthlete Institute Basketball Academy (),PF,7-0 / 205,99,N/A
14,Wenyen Gabriel,"Wenyen GabrielWilbraham & Monson Academy (Wilbraham, MA)",PF,6-9 / 197,99,Kentucky
15,Terrance Ferguson,"Terrance FergusonAdvanced Preparatory International (Dallas, TX)",SG,6-7 / 180,99,N/A
16,Lauri Markkanen,"Lauri MarkkanenInternational (Paterson, NJ)",PF,6-11 / 225,98,Arizona
17,Jarrett Allen,"Jarrett AllenSt. Stephen's Episcopal (Austin, TX)",PF,6-11 / 224,98,Texas
18,Marques Bolden,"Marques BoldenDeSoto (DeSoto, TX)",C,6-11 / 250,98,Duke
19,TJ Leaf,"TJ LeafFoothills Christian (El Cajon, CA)",PF,6-9 / 215,98,UCLA
20,Zach Collins,"Zach CollinsBishop Gorman (Las Vegas, NV)",C,6-10 / 210,98,Gonzaga
21,Joshua Langford,"Joshua LangfordMadison Academy (Madison, AL)",SG,6-5 / 200,98,Michigan State
22,Dewan Hernandez,"Dewan HernandezNorland (Miami, FL)",PF,6-10 / 206,98,Miami
23,Bruce Brown,"Bruce BrownVermont Academy (Boston, MA)",CG,6-4 / 201,98,Miami
24,Austin Wiley,"Austin WileySpain Park (Birmingham, AL)",PF,6-10.5 / 250,98,Auburn
25,Sacha Killeya-Jones,"Sacha Killeya-JonesVirginia Episcopal School (Chapel Hill, NC)",PF,6-10 / 207,98,Kentucky
26,Omer Yurtseven,"Omer YurtsevenFenerbahce Basketbol Subesi (Istanbul, IS)",C,7-0 / 240,98,NC State
27,Omari Spellman,"Omari SpellmanMacDuffie School (North Royalton, OH)",C,6-9 / 269,98,Villanova
28,Mustapha Heron,"Mustapha HeronSacred Heart (Waterbury, CT)",SF,6-5 / 200,98,Auburn
29,Kobi Simmons,"Kobi SimmonsSt. Francis (Alpharetta, GA)",CG,6-5 / 170,98,Arizona
30,Rawle Alkins,"Rawle AlkinsWord Of God Christian Academy (Middle Village, NY)",SG,6-5 / 210,98,Arizona
31,Ty Jerome,"Ty JeromeIona Preparatory School (New Rochelle, NY)",PG,6-4 / 175,97,Virginia
32,Alterique Gilbert,"Alterique GilbertMiller Grove (Lithonia, GA)",PG,5-10 / 155,97,Connecticut
33,Tony Bradley,"Tony BradleyBartow (Bartow, FL)",C,6-10 / 235,97,North Carolina
34,V.J. King,"V.J. KingPaul VI Catholic (Akron, OH)",SF,6-6.5 / 189,97,Louisville
35,Cassius Winston,"Cassius WinstonUniversity Of Detroit Jesuit HS (Detroit, MI)",PG,6-2 / 194,97,Michigan State
36,Jay Huff,"Jay HuffVoyager Academy (Durham, NC)",PF,6-11 / 190,97,Virginia
37,De'Riante Jenkins,"De'Riante JenkinsHargrave Military Academy (HS) (Marion, SC)",SF,6-6 / 180,97,VCU
38,Andrew Jones,"Andrew JonesMacArthur (Irving, TX)",CG,6-4 / 180,97,Texas
39,Tyus Battle,"Tyus BattleGill St Bernard S School (Edison, NJ)",SG,6-6 / 205,97,Syracuse
40,Udoka Azubuike,"Udoka AzubuikeThe Potter's House Christian Academy (Jacksonville, FL)",C,6-11 / 265,97,Kansas
41,Sam Cunliffe,"Sam CunliffeRainier Beach (Seattle, WA)",SF,6-7 / 180,96,Arizona State
42,Jarron Cumberland,"Jarron CumberlandWilmington (Wilmington, OH)",SG,6-4 / 200,96,Cincinnati
43,Kyle Guy,"Kyle GuyLawrence Central (Indianapolis, IN)",CG,6-2 / 155,96,Virginia
44,Markus Howard,"Markus HowardFindlay Prep (Gilbert, AZ)",PG,5-11 / 170,96,Marquette
45,Justin Jackson,"Justin JacksonFindlay Prep (Toronto, ON)",SF,6-7 / 195,96,Maryland
46,Juwan Durham,"Juwan DurhamTampa Preparatory School (Tampa, FL)",PF,6-11 / 200,96,Connecticut
