Rank,Player,High School,Position,Height / Weight,Rating,Team
1,Nick Smith,"Nick SmithNorth Little Rock (North Little Rock, AR)",CG,6-4 / 185,100,Arkansas
2,Dereck Lively II,"Dereck Lively IIWesttown School (Bellefonte, PA)",C,7-1 / 220,100,Duke
3,Dariq Whitehead,"Dariq WhiteheadMontverde Academy (Newark, NJ)",SF,6-6 / 190,99,Duke
4,Kyle Filipowski,"Kyle FilipowskiWilbraham & Monson Academy (Wilbraham, MA)",C,6-11 / 230,99,Duke
5,Cason Wallace,"Cason WallaceRichardson (Richardson, TX)",CG,6-4 / 185,99,Kentucky
6,GG Jackson,"GG JacksonRidge View (Columbia, SC)",PF,6-9 / 210,99,South Carolina
7,Kel'el Ware,"Kel'el WareNorth Little Rock (North Little Rock, AR)",C,7-0 / 210,99,Oregon
8,Dillon Mitchell,"Dillon MitchellMontverde Academy (Montverde, FL)",SF,6-7 / 200,99,Texas
9,Keyonte George,"Keyonte GeorgeIMG Academy (Lewisville, TX)",SG,6-4 / 185,99,Baylor
10,Amari Bailey,"Amari BaileySierra Canyon (Chatsworth, CA)",CG,6-5 / 190,99,UCLA
11,Cam Whitmore,"Cam WhitmoreArchbishop Spalding (Severn, MD)",SF,6-6 / 200,98,Villanova
12,Jarace Walker,"Jarace WalkerIMG Academy (Bradenton, FL)",PF,6-8 / 220,98,Houston
13,Mark Mitchell,"Mark MitchellSunrise Christian (Wichita, KS)",PF,6-8 / 205,98,Duke
14,Brandon Miller,"Brandon MillerCane Ridge (Antioch, TN)",SF,6-8 / 200,98,Alabama
15,Anthony Black,"Anthony BlackDuncanville (Duncanville, TX)",PG,6-7 / 185,98,Arkansas
16,Chris Livingston,"Chris LivingstonOak Hill Academy (Mouth Of Wilson, VA)",SF,6-6 / 200,98,Kentucky
17,Adem Bona,"Adem BonaProlific Prep (Napa, CA)",C,6-9 / 225,98,UCLA
18,Arterio Morris,"Arterio MorrisKimball (Dallas, TX)",PG,6-3 / 190,98,Texas
19,Julian Phillips,"Julian PhillipsLink Academy (Branson, MO)",SF,6-8 / 200,98,Tennessee
20,Jordan Walsh,"Jordan WalshLink Academy (Cedar Hill, TX)",SF,6-7 / 190,98,Arkansas
21,Gradey Dick,"Gradey DickSunrise Christian (Wichita, KS)",SF,6-7 / 195,98,Kansas
22,JJ Starling,"JJ StarlingLa Lumiere School (Baldwinsville, NY)",CG,6-4 / 180,98,Notre Dame
23,Tyrese Proctor,"Tyrese ProctorNBA Global Academy (Australia, AUST)",PG,6-4 / 170,98,Duke
24,Yohan Traore,"Yohan TraoreDream City Christian (Glendale, AZ)",C,6-10 / 225,98,Auburn
25,Kylan Boswell,"Kylan BoswellCompass Prep (Chandler, AZ)",PG,6-1 / 180,98,Arizona
26,Jalen Hood-Schifino,"Jalen Hood-SchifinoMontverde Academy (Montverde, FL)",CG,6-5 / 210,97,Indiana
27,Jaden Bradley,"Jaden BradleyIMG Academy (Bradenton, FL)",PG,6-3 / 185,97,Alabama
28,Vince Iwuchukwu,"Vince IwuchukwuSouthern California Academy (Castaic, CA)",C,7-0 / 220,97,USC
29,Leonard Miller,"Leonard MillerFort Erie International Academy (Fort Erie, ON)",SF,6-9 / 195,97,Professional
30,Seth Trimble,"Seth TrimbleMenomonee Falls (Menomonee Falls, WI)",PG,6-3 / 185,97,North Carolina
31,Terrance Arceneaux,"Terrance ArceneauxBeaumont United (Beaumont, TX)",SF,6-7 / 190,97,Houston
32,Ernest Udeh Jr.,"Ernest Udeh Jr.Dr. Phillips (Orlando, FL)",C,6-10 / 230,97,Kansas
33,Collin Chandler,"Collin ChandlerFarmington (Farmington, UT)",CG,6-4 / 170,97,Brigham Young
34,Skyy Clark,"Skyy ClarkMontverde Academy (Montverde, FL)",PG,6-3 / 200,97,Illinois
35,Tre White,"Tre WhiteProlific Prep (Napa, CA)",SF,6-6 / 190,97,USC
36,Henri Veesaar,"Henri VeesaarEstonia (Estonia, ESTO)",C,6-10 / 200,97,Arizona
37,MJ Rice,"MJ RiceProlific Prep (Napa, CA)",SF,6-5 / 225,97,Kansas
38,Malik Reneau,"Malik ReneauMontverde Academy (Montverde, FL)",PF,6-8 / 210,97,Indiana
