BPI RK,TEAM,CONF,W-L,OFF,DEF,BPI,Year,,,,,
79,Davidson Wildcats,A-10,24-10,3.1,2.7,5.8,2019,,,,,
80,UNC Greensboro Spartans,Southern,29-7,2,3.7,5.7,2019,,,,,
81,Colorado Buffaloes,Pac-12,23-13,1.2,4.5,5.7,2019,,,,,
82,South Dakota State Jackrabbits,Summit,24-9,6,-0.4,5.5,2019,,,,,
83,Missouri Tigers,SEC,15-17,1.7,3.8,5.5,2019,,,,,
84,USC Trojans,Pac-12,16-17,4.1,1.4,5.5,2019,,,,,
85,UC Irvine Anteaters,Big West,31-6,1.1,4.4,5.5,2019,,,,,
86,Rutgers Scarlet Knights,Big Ten,14-17,0.6,4.7,5.3,2019,,,,,
87,San Diego Toreros,WCC,21-15,1.9,3.3,5.2,2019,,,,,
88,Oregon State Beavers,Pac-12,18-13,4.7,0.5,5.2,2019,,,,,
89,West Virginia Mountaineers,Big 12,15-21,3.9,1.2,5,2019,,,,,
90,Northeastern Huskies,CAA,23-11,5.1,-0.1,5,2019,,,,,
91,Northern Kentucky Norse,Horizon,26-9,2.8,2.1,5,2019,,,,,
92,Arizona Wildcats,Pac-12,17-15,1.2,3.6,4.9,2019,,,,,
93,Illinois Fighting Illini,Big Ten,21-Dec,2.5,2.4,4.9,2019,,,,,
94,BYU Cougars,WCC,19-13,4.7,0.1,4.8,2019,,,,,
95,Notre Dame Fighting Irish,ACC,14-19,2.8,2,4.8,2019,,,,,
96,Georgetown Hoyas,Big East,19-14,3.3,1.4,4.7,2019,,,,,
97,Pittsburgh Panthers,ACC,14-19,0.2,4.5,4.7,2019,,,,,
98,UConn Huskies,American,16-17,3.1,1.4,4.5,2019,,,,,
99,Saint Louis Billikens,A-10,23-13,-1,5.5,4.5,2019,,,,,
100,SMU Mustangs,American,15-17,5.4,-1,4.5,2019,,,,,
101,Texas A&M Aggies,SEC,14-18,1.9,2.4,4.3,2019,,,,,
102,Georgia Southern Eagles,Sun Belt,21-12,3.4,0.8,4.3,2019,,,,,
103,San Diego State Aztecs,Mountain West,21-13,0.6,3.4,4.1,2019,,,,,
104,Austin Peay Governors,OVC,22-11,4.3,-0.3,4.1,2019,,,,,
105,UCLA Bruins,Pac-12,17-16,3.3,0.7,4,2019,,,,,
106,Oklahoma State Cowboys,Big 12,20-Dec,2.4,1.6,3.9,2019,,,,,
107,Georgia Tech Yellow Jackets,ACC,14-18,-2.1,5.9,3.9,2019,,,,,
108,South Florida Bulls,American,24-14,-1.1,4.6,3.6,2019,,,,,
109,Old Dominion Monarchs,CUSA,26-9,-1.9,5.5,3.6,2019,,,,,
110,St. Bonaventure Bonnies,A-10,18-16,-1.2,4.8,3.6,2019,,,,,
111,Georgia State Panthers,Sun Belt,24-10,2.9,0.7,3.5,2019,,,,,
112,DePaul Blue Demons,Big East,19-17,4.4,-1,3.4,2019,,,,,
113,Grand Canyon Lopes,WAC,20-14,1.9,1.5,3.4,2019,,,,,
114,Harvard Crimson,Ivy,19-12,0.8,2.6,3.4,2019,,,,,
115,Boston College Eagles,ACC,14-17,2.2,1.1,3.4,2019,,,,,
116,Jacksonville State Gamecocks,OVC,24-9,0.4,2.9,3.3,2019,,,,,
117,Loyola Chicago Ramblers,MVC,20-14,0.3,2.9,3.2,2019,,,,,
118,Pennsylvania Quakers,Ivy,19-12,0.2,2.9,3.2,2019,,,,,
119,Texas State Bobcats,Sun Belt,24-10,-0.9,4,3.1,2019,,,,,
120,Western Kentucky Hilltoppers,CUSA,20-14,0.5,2.6,3.1,2019,,,,,
121,Stanford Cardinal,Pac-12,15-16,-0.7,3.8,3.1,2019,,,,,
122,Charleston Cougars,CAA,24-9,2.8,0.2,3.1,2019,,,,,
123,Akron Zips,MAC,17-16,-2.7,5.8,3,2019,,,,,
124,Montana Grizzlies,Big Sky,26-9,2.5,0.6,3,2019,,,,,
125,Wright State Raiders,Horizon,21-14,1.3,1.7,3,2019,,,,,
126,Ball State Cardinals,MAC,16-17,0.4,2.5,2.9,2019,,,,,
127,Tulsa Golden Hurricane,American,18-14,0.9,2,2.8,2019,,,,,
128,Utah Utes,Pac-12,17-14,5.7,-2.8,2.8,2019,,,,,
129,Georgia Bulldogs,SEC,21-Nov,0.6,2.1,2.6,2019,,,,,
130,Boise State Broncos,Mountain West,13-20,2.4,0.1,2.6,2019,,,,,
131,Colgate Raiders,Patriot,24-11,3.5,-1,2.6,2019,,,,,
132,Rhode Island Rams,A-10,18-15,-0.1,2.6,2.5,2019,,,,,
133,Bowling Green Falcons,MAC,22-12,1.4,1.1,2.5,2019,,,,,
134,Loyola Marymount Lions,WCC,22-12,-0.5,2.9,2.4,2019,,,,,
135,Southern Miss Golden Eagles,CUSA,20-13,1.3,1.1,2.4,2019,,,,,
136,Utah Valley Wolverines,WAC,25-10,2.7,-0.3,2.4,2019,,,,,
137,Drake Bulldogs,MVC,24-10,1.2,1,2.3,2019,,,,,
138,Bucknell Bison,Patriot,21-12,1.5,0.7,2.2,2019,,,,,
139,Radford Highlanders,Big South,22-11,2.7,-0.5,2.2,2019,,,,,
140,Gardner-Webb Runnin' Bulldogs,Big South,23-12,2.3,-0.3,2,2019,,,,,
141,UC Santa Barbara Gauchos,Big West,22-10,1.5,-0.1,1.4,2019,,,,,
142,Brown Bears,Ivy,20-12,-2,3.4,1.4,2019,,,,,
143,UL Monroe Warhawks,Sun Belt,19-16,5,-3.6,1.4,2019,,,,,
144,Louisiana Tech Bulldogs,CUSA,20-13,0.6,0.8,1.4,2019,,,,,
145,Southern Illinois Salukis,MVC,17-15,-0.2,1.6,1.3,2019,,,,,
146,UNLV Rebels,Mountain West,17-14,2,-0.7,1.3,2019,,,,,
147,George Mason Patriots,A-10,18-15,0.1,1.1,1.2,2019,,,,,
148,Central Michigan Chippewas,MAC,23-12,3.3,-2.1,1.2,2019,,,,,
149,North Texas Mean Green,CUSA,21-12,-1.9,3,1,2019,,,,,
150,Abilene Christian Wildcats,Southland,27-7,0.2,0.9,1,2019,,,,,
151,Stony Brook Seawolves,Am. East,24-9,-2.7,3.8,1,2019,,,,,
