Rank,Player,High School,Position,Height / Weight,Rating,Team
59,Kanaan Carlyle,"Kanaan CarlyleOvertime Elite (Atlanta, GA)",SG,6-3 / 185,93,Stanford
60,Scotty Middleton,"Scotty MiddletonSunrise Christian (Wichita, KS)",SF,6-6 / 180,93,Ohio State
61,Amani Hansberry,"Amani HansberryMount Saint Joseph (Baltimore, MD)",PF,6-8 / 225,93,Illinois
62,Dusty Stromer,"Dusty StromerNotre Dame (Sherman Oaks, CA)",SF,6-6 / 180,93,Gonzaga
63,Myles Colvin,"Myles ColvinHeritage Christian School (Indianapolis, IN)",SF,6-5 / 200,93,Purdue
64,Rayvon Griffith,"Rayvon GriffithCompass Prep (Chandler, AZ)",SF,6-5 / 180,93,Cincinnati
65,Kaden Cooper,"Kaden CooperThe Skill Factory (Ada, OK)",SF,6-5 / 180,93,Oklahoma
66,Sebastian Mack,"Sebastian MackCoronado (Henderson, NV)",SG,6-4 / 180,93,UCLA
67,Gavin Griffiths,"Gavin GriffithsKingswood-Oxford School (West Hartford, CT)",SF,6-7 / 185,93,Rutgers
68,Jan Vide,"Jan VideSlovenia (Slovenia, SLOV)",CG,6-5 / 190,93,UCLA
69,Joseph Tugler,"Joseph TuglerCy Falls (Houston, TX)",C,6-7 / 215,92,Houston
70,Brandon Williams,"Brandon WilliamsChrist The King Regional (Middle Village, NY)",PF,6-7 / 205,92,UCLA
71,Nils Cooper,"Nils CooperCrossroads School (Santa Monica, CA)",SG,6-5 / 170,92,Pepperdine
72,Silas Demary Jr.,"Silas Demary Jr.Combine Academy (Charlotte, NC)",CG,6-4 / 180,92,Georgia
73,Trey Green,"Trey GreenProlific Prep (Napa, CA)",PG,5-10 / 155,92,Xavier
74,Papa Kante,"Papa KanteSouth Kent School (South Kent, CT)",C,6-10 / 215,92,Pittsburgh
75,Jamie Kaiser,"Jamie KaiserIMG Academy (Burke, VA)",SF,6-6 / 200,92,Maryland
76,J.P. Estrella,"J.P. EstrellaBrewster Academy (South Portland, ME)",C,6-11 / 210,92,Tennessee
77,Blue Cain,"Blue CainIMG Academy (Bradenton, FL)",SG,6-4 / 180,92,Georgia
78,Chris Johnson,"Chris JohnsonMontverde Academy (Missouri City, TX)",CG,6-4 / 180,92,Texas
79,Reed Sheppard,"Reed SheppardNorth Laurel (London, KY)",CG,6-3 / 170,92,Kentucky
80,Jizzle James,"Jizzle JamesOlympia (Orlando, FL)",PG,6-1 / 180,92,Cincinnati
81,Devin Williams,"Devin WilliamsCentennial (Corona, CA)",PF,6-10 / 205,92,UCLA
82,Blake Buchanan,"Blake BuchananLake City (Coeur D Alene, ID)",C,6-9 / 215,92,Virginia
83,Dai Dai Ames,"Dai Dai AmesKenwood Academy (Chicago, IL)",PG,6-1 / 160,92,Kansas State
84,Cameron Christie,"Cameron ChristieRolling Meadows (Rolling Meadows, IL)",SG,6-5 / 160,92,Minnesota
85,KJ Lewis,"KJ LewisDuncanville (Duncanville, TX)",SF,6-4 / 185,92,Arizona
86,Sam Walters,"Sam WaltersVillages Charter School (The Villages, FL)",PF,6-8 / 180,92,Alabama
87,Dylan James,"Dylan JamesWinter Haven (Winter Haven, FL)",PF,6-8 / 195,92,Georgia
88,Jamari McDowell,"Jamari McDowellManvel (Manvel, TX)",SG,6-4 / 180,92,Kansas
89,Jaland Lowe,"Jaland LoweFort Bend Marshall (Missouri City, TX)",PG,6-1 / 160,92,Pittsburgh
90,Rashaud Marshall,"Rashaud MarshallBlytheville (Blytheville, AR)",C,6-9 / 215,92,Ole Miss
91,Carlton Carrington,"Carlton CarringtonSt. Frances Academy (Baltimore, MD)",SG,6-4 / 175,91,Pittsburgh
92,Zayden High,"Zayden HighCompass Prep (Spring Branch, TX)",PF,6-9 / 225,91,North Carolina
93,Parker Friedrichsen,"Parker FriedrichsenBixby (Bixby, OK)",SG,6-3 / 165,91,Wake Forest
94,Jordan Ross,"Jordan RossCompass Prep (Chandler, AZ)",PG,6-1 / 150,91,Saint Mary's
95,Tre Norman,"Tre NormanWorcester Academy (Boston, MA)",CG,6-3 / 190,91,Marquette
96,Jace Posey,"Jace PoseyStrake Jesuit College Prep (Houston, TX)",SF,6-4 / 175,91,TCU
97,Corey Chest,"Corey ChestLink Academy (Branson, MO)",PF,6-8 / 180,91,LSU
98,RJ Jones,"RJ JonesWasatch Academy (Denton, TX)",SG,6-3 / 175,91,Kansas State
99,Pryce Sandfort,"Pryce SandfortNorthwest (Waukee, IA)",SF,6-7 / 190,91,Iowa
100,JT Rock,"JT RockLincoln (Sioux Falls, SD)",C,7-1 / 245,90,Iowa State
101,Reid Ducharme,"Reid DucharmeBrewster Academy (Boston, MA)",SF,6-6 / 180,90,Xavier
102,Trent Pierce,"Trent PierceCompass Prep (Chandler, AZ)",PF,6-8 / 180,90,Missouri
103,Dailyn Swain,"Dailyn SwainColumbus Africentric Early College (Columbus, OH)",SF,6-6 / 170,90,Xavier
104,Mouhamed Dioubate,"Mouhamed DioubatePutnam Science Academy (Flushing, NY)",PF,6-7 / 215,90,Alabama
105,Zaide Lowery,"Zaide LoweryLa Lumiere School (La Porte, IN)",SF,6-4 / 180,90,Marquette
106,Macaleab Rich,"Macaleab RichEast St. Louis (East Saint Louis, IL)",SF,6-6 / 210,90,Kansas State
107,Paulius Murauskas,"Paulius MurauskasLithuania (Lithuania, LITH)",PF,6-8 / 220,90,Arizona
108,Collin Murray-Boyles,"Collin Murray-BoylesWasatch Academy (Mount Pleasant, UT)",PF,6-7 / 220,90,South Carolina
109,Jacob McFarland,"Jacob McFarlandRancho Verde (Moreno Valley, CA)",C,6-10 / 205,90,Houston
110,Taylor Bowen,"Taylor BowenBrewster Academy (Wolfeboro, NH)",PF,6-9 / 195,90,Florida State
111,Michael Nwoko,"Michael NwokoProlific Prep (Napa, CA)",C,6-9 / 240,90,Miami
112,Isaiah Coleman,"Isaiah ColemanWord Of God Christian Academy (Fort Washington, MD)",SG,6-5 / 180,90,Seton Hall
113,Jayden Ross,"Jayden RossLong Island Lutheran (Glen Head, NY)",SF,6-7 / 180,90,Connecticut
114,Jason Rivera-Torres,"Jason Rivera-TorresJohn Marshall (Richmond, VA)",SG,6-6 / 170,90,Vanderbilt
115,Brandon Rechsteiner,"Brandon RechsteinerEtowah (Woodstock, GA)",PG,6-1 / 185,90,Virginia Tech
116,Kaleb Glenn,"Kaleb GlennLa Lumiere School (La Porte, IN)",SF,6-6 / 200,90,Louisville
117,Mayar Wol,"Mayar WolMoravian Prep (Hickory, NC)",PF,6-8 / 190,90,College of Charleston
118,Ty-Laur Johnson,"Ty-Laur JohnsonOur Saviour Lutheran School (Bronx, NY)",PG,6-0 / 160,90,Louisville
119,Mike Williams,"Mike WilliamsBishop Walsh School (Cumberland, MD)",SG,6-3 / 175,90,LSU
120,Carl Cherenfant,"Carl CherenfantCalvary Christian Academy (Fort Lauderdale, FL)",SF,6-5 / 190,90,Memphis
121,Alex Toohey,"Alex TooheyNBA Global Academy (Australia, AUST)",PF,6-7 / 205,90,Professional
122,Gus Yalden,"Gus YaldenLa Lumiere School (La Porte, IN)",C,6-8 / 240,90,Wisconsin
123,Dennis Parker Jr.,"Dennis Parker Jr.John Marshall (Richmond, VA)",SF,6-6 / 175,90,NC State
124,Gehrig Normand,"Gehrig NormandBirdville (North Richland Hills, TX)",SF,6-6 / 180,90,Michigan State
125,Curtis Williams Jr.,"Curtis Williams Jr.Brother Rice (Bloomfield Hills, MI)",SF,6-6 / 205,90,Louisville
126,Jordan Butler,"Jordan ButlerChrist Church Episcopal School (Greenville, SC)",C,7-0 / 230,90,Missouri
127,Jakai Newton,"Jakai NewtonNewton (Covington, GA)",CG,6-3 / 190,90,Indiana
128,Rueben Chinyelu,"Rueben ChinyeluNBA Academy Africa (South Africa, SOUT)",C,6-10 / 245,90,Washington State
129,BJ Davis,"BJ DavisModesto Christian (Modesto, CA)",PG,6-1 / 170,90,San Diego State
130,Tru Washington,"Tru WashingtonCompass Prep (Chandler, AZ)",SG,6-3 / 175,90,New Mexico
131,Gabe Cupps,"Gabe CuppsCenterville (Dayton, OH)",PG,6-1 / 165,90,Indiana
132,Drew Fielder,"Drew FielderSouthern California Academy (Castaic, CA)",C,6-9 / 215,90,Georgetown
133,Jadyn Toppin,"Jadyn ToppinFaith Family Academy of Oak Cliff (Dallas, TX)",PF,6-8 / 210,90,New Mexico
134,Justin McBride,"Justin McBridePlano (Plano, TX)",PF,6-7 / 210,90,Oklahoma State
135,Motiejus Krivas,"Motiejus KrivasLithuania (Lithuania, LITH)",C,7-2 / 256,90,Arizona
136,JJ Taylor,"JJ TaylorSan Ysidro (San Diego, CA)",SF,6-7 / 185,90,Memphis
137,Akil Watson,"Akil WatsonRoselle Catholic (Roselle, NJ)",PF,6-8 / 205,90,Arizona State
138,Jazz Gardner,"Jazz GardnerWest Ranch (Pasadena, CA)",C,6-11 / 200,90,Nevada
139,Youssouf Singare,"Youssouf SingareOur Saviour Lutheran School (Bronx, NY)",C,7-0 / 225,90,Connecticut
140,Dramane Camara,"Dramane CamaraNBA Academy Africa (South Africa, SOUT)",SG,6-5 / 205,90,DePaul
141,George Washington III,"George Washington IIIChaminade Julienne (Dayton, OH)",SG,6-2 / 165,90,Michigan
142,Jayden Hastings,"Jayden HastingsIMG Academy (Orlando, FL)",C,6-9 / 225,89,Boston College
143,Dra Gibbs-Lawhorn,"Dra Gibbs-LawhornWord Of God Christian Academy (Raleigh, NC)",CG,6-1 / 165,89,Illinois
144,Brady Dunlap,"Brady DunlapHarvard Westlake (Studio City, CA)",SF,6-7 / 180,89,St. John's
145,Josh Hubbard,"Josh HubbardMadison-Ridgeland Academy (Madison, MS)",PG,5-10 / 180,89,Mississippi State
146,Kachi Nzeh,"Kachi NzehGeorge School (Newtown, PA)",C,6-9 / 220,89,Xavier
147,Jamyron Keller,"Jamyron KellerEllison (Killeen, TX)",CG,6-1 / 190,89,Oklahoma State
148,Jake Wahlin,"Jake WahlinTimpview (Provo, UT)",PF,6-7 / 180,89,Utah
149,Keanu Dawes,"Keanu DawesStratford (Houston, TX)",PF,6-8 / 210,88,Rice
150,Brock Harding,"Brock HardingMoline (Moline, IL)",PG,6-0 / 155,88,Iowa
