Rank,Player,High School,Position,Height / Weight,Rating,Team
1,Cooper Flagg,"Cooper FlaggMontverde Academy (Montverde, FL)",PF,6-9 / 195,100,Duke
2,Ace Bailey,"Ace BaileyMcEachern (Powder Springs, GA)",SF,6-8 / 195,100,Rutgers
3,Dylan Harper,"Dylan HarperDon Bosco Prep (Ramsey, NJ)",CG,6-6 / 210,99,Rutgers
4,VJ Edgecombe,"VJ EdgecombeLong Island Lutheran (Glen Head, NY)",SG,6-5 / 180,99,Baylor
5,Tre Johnson,"Tre JohnsonLink Academy (Dallas, TX)",SG,6-6 / 190,99,Texas
6,Jalil Bethea,"Jalil BetheaArchbishop Wood (Warminster, PA)",SG,6-4 / 170,99,Miami
7,Jayden Quaintance,"Jayden QuaintanceWord Of God Christian Academy (Raleigh, NC)",C,6-9 / 230,98,Kentucky
8,Ian Jackson,"Ian JacksonOur Saviour Lutheran School (Bronx, NY)",SG,6-5 / 185,98,North Carolina
9,Drake Powell,"Drake PowellNorthwood (Pittsboro, NC)",SF,6-6 / 195,98,North Carolina
10,Flory Bidunga,"Flory BidungaKokomo (Kokomo, IN)",C,6-8 / 215,98,Kansas
11,Isaiah Evans,"Isaiah EvansNorth Mecklenburg (Huntersville, NC)",SF,6-6 / 170,98,Duke
12,Derik Queen,"Derik QueenMontverde Academy (Montverde, FL)",C,6-10 / 240,98,Maryland
13,Asa Newell,"Asa NewellMontverde Academy (Montverde, FL)",PF,6-9 / 205,98,Georgia
14,Derrion Reid,"Derrion ReidProlific Prep (Napa, CA)",PF,6-7 / 180,98,Alabama
15,Liam McNeeley,"Liam McNeeleyMontverde Academy (Montverde, FL)",SF,6-7 / 210,98,Indiana
16,Kon Knueppel,"Kon KnueppelWisconsin Lutheran (Milwaukee, WI)",SF,6-5 / 205,98,Duke
17,Patrick Ngongba II,"Patrick Ngongba IIPaul VI Catholic (Fairfax, VA)",C,6-11 / 235,97,Duke
18,Carter Bryant,"Carter BryantCentennial (Corona, CA)",PF,6-8 / 225,97,Arizona
19,Karter Knox,"Karter KnoxOvertime Elite (Atlanta, GA)",SF,6-5 / 205,97,N/A
20,Billy Richmond,"Billy RichmondCamden (Camden, NJ)",SF,6-5 / 200,97,Kentucky
21,Donnie Freeman,"Donnie FreemanIMG Academy (Bradenton, FL)",PF,6-9 / 190,97,Syracuse
22,Tahaad Pettiford,"Tahaad PettifordHudson Catholic (Jersey City, NJ)",PG,6-1 / 170,97,Auburn
23,Rob Wright,"Rob WrightMontverde Academy (Montverde, FL)",PG,6-0 / 165,96,Baylor
24,Boogie Fland,"Boogie FlandArchbishop Stepinac (White Plains, NY)",CG,6-2 / 170,96,Kentucky
25,Annor Boateng,"Annor BoatengLittle Rock Central (Little Rock, AR)",SF,6-6 / 210,96,Missouri
26,Bryson Tucker,"Bryson TuckerBishop O'Connell (Arlington, VA)",SF,6-6 / 180,96,N/A
27,Morez Johnson,"Morez JohnsonThornton Township (Harvey, IL)",C,6-9 / 235,95,Illinois
28,Aiden Sherrell,"Aiden SherrellProlific Prep (Napa, CA)",C,6-10 / 215,95,Alabama
29,Ahmad Nowell,"Ahmad NowellImhotep Institute (Philadelphia, PA)",CG,6-0 / 180,95,Connecticut
30,Labaron Philon,"Labaron PhilonLink Academy (Branson, MO)",PG,6-4 / 177,95,Kansas
31,Jase Richardson,"Jase RichardsonColumbus (Miami, FL)",CG,6-3 / 180,95,Michigan State
32,Kanon Catchings,"Kanon CatchingsOvertime Elite (Atlanta, GA)",PF,6-8 / 185,95,Purdue
33,Zoom Diallo,"Zoom DialloProlific Prep (Napa, CA)",PG,6-4 / 190,95,Washington
34,Khani Rooths,"Khani RoothsIMG Academy (Bradenton, FL)",PF,6-8 / 200,95,Michigan
35,Jamari Phillips,"Jamari PhillipsDream City Christian (Glendale, AZ)",SG,6-3 / 190,95,Arizona
36,Jackson McAndrew,"Jackson McAndrewWayzata (Minneapolis, MN)",PF,6-9 / 210,93,Creighton
37,John Bol,"John BolOvertime Elite (Atlanta, GA)",C,7-1 / 190,93,Ole Miss
38,Sir Mohammed,"Sir MohammedMyers Park (Charlotte, NC)",CG,6-7 / 205,93,Notre Dame
39,Tyler Betsey,"Tyler BetseySt. Thomas More (Windsor, CT)",PF,6-8 / 185,93,Cincinnati
40,Juni Mobley,"Juni MobleyWasatch Academy (Mount Pleasant, UT)",CG,6-0 / 150,93,Ohio State
41,Naas Cunningham,"Naas CunninghamSouthern California Academy (Castaic, CA)",SF,6-7 / 180,93,Alabama
42,Thomas Sorber,"Thomas SorberArchbishop Ryan (Philadelphia, PA)",C,6-9 / 250,93,Georgetown
43,Isaiah Elohim,"Isaiah ElohimSierra Canyon (Chatsworth, CA)",SF,6-5 / 190,93,Arkansas
44,Somto Cyril,"Somto CyrilOvertime Elite (Atlanta, GA)",C,6-10 / 240,93,Kentucky
45,Jason Asemota,"Jason AsemotaHillcrest Prep (Phoenix, AZ)",SF,6-8 / 190,93,Baylor
46,David Castillo,"David CastilloSunrise Christian (Wichita, KS)",CG,6-1 / 180,93,Kansas State
47,Kur Teng,"Kur TengBradford Christian Academy (Haverhill, MA)",SG,6-4 / 185,93,Michigan State
48,Rakease Passmore,"Rakease PassmoreCombine Academy (Asheville, NC)",SF,6-5 / 180,93,Kansas
49,Darren Harris,"Darren HarrisPaul VI Catholic (Fairfax, VA)",SF,6-6 / 195,93,Duke
50,Trent Perry,"Trent PerryHarvard Westlake (Studio City, CA)",PG,6-4 / 175,93,USC
51,Austin Swartz,"Austin SwartzCannon School (Concord, NC)",SG,6-4 / 180,93,Miami
52,Cam Scott,"Cam ScottLexington  (Lexington, SC)",SG,6-5 / 165,93,Texas
53,Elijah Moore,"Elijah MooreOur Saviour Lutheran School (Bronx, NY)",SG,6-4 / 170,93,Syracuse
54,Jaeden Mustaf,"Jaeden MustafOvertime Elite (Atlanta, GA)",CG,6-4 / 205,93,Georgia Tech
55,Kayvaun Mulready,"Kayvaun MulreadyWorcester Academy (Worcester, MA)",SG,6-4 / 210,93,Georgetown
56,Jaiden Glover,"Jaiden GloverThe Patrick School (Hillside, NJ)",SF,6-5 / 190,93,St. John's
57,Peyton Marshall,"Peyton MarshallOvertime Elite (Atlanta, GA)",C,7-0 / 300,93,Missouri
58,Vyctorius Miller,"Vyctorius MillerCompass Prep (Chandler, AZ)",SG,6-5 / 170,93,Oregon
59,Damarius Owens,"Damarius OwensWestern Reserve Academy (Hudson, OH)",SF,6-8 / 190,93,Marquette
60,Justin Pippen,"Justin PippenSierra Canyon (Chatsworth, CA)",CG,6-3 / 180,93,N/A
61,Josiah Moseley,"Josiah MoseleyStony Point (Round Rock, TX)",PF,6-6 / 205,92,Villanova
62,Larry Johnson,"Larry JohnsonSouthern California Academy (Castaic, CA)",SG,6-4 / 175,92,Creighton
63,Paul McNeil,"Paul McNeilRichmond (Raleigh, NC)",SG,6-6 / 185,92,NC State
