Rank,Player,High School,Position,Height / Weight,Rating,Team
64,Marcus Allen,"Marcus AllenNorland (Miami, FL)",PF,6-6 / 190,92,Missouri
65,Robert Miller,"Robert MillerPasadena Memorial (Pasadena, TX)",PF,6-10 / 225,92,LSU
66,Nicolas Codie,"Nicolas CodieNewman Smith (Carrollton, TX)",PF,6-9 / 200,92,Texas
67,Matthew Hodge,"Matthew HodgeSt Rose (Belmar, NJ)",PF,6-8 / 200,92,Villanova
68,Cooper Koch,"Cooper KochMetamora (Peoria, IL)",PF,6-8 / 205,92,Iowa
69,Jahki Howard,"Jahki HowardOvertime Elite (Atlanta, GA)",SF,6-6 / 185,92,Auburn
70,Jalen Shelley,"Jalen ShelleyLink Academy (Branson, MO)",SF,6-8 / 190,92,Arkansas
71,Travis Perry,"Travis PerryLyon County (Eddyville, KY)",PG,6-2 / 170,92,Kentucky
72,Tyler McKinley,"Tyler McKinleyWinton Woods (Cincinnati, OH)",C,6-8 / 220,92,Cincinnati
73,Ryan Jones,"Ryan JonesThe Rock School (Gainesville, FL)",C,6-8 / 225,92,Virginia Tech
74,Chase McCarty,"Chase McCartyIMG Academy (Bradenton, FL)",SF,6-5 / 200,92,Houston
75,Eric Freeny,"Eric FreenyCentennial (Corona, CA)",SG,6-3 / 180,91,UCLA
76,Andre Mills,"Andre MillsBrimmer And May School (Chestnut Hill, MA)",SG,6-4 / 185,91,Texas A&M
77,Daquan Davis,"Daquan DavisOvertime Elite (Atlanta, GA)",PG,6-1 / 165,91,N/A
78,Curtis Givens III,"Curtis Givens IIIMontverde Academy (Montverde, FL)",PG,6-2 / 170,91,LSU
79,Mercy Miller,"Mercy MillerNotre Dame (Sherman Oaks, CA)",SG,6-4 / 180,91,Houston
80,Isaiah Abraham,"Isaiah AbrahamPaul VI Catholic (Fairfax, VA)",PF,6-7 / 195,91,Connecticut
81,Bishop Boswell,"Bishop BoswellMyers Park (Charlotte, NC)",CG,6-4 / 195,91,Tennessee
82,Royce Parham,"Royce ParhamWestern Reserve Academy (Hudson, OH)",PF,6-8 / 200,91,Marquette
83,Amier Ali,"Amier AliCanyon International Academy (Queen Creek, AZ)",SF,6-8 / 175,91,Arizona State
84,Makhan Diouf,"Makhan DioufBella Vista Prep (Scottsdale, AZ)",PF,6-11 / 215,91,N/A
85,Nojus Indrusaitis,"Nojus IndrusaitisBrewster Academy (Evergreen Park, IL)",SG,6-5 / 185,91,Iowa State
86,Juke Harris,"Juke HarrisSalisbury (Salisbury, NC)",SG,6-6 / 185,91,Wake Forest
87,Sammie Yeanay,"Sammie YeanayCompass Prep (Chandler, AZ)",PF,6-8 / 230,91,Arizona State
88,Gicarri Harris,"Gicarri HarrisGrayson (Loganville, GA)",CG,6-4 / 180,91,Purdue
89,Darrion Sutton,"Darrion SuttonOvertime Elite (Atlanta, GA)",SF,6-8 / 175,91,Georgia Tech
90,Emmanuel Stephen,"Emmanuel StephenDream City Christian (Glendale, AZ)",C,7-0 / 215,90,Arizona
91,Pharaoh Compton,"Pharaoh ComptonArbor View (Las Vegas, NV)",PF,6-6 / 215,90,San Diego State
92,Andrew Crawford,"Andrew CrawfordThunderRidge (Littleton, CO)",CG,6-6 / 175,90,Colorado
93,Jacob Cofie,"Jacob CofieEastside Catholic (Sammamish, WA)",PF,6-9 / 225,90,Virginia
94,Miles Goodman,"Miles GoodmanSouthern California Academy (Seattle, WA)",C,6-10 / 225,90,Penn State
95,Jase Butler,"Jase ButlerThe Branson School (San Francisco, CA)",CG,6-4 / 180,90,Illinois
96,Christian Anderson,"Christian AndersonOak Hill Academy (Mouth Of Wilson, VA)",PG,5-11 / 155,90,Michigan
97,Cole Certa,"Cole CertaIMG Academy (Bradenton, FL)",SG,6-4 / 165,90,Notre Dame
98,Isaac Asuma,"Isaac AsumaCherry Secondary (Iron, MN)",PG,6-3 / 190,90,Minnesota
99,Robert Hinton,"Robert HintonHarvard Westlake (Studio City, CA)",SG,6-4 / 175,90,Harvard
100,Trent Burns,"Trent BurnsGood Vision Academy (Houston, TX)",C,7-3 / 210,90,Missouri
101,Lathan Sommerville,"Lathan SommervilleRichwoods (Peoria, IL)",C,6-9 / 240,89,Rutgers
102,Daniel Freitag,"Daniel FreitagBreck School (Minneapolis, MN)",PG,6-2 / 195,89,Wisconsin
103,Jaxon Johnson,"Jaxon JohnsonAlta (Sandy, UT)",PF,6-8 / 195,89,Utah
104,Jack Robison,"Jack RobisonLakeville North (Lakeville, MN)",SF,6-6 / 175,89,Wisconsin
105,Micah Robinson,"Micah RobinsonOak Hill Academy (Mouth Of Wilson, VA)",SF,6-6 / 200,89,TCU
106,James Brown,"James BrownLink Academy (Branson, MO)",C,6-9 / 210,89,North Carolina
107,Brooks Bahr,"Brooks BahrKeller (Keller, TX)",CG,6-4 / 180,89,Brigham Young
108,Jared Harris,"Jared HarrisSilsbee (Silsbee, TX)",SG,6-2 / 160,89,Memphis
109,George Turkson,"George TurksonBradford Christian Academy (Lowell, MA)",PF,6-7 / 205,89,Texas A&M
110,Isaiah Brown,"Isaiah BrownOrlando Christian Prep (Orlando, FL)",SG,6-5 / 185,88,Florida
111,Brody Kozlowski,"Brody KozlowskiCorner Canyon (Draper, UT)",PF,6-7 / 190,88,USC
112,David Punch,"David PunchHarker Heights (Harker Heights, TX)",PF,6-7 / 205,88,TCU
113,Mikey Lewis,"Mikey LewisProlific Prep (Napa, CA)",CG,6-3 / 170,88,Saint Mary's
114,Isaac Davis,"Isaac DavisHillcrest (Idaho Falls, ID)",PF,6-6 / 220,88,Brigham Young
115,Jonathan Powell,"Jonathan PowellCenterville (Dayton, OH)",SG,6-5 / 170,88,Xavier
116,Zion Sensley,"Zion SensleyArchbishop Riordan (San Francisco, CA)",SF,6-8 / 170,88,Saint Mary's
117,Jason Jakstys,"Jason JakstysYorkville (Yorkville, IL)",PF,6-10 / 205,88,Illinois
118,Khaman Maker,"Khaman MakerTrinity International Schools (Las Vegas, NV)",C,7-0 / 215,88,St. John's
119,CJ Brown,"CJ BrownKell (Marietta, GA)",PG,6-2 / 175,88,USF
120,Kuol Atak,"Kuol AtakHaltom (Fort Worth, TX)",PF,6-9 / 185,88,Oklahoma
121,Godswill Erheriene,"Godswill ErherieneLong Island Lutheran (Glen Head, NY)",C,6-9 / 225,88,Seton Hall
122,Nick Janowski,"Nick JanowskiPewaukee (Pewaukee, WI)",SG,6-3 / 200,88,Nebraska
123,Colin White,"Colin WhiteOttawa-glandorf (Ottawa, OH)",SF,6-6 / 180,88,Ohio State
124,Malachi Palmer,"Malachi PalmerMt. Zion Prep (Baltimore, MD)",SG,6-5 / 185,88,Maryland
125,Pape N'Diaye,"Pape N'DiayeTrinity International Schools (Las Vegas, NV)",C,7-0 / 195,88,UNLV
126,KJ Windham,"KJ WindhamBen Davis (Indianapolis, IN)",CG,6-3 / 175,88,Northwestern
127,Garrett Sundra,"Garrett SundraPaul VI Catholic (Fairfax, VA)",PF,6-10 / 215,88,Notre Dame
128,Trey Parker,"Trey ParkerOvertime Elite (Atlanta, GA)",SG,6-2 / 170,88,NC State
129,Brandin Cummings,"Brandin CummingsLincoln Park Performing Arts Cs (Midland, PA)",CG,6-3 / 160,88,Pittsburgh
130,Trent Noah,"Trent NoahHarlan County (Baxter, KY)",SF,6-6 / 200,88,South Carolina
131,Luke Bamgboye,"Luke BamgboyeCompass Prep (Chandler, AZ)",C,6-10 / 190,88,N/A
132,Dallas Thomas,"Dallas ThomasParkview Magnet (Little Rock, AR)",PF,6-7 / 170,88,Clemson
133,Jesse McCulloch,"Jesse McCullochLutheran East (Cleveland, OH)",C,6-9 / 190,88,Michigan State
134,Ace Buckner,"Ace BucknerLa Lumiere School (La Porte, IN)",CG,6-1 / 165,88,Clemson
135,Tyrone Riley,"Tyrone RileySt. Pius X-St. Matthias Academy (Downey, CA)",SF,6-5 / 180,88,N/A
136,Isaiah Johnson-Arigu,"Isaiah Johnson-AriguTotino-Grace (Minneapolis, MN)",SF,6-7 / 200,88,Miami
137,Sebastian Rancik,"Sebastian RancikJ Serra Catholic (San Juan Capistrano, CA)",PF,6-9 / 210,88,Colorado
138,T.O. Barrett,"T.O. BarrettLink Academy (Branson, MO)",CG,6-4 / 180,88,Missouri
139,Raleigh Burgess,"Raleigh BurgessSycamore (Cincinnati, OH)",C,6-10 / 205,88,Purdue
140,Taj Degourville,"Taj DegourvilleRed Rock Academy (Las Vegas, NV)",SF,6-4 / 185,88,San Diego State
141,AJ Swinton,"AJ SwintonBishop O'Connell (Arlington, VA)",SF,6-5 / 180,88,Florida State
142,Jeremiah Johnson,"Jeremiah JohnsonPHHoenix Prep (Phoenix, AZ)",PG,6-3 / 170,88,Oklahoma State
143,Elijah Crawford,"Elijah CrawfordBrewster Academy (Wolfeboro, NH)",PG,6-1 / 175,88,Stanford
144,Chris McDermott,"Chris McDermottBooker T. Washington (Houston, TX)",PF,6-7 / 215,88,N/A
145,Josh Hill,"Josh HillWheeler (Marietta, GA)",C,6-11 / 180,88,Arkansas State
146,Bryce Dortch,"Bryce DortchBrimmer And May School (Chestnut Hill, MA)",PF,6-8 / 190,88,Rutgers
147,Angelo Ciaravino,"Angelo CiaravinoMount Carmel (Chicago, IL)",SF,6-5 / 175,88,Northwestern
148,Malcolm Thomas,"Malcolm ThomasDeMatha Catholic (Hyattsville, MD)",PF,6-8 / 195,88,Villanova
149,Chris Tadjo,"Chris TadjoNBA Academy Latin America (Montreal, QC)",PF,6-8 / 220,88,Iowa
150,Caden Diggs,"Caden DiggsThe Bullis School (Potomac, MD)",SF,6-7 / 180,88,Old Dominion
