Rank,Player,High School,Position,Height / Weight,Rating,Year,Star,Height,Weight
103,Dailyn Swain,,SF,6-6 / 170,90,2023,3.0,6-6,170
104,Mouhamed Dioubate,,PF,6-7 / 215,90,2023,3.0,6-7,215
105,Zaide Lowery,,SF,6-4 / 180,90,2023,3.0,6-4,180
106,Macaleab Rich,,SF,6-6 / 210,90,2023,3.0,6-6,210
107,Paulius Murauskas,,PF,6-8 / 220,90,2023,3.0,6-8,220
108,Collin Murray-Boyles,,PF,6-7 / 220,90,2023,3.0,6-7,220
109,Jacob McFarland,,C,6-10 / 205,90,2023,3.0,6-10,205
110,Taylor Bowen,,PF,6-9 / 195,90,2023,3.0,6-9,195
111,Michael Nwoko,,C,6-9 / 240,90,2023,3.0,6-9,240
112,Isaiah Coleman,,SG,6-5 / 180,90,2023,3.0,6-5,180
113,Jayden Ross,,SF,6-7 / 180,90,2023,3.0,6-7,180
114,Jason Rivera-Torres,,SG,6-6 / 170,90,2023,3.0,6-6,170
115,Brandon Rechsteiner,,PG,6-1 / 185,90,2023,3.0,6-1,185
116,Kaleb Glenn,,SF,6-6 / 200,90,2023,3.0,6-6,200
117,Mayar Wol,,PF,6-8 / 190,90,2023,3.0,6-8,190
118,Ty-Laur Johnson,,PG,6-0 / 160,90,2023,3.0,6-0,160
119,Mike Williams,,SG,6-3 / 175,90,2023,3.0,6-3,175
120,Carl Cherenfant,,SF,6-5 / 190,90,2023,3.0,6-5,190
121,Alex Toohey,,PF,6-7 / 205,90,2023,3.0,6-7,205
122,Gus Yalden,,C,6-8 / 240,90,2023,3.0,6-8,240
123,Dennis Parker Jr.,,SF,6-6 / 175,90,2023,3.0,6-6,175
124,Gehrig Normand,,SF,6-6 / 180,90,2023,3.0,6-6,180
125,Curtis Williams Jr.,,SF,6-6 / 205,90,2023,3.0,6-6,205
126,Jordan Butler,,C,7-0 / 230,90,2023,3.0,7-0,230
127,Jakai Newton,,CG,6-3 / 190,90,2023,3.0,6-3,190
128,Rueben Chinyelu,,C,6-10 / 245,90,2023,3.0,6-10,245
129,BJ Davis,,PG,6-1 / 170,90,2023,3.0,6-1,170
130,Tru Washington,,SG,6-3 / 175,90,2023,3.0,6-3,175
131,Gabe Cupps,,PG,6-1 / 165,90,2023,3.0,6-1,165
132,Drew Fielder,,C,6-9 / 215,90,2023,3.0,6-9,215
133,Jadyn Toppin,,PF,6-8 / 210,90,2023,3.0,6-8,210
134,Justin McBride,,PF,6-7 / 210,90,2023,3.0,6-7,210
135,Motiejus Krivas,,C,7-2 / 256,90,2023,3.0,7-2,256
136,JJ Taylor,,SF,6-7 / 185,90,2023,3.0,6-7,185
137,Akil Watson,,PF,6-8 / 205,90,2023,3.0,6-8,205
138,Jazz Gardner,,C,6-11 / 200,90,2023,3.0,6-11,200
139,Youssouf Singare,,C,7-0 / 225,90,2023,3.0,7-0,225
140,Dramane Camara,,SG,6-5 / 205,90,2023,3.0,6-5,205
141,George Washington III,,SG,6-2 / 165,90,2023,3.0,6-2,165
142,Jayden Hastings,,C,6-9 / 225,89,2023,3.0,6-9,225
143,Dra Gibbs-Lawhorn,,CG,6-1 / 165,89,2023,3.0,6-1,165
144,Brady Dunlap,,SF,6-7 / 180,89,2023,3.0,6-7,180
145,Josh Hubbard,,PG,5-10 / 180,89,2023,3.0,5-10,180
146,Kachi Nzeh,,C,6-9 / 220,89,2023,3.0,6-9,220
147,Jamyron Keller,,CG,6-1 / 190,89,2023,3.0,6-1,190
148,Jake Wahlin,,PF,6-7 / 180,89,2023,3.0,6-7,180
149,Keanu Dawes,,PF,6-8 / 210,88,2023,3.0,6-8,210
150,Brock Harding,,PG,6-0 / 155,88,2023,3.0,6-0,155
1,Cooper Flagg,,PF,6-9 / 195,100,2024,5.0,6-9,195
2,Dylan Harper,,CG,6-6 / 210,99,2024,5.0,6-6,210
3,Ace Bailey,,SF,6-8 / 195,99,2024,5.0,6-8,195
4,Drake Powell,,SF,6-6 / 195,99,2024,5.0,6-6,195
5,Tre Johnson,,SG,6-6 / 190,99,2024,5.0,6-6,190
6,VJ Edgecombe,,SG,6-5 / 180,99,2024,5.0,6-5,180
7,Jalil Bethea,,SG,6-4 / 170,99,2024,5.0,6-4,170
8,Flory Bidunga,,C,6-8 / 215,99,2024,5.0,6-8,215
9,Jayden Quaintance,,C,6-9 / 230,98,2024,5.0,6-9,230
10,Ian Jackson,,SG,6-5 / 185,98,2024,5.0,6-5,185
11,Isaiah Evans,,SF,6-6 / 170,98,2024,5.0,6-6,170
12,Derik Queen,,C,6-10 / 240,98,2024,5.0,6-10,240
13,Asa Newell,,PF,6-9 / 205,98,2024,5.0,6-9,205
14,Karter Knox,,SF,6-5 / 205,98,2024,5.0,6-5,205
15,Liam McNeeley,,SF,6-7 / 190,98,2024,5.0,6-7,190
16,Kon Knueppel,,SF,6-5 / 205,98,2024,5.0,6-5,205
17,Derrion Reid,,PF,6-7 / 180,98,2024,5.0,6-7,180
18,Jason Asemota,,SF,6-8 / 190,98,2024,5.0,6-8,190
19,Zoom Diallo,,PG,6-4 / 190,98,2024,5.0,6-4,190
20,Patrick Ngongba II,,C,6-11 / 235,97,2024,4.0,6-11,235
21,Carter Bryant,,PF,6-8 / 225,97,2024,4.0,6-8,225
22,Kanon Catchings,,PF,6-8 / 185,97,2024,4.0,6-8,185
23,Jamari Phillips,,SG,6-3 / 190,97,2024,4.0,6-3,190
24,Billy Richmond,,SG,6-5 / 200,97,2024,4.0,6-5,200
25,Tahaad Pettiford,,PG,6-1 / 170,97,2024,4.0,6-1,170
26,Bryson Tucker,,SF,6-6 / 180,96,2024,4.0,6-6,180
27,Labaron Philon,,PG,6-4 / 177,96,2024,4.0,6-4,177
28,Donnie Freeman,,PF,6-9 / 190,96,2024,4.0,6-9,190
29,Khani Rooths,,PF,6-8 / 200,96,2024,4.0,6-8,200
30,Ahmad Nowell,,CG,6-0 / 180,95,2024,4.0,6-0,180
31,Rob Wright,,PG,6-0 / 165,95,2024,4.0,6-0,165
32,Aiden Sherrell,,C,6-10 / 215,93,2024,3.0,6-10,215
33,Boogie Fland,,CG,6-2 / 170,93,2024,3.0,6-2,170
34,Jase Richardson,,CG,6-3 / 180,93,2024,3.0,6-3,180
35,Morez Johnson,,C,6-9 / 235,93,2024,3.0,6-9,235
36,Jackson McAndrew,,PF,6-9 / 210,93,2024,3.0,6-9,210
37,Cam Scott,,SG,6-5 / 165,93,2024,3.0,6-5,165
38,John Bol,,C,7-1 / 190,93,2024,3.0,7-1,190
39,Jaeden Mustaf,,CG,6-4 / 205,93,2024,3.0,6-4,205
40,Tyler Betsey,,PF,6-8 / 185,93,2024,3.0,6-8,185
41,Annor Boateng,,SF,6-6 / 210,93,2024,3.0,6-6,210
42,Isaiah Elohim,,SF,6-5 / 190,93,2024,3.0,6-5,190
43,Juni Mobley,,CG,6-0 / 150,93,2024,3.0,6-0,150
44,Kur Teng,,SG,6-4 / 185,93,2024,3.0,6-4,185
45,David Castillo,,CG,6-1 / 170,93,2024,3.0,6-1,170
46,Nicolas Codie,,PF,6-9 / 200,93,2024,3.0,6-9,200
47,Vyctorius Miller,,SG,6-5 / 170,93,2024,3.0,6-5,170
48,Rakease Passmore,,SF,6-5 / 180,93,2024,3.0,6-5,180
49,Robert Miller,,PF,6-10 / 225,93,2024,3.0,6-10,225
50,Austin Swartz,,SG,6-4 / 180,93,2024,3.0,6-4,180
51,Damarius Owens,,SF,6-8 / 190,93,2024,3.0,6-8,190
52,Elijah Moore,,SG,6-4 / 170,93,2024,3.0,6-4,170
53,Naas Cunningham,,SF,6-7 / 180,93,2024,3.0,6-7,180
54,Sir Mohammed,,CG,6-7 / 205,93,2024,3.0,6-7,205
55,Chase McCarty,,SF,6-5 / 200,93,2024,3.0,6-5,200
56,Darren Harris,,SF,6-6 / 195,93,2024,3.0,6-6,195
57,Peyton Marshall,,C,7-0 / 300,93,2024,3.0,7-0,300
58,Kayvaun Mulready,,SG,6-4 / 210,92,2024,3.0,6-4,210
59,Thomas Sorber,,C,6-9 / 250,92,2024,3.0,6-9,250
60,Amier Ali,,SF,6-8 / 175,92,2024,3.0,6-8,175
61,Jaiden Glover,,SF,6-6 / 190,92,2024,3.0,6-6,190
62,Paul McNeil,,SG,6-6 / 185,92,2024,3.0,6-6,185
63,Marcus Allen,,PF,6-6 / 190,92,2024,3.0,6-6,190
64,Curtis Givens III,,PG,6-2 / 170,92,2024,3.0,6-2,170
65,Jalen Shelley,,SF,6-8 / 190,92,2024,3.0,6-8,190
66,Makhan Diouf,,PF,6-11 / 215,92,2024,3.0,6-11,215
67,Tyler McKinley,,C,6-8 / 220,92,2024,3.0,6-8,220
68,Somto Cyril,,C,6-10 / 240,92,2024,3.0,6-10,240
69,Ryan Jones,,C,6-8 / 225,92,2024,3.0,6-8,225
70,Travis Perry,,PG,6-2 / 170,91,2024,3.0,6-2,170
71,Cooper Koch,,PF,6-7 / 205,91,2024,3.0,6-7,205
72,Isaiah Abraham,,PF,6-7 / 195,91,2024,3.0,6-7,195
73,Royce Parham,,PF,6-8 / 200,91,2024,3.0,6-8,200
74,Cole Certa,,SG,6-4 / 165,91,2024,3.0,6-4,165
75,Gicarri Harris,,CG,6-4 / 180,91,2024,3.0,6-4,180
76,Eric Freeny,,SG,6-3 / 180,91,2024,3.0,6-3,180
77,Bishop Boswell,,CG,6-4 / 195,91,2024,3.0,6-4,195
78,Mikey Lewis,,CG,6-3 / 170,91,2024,3.0,6-3,170
79,Nojus Indrusaitis,,SG,6-5 / 185,91,2024,3.0,6-5,185
80,Pharaoh Compton,,PF,6-6 / 215,91,2024,3.0,6-6,215
81,Juke Harris,,SG,6-6 / 185,91,2024,3.0,6-6,185
82,Darrion Sutton,,SF,6-7 / 175,91,2024,3.0,6-7,175
83,Trent Perry,,CG,6-4 / 175,91,2024,3.0,6-4,175
84,Trey Parker,,SG,6-2 / 170,91,2024,3.0,6-2,170
85,Jahki Howard,,SF,6-6 / 185,91,2024,3.0,6-6,185
86,Emmanuel Stephen,,C,7-0 / 215,90,2024,3.0,7-0,215
87,Andrew Crawford,,CG,6-6 / 175,90,2024,3.0,6-6,175
88,T.O. Barrett,,CG,6-4 / 180,90,2024,3.0,6-4,180
89,Daquan Davis,,PG,6-1 / 165,90,2024,3.0,6-1,165
90,Mercy Miller,,SG,6-4 / 180,90,2024,3.0,6-4,180
91,James Brown,,C,6-9 / 210,90,2024,3.0,6-9,210
92,Matthew Hodge,,PF,6-8 / 200,90,2024,3.0,6-8,200
93,Jacob Cofie,,PF,6-9 / 225,90,2024,3.0,6-9,225
94,Sammie Yeanay,,PF,6-8 / 230,90,2024,3.0,6-8,230
95,Larry Johnson,,SG,6-4 / 175,90,2024,3.0,6-4,175
96,Andre Mills,,SG,6-4 / 185,90,2024,3.0,6-4,185
97,Pape N'Diaye,,C,7-0 / 195,90,2024,3.0,7-0,195
98,Jonathan Powell,,SG,6-6 / 170,90,2024,3.0,6-6,170
99,Robert Hinton,,SG,6-4 / 175,90,2024,3.0,6-4,175
100,Trent Burns,,C,7-3 / 210,90,2024,3.0,7-3,210
101,Jack Robison,,SF,6-6 / 175,89,2024,3.0,6-6,175
102,Lathan Sommerville,,C,6-9 / 225,89,2024,3.0,6-9,225
103,Jared Harris,,SG,6-2 / 160,89,2024,3.0,6-2,160
104,George Turkson,,PF,6-7 / 205,89,2024,3.0,6-7,205
105,Isaiah Brown,,SG,6-5 / 185,88,2024,3.0,6-5,185
106,Brody Kozlowski,,PF,6-7 / 190,88,2024,3.0,6-7,190
107,David Punch,,PF,6-7 / 205,88,2024,3.0,6-7,205
108,Isaac Davis,,PF,6-6 / 220,88,2024,3.0,6-6,220
109,Zion Sensley,,SF,6-8 / 170,88,2024,3.0,6-8,170
110,Jason Jakstys,,PF,6-10 / 205,88,2024,3.0,6-10,205
111,Christian Anderson,,PG,5-11 / 155,88,2024,3.0,5-11,155
112,Jaxon Johnson,,PF,6-8 / 195,88,2024,3.0,6-8,195
113,Kuol Atak,,PF,6-9 / 185,88,2024,3.0,6-9,185
114,Godswill Erheriene,,C,6-9 / 225,88,2024,3.0,6-9,225
115,Nick Janowski,,SG,6-3 / 200,88,2024,3.0,6-3,200
116,Ethan Lathan,,C,6-10 / 190,88,2024,3.0,6-10,190
117,Colin White,,SF,6-6 / 180,88,2024,3.0,6-6,180
118,Micah Robinson,,SF,6-6 / 200,88,2024,3.0,6-6,200
119,KJ Windham,,CG,6-3 / 175,88,2024,3.0,6-3,175
120,Miles Goodman,,C,6-10 / 220,88,2024,3.0,6-10,220
121,Isaac Asuma,,PG,6-3 / 170,88,2024,3.0,6-3,170
122,Josiah Moseley,,PF,6-6 / 205,88,2024,3.0,6-6,205
123,Daniel Freitag,,PG,6-2 / 175,88,2024,3.0,6-2,175
124,Garrett Sundra,,PF,6-10 / 215,88,2024,3.0,6-10,215
125,Malachi Palmer,,SG,6-5 / 185,88,2024,3.0,6-5,185
126,Brandin Cummings,,CG,6-3 / 160,88,2024,3.0,6-3,160
127,Liam Campbell,,SG,6-4 / 180,88,2024,3.0,6-4,180
128,Dallas Thomas,,PF,6-7 / 170,88,2024,3.0,6-7,170
129,Jesse McCulloch,,C,6-9 / 190,88,2024,3.0,6-9,190
130,Del Jones,,PG,6-2 / 180,88,2024,3.0,6-2,180
131,Trent Noah,,SF,6-6 / 200,88,2024,3.0,6-6,200
132,Brooks Bahr,,CG,6-4 / 180,88,2024,3.0,6-4,180
133,Isaiah Johnson-Arigu,,SF,6-7 / 200,88,2024,3.0,6-7,200
134,Sebastian Rancik,,PF,6-9 / 210,88,2024,3.0,6-9,210
135,Dwayne Pierce,,SF,6-5 / 210,88,2024,3.0,6-5,210
136,Raleigh Burgess,,C,6-10 / 205,88,2024,3.0,6-10,205
137,Taj Degourville,,SF,6-4 / 185,88,2024,3.0,6-4,185
138,AJ Swinton,,SF,6-5 / 180,88,2024,3.0,6-5,180
139,Caden Diggs,,SF,6-7 / 180,88,2024,3.0,6-7,180
140,Jeremiah Johnson,,PG,6-3 / 170,88,2024,3.0,6-3,170
141,Tyrone Riley,,SF,6-5 / 180,88,2024,3.0,6-5,180
142,Malick Diallo,,C,6-10 / 215,88,2024,3.0,6-10,215
143,Josh Hill,,C,6-11 / 180,88,2024,3.0,6-11,180
144,Bryce Dortch,,PF,6-8 / 190,88,2024,3.0,6-8,190
145,Angelo Ciaravino,,SF,6-5 / 175,88,2024,3.0,6-5,175
146,Chris McDermott,,PF,6-7 / 215,88,2024,3.0,6-7,215
147,Luke Bamgboye,,C,6-10 / 190,88,2024,3.0,6-10,190
148,Zion Pipkin,,CG,6-1 / 175,88,2024,3.0,6-1,175
149,Felix Kossaras,,SG,6-5 / 180,88,2024,3.0,6-5,180
150,Khaman Maker,,C,7-0 / 215,88,2024,3.0,7-0,215
1,Cooper Flagg,,PF,6-9 / 195,100,2024,,81,195.0
2,Dylan Harper,,CG,6-6 / 210,99,2024,,78,210.0
3,Ace Bailey,,SF,6-8 / 195,99,2024,,80,195.0
4,Drake Powell,,SF,6-6 / 195,99,2024,,78,195.0
5,Tre Johnson,,SG,6-6 / 190,99,2024,,78,190.0
6,VJ Edgecombe,,SG,6-5 / 180,99,2024,,77,180.0
7,Jalil Bethea,,SG,6-4 / 170,99,2024,,76,170.0
8,Flory Bidunga,,C,6-8 / 215,99,2024,,80,215.0
9,Jayden Quaintance,,C,6-9 / 230,98,2024,,81,230.0
10,Ian Jackson,,SG,6-5 / 185,98,2024,,77,185.0
11,Isaiah Evans,,SF,6-6 / 170,98,2024,,78,170.0
12,Derik Queen,,C,6-10 / 240,98,2024,,82,240.0
13,Asa Newell,,PF,6-9 / 205,98,2024,,81,205.0
14,Karter Knox,,SF,6-5 / 205,98,2024,,77,205.0
15,Liam McNeeley,,SF,6-7 / 190,98,2024,,79,190.0
16,Kon Knueppel,,SF,6-5 / 205,98,2024,,77,205.0
17,Derrion Reid,,PF,6-7 / 180,98,2024,,79,180.0
18,Jason Asemota,,SF,6-8 / 190,98,2024,,80,190.0
19,Zoom Diallo,,PG,6-4 / 190,98,2024,,76,190.0
20,Patrick Ngongba II,,C,6-11 / 235,97,2024,,83,235.0
21,Carter Bryant,,PF,6-8 / 225,97,2024,,80,225.0
22,Kanon Catchings,,PF,6-8 / 185,97,2024,,80,185.0
23,Jamari Phillips,,SG,6-3 / 190,97,2024,,75,190.0
24,Billy Richmond,,SG,6-5 / 200,97,2024,,77,200.0
25,Tahaad Pettiford,,PG,6-1 / 170,97,2024,,73,170.0
26,Bryson Tucker,,SF,6-6 / 180,96,2024,,78,180.0
27,Labaron Philon,,PG,6-4 / 177,96,2024,,76,177.0
28,Donnie Freeman,,PF,6-9 / 190,96,2024,,81,190.0
29,Khani Rooths,,PF,6-8 / 200,96,2024,,80,200.0
30,Ahmad Nowell,,CG,6-0 / 180,95,2024,,72,180.0
31,Rob Wright,,PG,6-0 / 165,95,2024,,72,165.0
32,Aiden Sherrell,,C,6-10 / 215,93,2024,,82,215.0
33,Boogie Fland,,CG,6-2 / 170,93,2024,,74,170.0
34,Jase Richardson,,CG,6-3 / 180,93,2024,,75,180.0
35,Morez Johnson,,C,6-9 / 235,93,2024,,81,235.0
36,Jackson McAndrew,,PF,6-9 / 210,93,2024,,81,210.0
37,Cam Scott,,SG,6-5 / 165,93,2024,,77,165.0
38,John Bol,,C,7-1 / 190,93,2024,,85,190.0
39,Jaeden Mustaf,,CG,6-4 / 205,93,2024,,76,205.0
40,Tyler Betsey,,PF,6-8 / 185,93,2024,,80,185.0
41,Annor Boateng,,SF,6-6 / 210,93,2024,,78,210.0
42,Isaiah Elohim,,SF,6-5 / 190,93,2024,,77,190.0
43,Juni Mobley,,CG,6-0 / 150,93,2024,,72,150.0
44,Kur Teng,,SG,6-4 / 185,93,2024,,76,185.0
45,David Castillo,,CG,6-1 / 170,93,2024,,73,170.0
46,Nicolas Codie,,PF,6-9 / 200,93,2024,,81,200.0
47,Vyctorius Miller,,SG,6-5 / 170,93,2024,,77,170.0
48,Rakease Passmore,,SF,6-5 / 180,93,2024,,77,180.0
49,Robert Miller,,PF,6-10 / 225,93,2024,,82,225.0
50,Austin Swartz,,SG,6-4 / 180,93,2024,,76,180.0
51,Damarius Owens,,SF,6-8 / 190,93,2024,,80,190.0
52,Elijah Moore,,SG,6-4 / 170,93,2024,,76,170.0
53,Naas Cunningham,,SF,6-7 / 180,93,2024,,79,180.0
54,Sir Mohammed,,CG,6-7 / 205,93,2024,,79,205.0
55,Chase McCarty,,SF,6-5 / 200,93,2024,,77,200.0
56,Darren Harris,,SF,6-6 / 195,93,2024,,78,195.0
57,Peyton Marshall,,C,7-0 / 300,93,2024,,84,300.0
58,Kayvaun Mulready,,SG,6-4 / 210,92,2024,,76,210.0
59,Thomas Sorber,,C,6-9 / 250,92,2024,,81,250.0
60,Amier Ali,,SF,6-8 / 175,92,2024,,80,175.0
61,Jaiden Glover,,SF,6-6 / 190,92,2024,,78,190.0
62,Paul McNeil,,SG,6-6 / 185,92,2024,,78,185.0
63,Marcus Allen,,PF,6-6 / 190,92,2024,,78,190.0
64,Curtis Givens III,,PG,6-2 / 170,92,2024,,74,170.0
65,Jalen Shelley,,SF,6-8 / 190,92,2024,,80,190.0
66,Makhan Diouf,,PF,6-11 / 215,92,2024,,83,215.0
67,Tyler McKinley,,C,6-8 / 220,92,2024,,80,220.0
68,Somto Cyril,,C,6-10 / 240,92,2024,,82,240.0
69,Ryan Jones,,C,6-8 / 225,92,2024,,80,225.0
70,Travis Perry,,PG,6-2 / 170,91,2024,,74,170.0
71,Cooper Koch,,PF,6-7 / 205,91,2024,,79,205.0
72,Isaiah Abraham,,PF,6-7 / 195,91,2024,,79,195.0
73,Royce Parham,,PF,6-8 / 200,91,2024,,80,200.0
74,Cole Certa,,SG,6-4 / 165,91,2024,,76,165.0
75,Gicarri Harris,,CG,6-4 / 180,91,2024,,76,180.0
76,Eric Freeny,,SG,6-3 / 180,91,2024,,75,180.0
77,Bishop Boswell,,CG,6-4 / 195,91,2024,,76,195.0
78,Mikey Lewis,,CG,6-3 / 170,91,2024,,75,170.0
79,Nojus Indrusaitis,,SG,6-5 / 185,91,2024,,77,185.0
80,Pharaoh Compton,,PF,6-6 / 215,91,2024,,78,215.0
81,Juke Harris,,SG,6-6 / 185,91,2024,,78,185.0
82,Darrion Sutton,,SF,6-7 / 175,91,2024,,79,175.0
83,Trent Perry,,CG,6-4 / 175,91,2024,,76,175.0
84,Trey Parker,,SG,6-2 / 170,91,2024,,74,170.0
85,Jahki Howard,,SF,6-6 / 185,91,2024,,78,185.0
86,Emmanuel Stephen,,C,7-0 / 215,90,2024,,84,215.0
87,Andrew Crawford,,CG,6-6 / 175,90,2024,,78,175.0
88,T.O. Barrett,,CG,6-4 / 180,90,2024,,76,180.0
89,Daquan Davis,,PG,6-1 / 165,90,2024,,73,165.0
90,Mercy Miller,,SG,6-4 / 180,90,2024,,76,180.0
91,James Brown,,C,6-9 / 210,90,2024,,81,210.0
92,Matthew Hodge,,PF,6-8 / 200,90,2024,,80,200.0
93,Jacob Cofie,,PF,6-9 / 225,90,2024,,81,225.0
94,Sammie Yeanay,,PF,6-8 / 230,90,2024,,80,230.0
95,Larry Johnson,,SG,6-4 / 175,90,2024,,76,175.0
96,Andre Mills,,SG,6-4 / 185,90,2024,,76,185.0
97,Pape N'Diaye,,C,7-0 / 195,90,2024,,84,195.0
98,Jonathan Powell,,SG,6-6 / 170,90,2024,,78,170.0
99,Robert Hinton,,SG,6-4 / 175,90,2024,,76,175.0
100,Trent Burns,,C,7-3 / 210,90,2024,,87,210.0
101,Jack Robison,,SF,6-6 / 175,89,2024,,78,175.0
102,Lathan Sommerville,,C,6-9 / 225,89,2024,,81,225.0
103,Jared Harris,,SG,6-2 / 160,89,2024,,74,160.0
104,George Turkson,,PF,6-7 / 205,89,2024,,79,205.0
105,Isaiah Brown,,SG,6-5 / 185,88,2024,,77,185.0
106,Brody Kozlowski,,PF,6-7 / 190,88,2024,,79,190.0
107,David Punch,,PF,6-7 / 205,88,2024,,79,205.0
108,Isaac Davis,,PF,6-6 / 220,88,2024,,78,220.0
109,Zion Sensley,,SF,6-8 / 170,88,2024,,80,170.0
110,Jason Jakstys,,PF,6-10 / 205,88,2024,,82,205.0
111,Christian Anderson,,PG,5-11 / 155,88,2024,,71,155.0
112,Jaxon Johnson,,PF,6-8 / 195,88,2024,,80,195.0
113,Kuol Atak,,PF,6-9 / 185,88,2024,,81,185.0
114,Godswill Erheriene,,C,6-9 / 225,88,2024,,81,225.0
115,Nick Janowski,,SG,6-3 / 200,88,2024,,75,200.0
116,Ethan Lathan,,C,6-10 / 190,88,2024,,82,190.0
117,Colin White,,SF,6-6 / 180,88,2024,,78,180.0
118,Micah Robinson,,SF,6-6 / 200,88,2024,,78,200.0
119,KJ Windham,,CG,6-3 / 175,88,2024,,75,175.0
120,Miles Goodman,,C,6-10 / 220,88,2024,,82,220.0
121,Isaac Asuma,,PG,6-3 / 170,88,2024,,75,170.0
122,Josiah Moseley,,PF,6-6 / 205,88,2024,,78,205.0
123,Daniel Freitag,,PG,6-2 / 175,88,2024,,74,175.0
124,Garrett Sundra,,PF,6-10 / 215,88,2024,,82,215.0
125,Malachi Palmer,,SG,6-5 / 185,88,2024,,77,185.0
126,Brandin Cummings,,CG,6-3 / 160,88,2024,,75,160.0
127,Liam Campbell,,SG,6-4 / 180,88,2024,,76,180.0
128,Dallas Thomas,,PF,6-7 / 170,88,2024,,79,170.0
129,Jesse McCulloch,,C,6-9 / 190,88,2024,,81,190.0
130,Del Jones,,PG,6-2 / 180,88,2024,,74,180.0
131,Trent Noah,,SF,6-6 / 200,88,2024,,78,200.0
132,Brooks Bahr,,CG,6-4 / 180,88,2024,,76,180.0
133,Isaiah Johnson-Arigu,,SF,6-7 / 200,88,2024,,79,200.0
134,Sebastian Rancik,,PF,6-9 / 210,88,2024,,81,210.0
135,Dwayne Pierce,,SF,6-5 / 210,88,2024,,77,210.0
136,Raleigh Burgess,,C,6-10 / 205,88,2024,,82,205.0
137,Taj Degourville,,SF,6-4 / 185,88,2024,,76,185.0
138,AJ Swinton,,SF,6-5 / 180,88,2024,,77,180.0
139,Caden Diggs,,SF,6-7 / 180,88,2024,,79,180.0
140,Jeremiah Johnson,,PG,6-3 / 170,88,2024,,75,170.0
141,Tyrone Riley,,SF,6-5 / 180,88,2024,,77,180.0
142,Malick Diallo,,C,6-10 / 215,88,2024,,82,215.0
143,Josh Hill,,C,6-11 / 180,88,2024,,83,180.0
144,Bryce Dortch,,PF,6-8 / 190,88,2024,,80,190.0
145,Angelo Ciaravino,,SF,6-5 / 175,88,2024,,77,175.0
146,Chris McDermott,,PF,6-7 / 215,88,2024,,79,215.0
147,Luke Bamgboye,,C,6-10 / 190,88,2024,,82,190.0
148,Zion Pipkin,,CG,6-1 / 175,88,2024,,73,175.0
149,Felix Kossaras,,SG,6-5 / 180,88,2024,,77,180.0
150,Khaman Maker,,C,7-0 / 215,88,2024,,84,215.0
