BPI RK,TEAM,CONF,W-L,OFF,DEF,BPI,Year,,,,,
78,Northwestern Wildcats,Big Ten,15-Sep,2,4.2,6.2,2021,,,,,
79,Marquette Golden Eagles,Big East,13-14,3.2,3.1,6.2,2021,,,,,
80,Stanford Cardinal,Pac-12,14-13,1.2,5,6.2,2021,,,,,
81,Notre Dame Fighting Irish,ACC,15-Nov,7.1,-1.1,6.1,2021,,,,,
82,UAB Blazers,CUSA,22-7,0.9,5.1,6,2021,,,,,
83,Colorado State Rams,Mountain West,20-8,4,1.9,5.9,2021,,,,,
84,Marshall Thundering Herd,CUSA,15-7,4.3,1.6,5.9,2021,,,,,
85,Winthrop Eagles,Big South,23-2,2.5,3.3,5.8,2021,,,,,
86,Abilene Christian Wildcats,Southland,24-5,-0.7,6.5,5.8,2021,,,,,
87,Dayton Flyers,A-10,14-10,3.6,2.1,5.7,2021,,,,,
88,Pittsburgh Panthers,ACC,12-Oct,3.3,2.2,5.5,2021,,,,,
89,UNC Greensboro Spartans,Southern,21-9,1.1,4.3,5.4,2021,,,,,
90,Belmont Bruins,OVC,26-4,4.8,0.5,5.3,2021,,,,,
91,Saint Mary's Gaels,WCC,14-10,0.1,5.1,5.3,2021,,,,,
92,Western Kentucky Hilltoppers,CUSA,21-8,3,2.2,5.3,2021,,,,,
93,Buffalo Bulls,MAC,16-9,2.6,2.6,5.2,2021,,,,,
94,Ohio Bobcats,MAC,17-8,4.9,0.2,5.1,2021,,,,,
95,Rhode Island Rams,A-10,15-Oct,1.1,4,5.1,2021,,,,,
96,Furman Paladins,Southern,16-9,4.4,0.6,5,2021,,,,,
97,Vermont Catamounts,Am. East,5-Oct,3,2,5,2021,,,,,
98,Wichita State Shockers,American,16-6,1.7,3.3,5,2021,,,,,
99,UC Irvine Anteaters,Big West,18-9,-0.3,5,4.7,2021,,,,,
100,Loyola Marymount Lions,WCC,13-9,2.6,1.9,4.5,2021,,,,,
101,Pepperdine Waves,WCC,15-12,3.3,1.2,4.5,2021,,,,,
102,Vanderbilt Commodores,SEC,16-Sep,3.7,0.7,4.4,2021,,,,,
103,South Dakota State Jackrabbits,Summit,16-7,5.8,-1.6,4.3,2021,,,,,
104,Georgia Bulldogs,SEC,14-12,2.5,1.6,4.1,2021,,,,,
105,Eastern Washington Eagles,Big Sky,16-8,4.1,0,4,2021,,,,,
106,Arizona State Sun Devils,Pac-12,14-Nov,3.1,0.8,3.9,2021,,,,,
107,UC Riverside Highlanders,Big West,14-8,0.7,3.2,3.9,2021,,,,,
108,Duquesne Dukes,A-10,9-Sep,0.2,3.4,3.7,2021,,,,,
109,Nevada Wolf Pack,Mountain West,16-10,2.5,1.2,3.6,2021,,,,,
110,Wofford Terriers,Southern,15-9,3.2,0.4,3.6,2021,,,,,
111,Washington State Cougars,Pac-12,14-13,-1.5,5,3.5,2021,,,,,
112,San Francisco Dons,WCC,14-Nov,1.1,2.5,3.5,2021,,,,,
113,Massachusetts Minutemen,A-10,7-Aug,2.2,1.2,3.5,2021,,,,,
114,Georgia State Panthers,Sun Belt,16-6,3.6,-0.2,3.4,2021,,,,,
115,UCF Knights,American,12-Nov,1.7,1.7,3.4,2021,,,,,
116,Weber State Wildcats,Big Sky,17-6,3.6,-0.3,3.3,2021,,,,,
117,Nebraska Cornhuskers,Big Ten,20-Jul,-0.5,3.8,3.3,2021,,,,,
118,South Carolina Gamecocks,SEC,15-Jun,0.9,2.2,3.1,2021,,,,,
119,Missouri State Bears,MVC,17-7,1.9,1.1,3,2021,,,,,
120,Tulsa Golden Hurricane,American,12-Nov,0.4,2.5,2.9,2021,,,,,
121,Butler Bulldogs,Big East,15-Oct,0.4,2.5,2.8,2021,,,,,
122,Southern Utah Thunderbirds,Big Sky,20-4,3.1,-0.5,2.6,2021,,,,,
123,Murray State Racers,OVC,13-13,2.2,0.4,2.6,2021,,,,,
124,Akron Zips,MAC,15-8,3.2,-0.6,2.6,2021,,,,,
125,Kent State Golden Flashes,MAC,15-8,1.6,0.9,2.6,2021,,,,,
126,Cincinnati Bearcats,American,11-Dec,0.2,2.3,2.4,2021,,,,,
127,Coastal Carolina Chanticleers,Sun Belt,18-8,1.2,0.7,1.9,2021,,,,,
128,Cal State Bakersfield Roadrunners,Big West,15-11,0.5,1.4,1.8,2021,,,,,
129,Texas A&M Aggies,SEC,10-Aug,-0.2,2,1.8,2021,,,,,
130,UMBC Retrievers,Am. East,14-6,-0.1,1.8,1.8,2021,,,,,
131,Miami Hurricanes,ACC,17-Oct,0.3,1.4,1.7,2021,,,,,
132,New Mexico State Aggies,WAC,8-Dec,1.7,0,1.7,2021,,,,,
133,TCU Horned Frogs,Big 12,14-Dec,1,0.7,1.7,2021,,,,,
134,Mercer Bears,Southern,18-11,2,-0.5,1.6,2021,,,,,
135,Temple Owls,American,11-May,-0.2,1.7,1.5,2021,,,,,
136,Iona Gaels,MAAC,6-Dec,0.3,1.1,1.5,2021,,,,,
137,Oral Roberts Golden Eagles,Summit,18-11,3.4,-1.9,1.4,2021,,,,,
138,DePaul Blue Demons,Big East,14-May,-2.4,3.8,1.4,2021,,,,,
139,Bowling Green Falcons,MAC,14-12,2,-0.7,1.4,2021,,,,,
140,California Golden Bears,Pac-12,20-Sep,0.6,0.7,1.4,2021,,,,,
141,UNLV Rebels,Mountain West,15-Dec,2,-0.7,1.3,2021,,,,,
142,Siena Saints,MAAC,5-Dec,0.3,0.9,1.3,2021,,,,,
143,Bradley Braves,MVC,16-Dec,0.6,0.6,1.2,2021,,,,,
144,Stephen F. Austin Lumberjacks,Southland,16-5,0.9,0.2,1,2021,,,,,
145,East Tennessee State Buccaneers,Southern,13-12,-0.4,1.4,1,2021,,,,,
146,Florida Atlantic Owls,CUSA,13-10,1.2,-0.2,1,2021,,,,,
147,Eastern Kentucky Colonels,OVC,22-7,-0.4,1.3,0.9,2021,,,,,
148,Drexel Dragons,CAA,8-Dec,2.4,-1.5,0.9,2021,,,,,
149,Navy Midshipmen,Patriot,15-3,0.5,0.4,0.9,2021,,,,,
150,Sam Houston Bearkats,Southland,19-9,0.4,0.5,0.9,2021,,,,,
151,James Madison Dukes,CAA,13-7,1.2,-0.3,0.9,2021,,,,,
152,George Mason Patriots,A-10,13-9,-0.9,1.5,0.6,2021,,,,,
153,Boston College Eagles,ACC,16-Apr,1.5,-0.9,0.6,2021,,,,,
154,Santa Clara Broncos,WCC,8-Dec,-1.2,1.6,0.4,2021,,,,,
155,Bryant Bulldogs,NEC,15-7,1.2,-0.8,0.4,2021,,,,,
156,Pacific Tigers,WCC,9-Sep,-0.6,1,0.4,2021,,,,,
157,Morehead State Eagles,OVC,23-8,-1.7,2.1,0.3,2021,,,,,
158,Bellarmine Knights,ASUN,14-8,3.3,-3.1,0.2,2021,,,,,
159,North Dakota State Bison,Summit,15-12,0.6,-0.5,0.1,2021,,,,,
160,Old Dominion Monarchs,CUSA,15-8,-0.6,0.7,0.1,2021,,,,,
161,Indiana State Sycamores,MVC,15-10,-1,1.1,0.1,2021,,,,,
162,Jacksonville State Gamecocks,OVC,18-9,0.8,-0.8,0,2021,,,,,
163,Chattanooga Mocs,Southern,18-8,0.4,-0.4,0,2021,,,,,
