Rank,Player,High School,Position,Height / Weight,Rating,Team
1,Emmanuel Mudiay,"Emmanuel MudiayPrime Prep Academy (Arlington, TX)",PG,6-5 / 190,100,SMU
2,Karl-Anthony Towns,"Karl-Anthony TownsSaint Joseph (Piscataway, NJ)",C,7-1 / 248,100,Kentucky
3,Stanley Johnson,"Stanley JohnsonMater Dei (Santa Ana, CA)",SG,6-7 / 226,100,Arizona
4,Cliff Alexander,"Cliff AlexanderCurie Metropolitan (Chicago, IL)",PF,6-9 / 240,100,Kansas
5,Kelly Oubre,"Kelly OubreFindlay Prep (Sugar Land, TX)",SG,6-7 / 190,100,Kansas
6,Jahlil Okafor,"Jahlil OkaforWhitney Young (Chicago, IL)",C,6-11 / 270,100,Duke
7,Myles Turner,"Myles TurnerTrinity (Euless, TX)",C,6-10 / 223,100,Texas
8,Tyus Jones,"Tyus JonesApple Valley (Saint Paul, MN)",PG,6-2 / 180,99,Duke
9,Justin Jackson,"Justin JacksonHomeschool Christian Y.A. (Spring, TX)",SF,6-8 / 189,99,North Carolina
10,Isaiah Whitehead,"Isaiah WhiteheadAbraham Lincoln (Brooklyn, NY)",SG,6-4 / 195,99,Seton Hall
11,Kevon Looney,"Kevon LooneyHamilton (Milwaukee, WI)",PF,6-9 / 208,99,UCLA
12,James Blackmon Jr.,"James Blackmon Jr.Marian (Marion, IN)",SG,6-3.5 / 180,99,Indiana
13,Rashad Vaughn,"Rashad VaughnFindlay Prep (Minneapolis, MN)",SG,6-5 / 203,99,UNLV
14,Theo Pinson,"Theo PinsonWesleyan Christian (Greensboro, NC)",SF,6-6 / 180,99,North Carolina
15,Justise Winslow,"Justise WinslowSt. John's (Houston, TX)",SF,6-6 / 210,99,Duke
16,Goodluck Okonoboh,"Goodluck OkonobohWilbraham & Monson Academy (Boston, MA)",C,6-9 / 213,99,UNLV
17,Trey Lyles,"Trey LylesArsenal Technical (Indianapolis, IN)",PF,6-9 / 245,99,Kentucky
18,Daniel Hamilton,"Daniel HamiltonSt. John Bosco (Bellflower, CA)",SG,6-8 / 178,99,Connecticut
19,Brandone Francis,"Brandone FrancisArlington Country Day School (Jacksonville, FL)",SG,6-5 / 209,98,Florida
20,Tyler Ulis,"Tyler UlisMarian Catholic (Lima, OH)",PG,5-8 / 142,98,Kentucky
21,Shaqquan Aaron,"Shaqquan AaronRainier Beach (Santa Ana, CA)",SG,6-8 / 174,98,Louisville
22,Devin Booker,"Devin BookerMoss Point (Grand Rapids, MI)",SG,6-6 / 194,98,Kentucky
23,Terry Larrier,"Terry LarrierThe Phelps School (Bronx, NY)",SF,6-7 / 172,98,VCU
24,Devin Robinson,"Devin RobinsonChristchurch School (Church View, VA)",SF,6-8 / 169,98,Florida
