Rank,Player,High School,Position,Height / Weight,Rating,Team
25,Dwayne Morgan,"Dwayne MorganSt. Frances Academy (Baltimore, MD)",SF,6-8 / 190,98,UNLV
26,Domantas Sabonis,Domantas SabonisUnicaja Malaga (Malaga),PF,6-11 / 210,98,Gonzaga
27,Jonah Bolden,"Jonah BoldenBrewster Academy (Henderson, NV)",SF,6-9 / 210,98,UCLA
28,Kameron Chatman,"Kameron ChatmanColumbia Christian Schools (Long Beach, CA)",SF,6-6.5 / 197,97,Michigan
29,Isaac Copeland,"Isaac CopelandBrewster Academy (Charlottesville, VA)",SF,6-9.5 / 187,97,Georgetown
30,D'Angelo Russell,"D'Angelo RussellMontverde Academy (Louisville, KY)",SG,6-5 / 176,97,Ohio State
31,Sviatoslav Mykhailiuk,"Sviatoslav MykhailiukCherkassky Mavpy (Cherkassy, CY)",SG,6-6 / 180,97,Kansas
32,Chris McCullough,"Chris McCulloughIMG Academy (Salisbury, CT)",PF,6-8.5 / 198,97,Syracuse
33,Malik Pope,"Malik PopeCapital Christian (Elk Grove, CA)",SF,6-8 / 175,97,San Diego State
34,Kaleb Joseph,"Kaleb JosephCushing Academy (Nashua, NH)",PG,6-2 / 170,97,Syracuse
35,Melo Trimble,"Melo TrimbleBishop O'Connell (Upper Marlboro, MD)",PG,6-2 / 190,97,Maryland
36,Chris Chiozza,"Chris ChiozzaWhite Station (Memphis, TN)",PG,5-10 / 160,97,Florida
37,Michal Cekovsky,"Michal CekovskyCanarias Basketball Academy (Na, NA)",PF,7-0 / 220,96,Maryland
38,Grayson Allen,"Grayson AllenProvidence (Jacksonville, FL)",SG,6-5 / 205,96,Duke
39,Brekkott Chapman,"Brekkott ChapmanRoy (Roy, UT)",PF,6-8 / 200,96,Utah
40,Ja'Quan Newton,"Ja'Quan NewtonNeumann Goretti (Philadelphia, PA)",PG,6-2 / 173,96,Miami
41,Leron Black,"Leron BlackWhite Station (Memphis, TN)",PF,6-7 / 215,96,Illinois
42,Jared Terrell,"Jared TerrellBrewster Academy (New Hampton, NH)",SG,6-3 / 220,96,Rhode Island
43,Angel Delgado,"Angel DelgadoSt. Patrick (Elizabeth, NJ)",PF,6-9 / 215,96,Seton Hall
44,Detrick Mostella,"Detrick MostellaNotre Dame Preparatory School (Decatur, AL)",SG,6-3 / 170,96,Tennessee
45,Montaque Gill-Caesar,"Montaque Gill-CaesarHuntington Prep (Huntington, WV)",SG,6-5 / 200,96,Missouri
46,Justin Coleman,"Justin ColemanWenonah Sch (Birmingham, AL)",PG,5-10 / 146,95,Alabama
47,Jordan McLaughlin,"Jordan McLaughlinEtiwanda (Rancho Cucamonga, CA)",PG,5-11 / 162,95,USC
48,Reid Travis,"Reid TravisDe La Salle (Minneapolis, MN)",PF,6-7 / 228,95,Stanford
49,Craig Victor,"Craig VictorFindlay Prep (New Orleans, LA)",PF,6-8 / 205,95,Arizona
50,Joel Berry,"Joel BerryLake Highland Prep (Apopka, FL)",PG,6-0 / 188,95,North Carolina
51,Keita Bates-Diop,"Keita Bates-DiopNormal Community (Normal, IL)",SF,6-6 / 180,95,Ohio State
52,Abdul Malik Abu,"Abdul Malik AbuKimball Union Academy (Meriden, NH)",PF,6-8 / 232,95,NC State
53,JaKeenan Gant,"JaKeenan GantEffingham County (Springfield, GA)",PF,6-7 / 195,95,Missouri
54,Quentin Snider,"Quentin SniderBallard (Louisville, KY)",PG,6-1.5 / 166,95,Louisville
55,T.J. Haws,"T.J. HawsLone Peak (American Fork, UT)",SG,6-3 / 170,95,Brigham Young
56,Robert Johnson,"Robert JohnsonBenedictine (Richmond, VA)",SG,6-3 / 180,95,Indiana
57,Trevon Bluiett,"Trevon BluiettPark Tudor (Indianapolis, IN)",SF,6-6 / 185,95,Xavier
58,Jaylen Johnson,"Jaylen JohnsonYpsilanti (Ypsilanti, MI)",PF,6-9 / 206,95,Louisville
59,Elbert Robinson,"Elbert RobinsonLakeview Centennial (Garland, TX)",C,7-0 / 322,95,LSU
60,Dillon Brooks,"Dillon BrooksFindlay Prep (Toronto, ON)",SF,6-5 / 185,95,Oregon
61,Devin Mitchell,"Devin MitchellCollins Hill (Suwanee, GA)",SG,6-3 / 170,95,Alabama
62,Dion Wiley,"Dion WileyPotomac (Oxon Hill, MD)",SG,6-3 / 210,95,Maryland
63,Parker Jackson-Cartwright,"Parker Jackson-CartwrightLoyola (Los Angeles, CA)",PG,5-10 / 146,95,Arizona
64,Ahmed Hill,"Ahmed HillAquinas (Augusta, GA)",SG,6-4.5 / 192,95,Virginia Tech
65,Jordan Bell,"Jordan BellLong Beach Poly (Long Beach, CA)",PF,6-7 / 225,95,Oregon
66,Donte Grantham,"Donte GranthamMartinsburg (Martinsburg, WV)",SF,6-8 / 200,94,Clemson
67,Thomas Welsh,"Thomas WelshLoyola (Los Angeles, CA)",C,7-0 / 245,94,UCLA
68,Caleb Martin,"Caleb MartinOak Hill Academy (Mouth Of Wilson, VA)",SF,6-7 / 190,94,NC State
69,Jae'Sean Tate,"Jae'Sean TatePickerington Central (Pickerington, OH)",SF,6-4 / 214,94,Ohio State
70,Sandy Cohen,"Sandy CohenSeymour (Seymour, WI)",SG,6-5 / 175,94,Marquette
71,Paul White,"Paul WhiteWhitney Young (Chicago, IL)",SF,6-9 / 195,94,Georgetown
72,Chinanu Onuaku,"Chinanu OnuakuRiverdale Baptist (Upper Marlboro, MD)",C,6-10 / 220,94,Louisville
73,Khadeem Lattin,"Khadeem LattinCanarias Basketball Academy (Houston, TX)",PF,6-9 / 197,94,Oklahoma
74,Dominic MaGee,"Dominic MaGeeHelen Cox (Harvey, LA)",PG,6-3 / 173,94,Memphis
75,B.J. Stith,"B.J. StithOak Hill Academy (Mouth Of Wilson, VA)",SG,6-5 / 175,94,Virginia
76,Josh Perkins,"Josh PerkinsHuntington Prep (Huntington, WV)",PG,6-2 / 176,94,Gonzaga
77,Cody Martin,"Cody MartinOak Hill Academy (Mouth Of Wilson, VA)",SF,6-7 / 205,93,NC State
78,Makinde London,"Makinde LondonMontverde Academy (Montverde, FL)",PF,6-10 / 195,93,Xavier
79,Michael Humphrey,"Michael HumphreySunnyslope (Phoenix, AZ)",PF,6-9 / 200,93,Stanford
80,Zylan Cheatham,"Zylan CheathamSouth Mountain (Phoenix, AZ)",PF,6-7.5 / 202,93,San Diego State
81,Joe Burton,"Joe BurtonLutheran North (Houston, TX)",SF,6-5 / 195,93,Oklahoma State
82,Tadric Jackson,"Tadric JacksonTift County (Tifton, GA)",PG,6-2 / 200,93,Georgia Tech
83,Lourawls Nairn Jr.,"Lourawls Nairn Jr.Sunrise Christian (Wichita, KS)",PG,5-10 / 165,93,Michigan State
84,Paschal Chukwu,"Paschal ChukwuFairfield College Preparatory (Fairfield, CT)",C,7-2 / 210,93,Providence
85,Anas Mahmoud,"Anas MahmoudWest Oaks Academy (Orlando, FL)",C,7-0 / 205,93,Louisville
86,Alex Robinson,"Alex RobinsonMansfield Timberview (Arlington, TX)",PG,6-1 / 170,93,Texas A&M
87,Riley Norris,"Riley NorrisAlbertville (Albertville, AL)",SF,6-7 / 200,92,Alabama
88,Dusan Ristic,"Dusan RisticSunrise Christian (Wichita, KS)",C,7-0 / 240,92,Arizona
89,Trayvon Reed,"Trayvon ReedLife Center Academy (Snellville, GA)",C,7-1 / 218,92,Auburn
90,Vic Law,"Vic LawSt. Rita (Chicago, IL)",SF,6-7 / 195,92,Northwestern
91,Phil Booth,"Phil BoothMount Saint Joseph (Baltimore, MD)",SG,6-2 / 181,92,Villanova
92,Tra Holder,"Tra HolderBrentwood School (Los Angeles, CA)",PG,6-0 / 170,92,Arizona State
93,Devonte Graham,"Devonte GrahamBrewster Academy (Raleigh, NC)",PG,6-1 / 165,92,Kansas
94,Gary Clark,"Gary ClarkClayton (Clayton, NC)",PF,6-7 / 215,92,Cincinnati
95,Jared Nickens,"Jared NickensWesttown School (Norristown, PA)",SF,6-6 / 180,92,Maryland
96,William Lee,"William LeeDallas County (Plantersville, AL)",PF,6-8 / 192,92,UAB
97,Isaiah Wilkins,"Isaiah WilkinsGreater Atlanta Christian School (Norcross, GA)",SF,6-7 / 190,92,Virginia
98,Namon Wright,"Namon WrightFindlay Prep (West Hollywood, CA)",SG,6-5 / 180,92,Missouri
99,L.J. Peak,"L.J. PeakGaffney (Gaffney, SC)",SG,6-5 / 180,92,Georgetown
100,Elijah Stewart,"Elijah StewartWestchester Senior (Los Angeles, CA)",SG,6-5 / 165,92,USC
101,Jalen Lindsey,"Jalen LindseyHuntington Prep (Huntington, WV)",SF,6-6 / 195,92,Providence
102,Chris Egi,"Chris EgiMontverde Academy (Aurora, ON)",C,6-9 / 200,92,Harvard
103,Chris Sandifer,"Chris SandiferJunipero Serra (Gardena, CA)",SG,6-4 / 170,92,N/A
104,Ahmaad Rorie,"Ahmaad RorieLincoln (Tacoma, WA)",PG,6-1 / 180,92,Oregon
105,Malik Martin,"Malik MartinNortheast (Opa Locka, FL)",PF,6-9 / 195,92,USC
106,Leon Gilmore,"Leon GilmoreManvel (Manvel, TX)",SF,6-7 / 200,92,Creighton
107,Ben Bentil,"Ben BentilSt Andrew's School (Middletown, DE)",PF,6-8 / 230,92,Providence
108,Obi Enechionyia,"Obi EnechionyiaSt. James School (Sharpsburg, MD)",PF,6-9 / 205,92,Temple
109,Shelton Mitchell,"Shelton MitchellOak Hill Academy (Mouth Of Wilson, VA)",PG,6-2.5 / 186,92,Vanderbilt
110,Larry Austin,"Larry AustinLanphier (Springfield, IL)",PG,6-1 / 165,92,Xavier
111,Dominique Collier,"Dominique CollierEast (Denver, CO)",PG,6-2 / 160,92,Colorado
112,Eric Paschall,"Eric PaschallSt. Thomas More (Oakdale, CT)",PF,6-6 / 226,91,Fordham
113,Malek Harris,"Malek HarrisCarl Sandburg (Orland Park, IL)",SF,6-7 / 190,91,Kansas State
114,Mikal Bridges,"Mikal BridgesGreat Valley (Malvern, PA)",SF,6-6 / 178,91,Villanova
115,Josh Cunningham,"Josh CunninghamMorgan Park (Chicago, IL)",SF,6-6.5 / 189,91,Bradley
116,Martin Geben,"Martin GebenSt Maria Goretti (Hagerstown, MD)",PF,6-9 / 230,91,Notre Dame
117,Anton Beard,"Anton BeardParkview Magnet (Little Rock, AR)",PG,6-1 / 170,90,Arkansas
118,Wade Baldwin,"Wade BaldwinSt Joseph (Metuchen, NJ)",SG,6-3 / 180,90,Vanderbilt
119,Kelan Martin,"Kelan MartinBallard (Louisville, KY)",PF,6-6 / 210,90,Butler
120,Marial Shayok,"Marial ShayokBlair Academy (Blairstown, NJ)",SG,6-7 / 205,90,Virginia
121,Dante Buford,"Dante BufordArlington Country Day School (Jacksonville, FL)",PF,6-7 / 205,90,Oklahoma
122,Trey Kell,"Trey KellSt Augustine (San Diego, CA)",SG,6-3.5 / 210,89,San Diego State
123,James Demery,"James DemeryNorthside Christian Academy (Charlotte, NC)",SG,6-4 / 170,89,Saint Joseph's
124,Bonzie Colson,"Bonzie ColsonSt Andrews School (Barrington, RI)",SF,6-5 / 218,89,Notre Dame
125,Adonys Henriquez,"Adonys HenriquezOrlando Christian Prep (Orlando, FL)",SG,6-7 / 205,89,UCF
126,Dave Bell,"Dave BellGarfield Heights (Cleveland, OH)",PF,6-9 / 225,89,Ohio State
127,Boubacar Moungoro,"Boubacar MoungoroIMG Academy (Bradenton, FL)",SF,6-6 / 188,89,N/A
128,Chandler Hutchison,"Chandler HutchisonMission Viejo (Mission Viejo, CA)",SF,6-5 / 175,89,Boise State
129,D.J. Foreman,"D.J. ForemanMassanutten Military Academy (Spring Valley, NY)",PF,6-8 / 215,89,Rutgers
130,Michael Gilmore,"Michael GilmoreJames Rickards (Jacksonville, FL)",PF,6-9 / 210,89,VCU
131,Mitch Solomon,"Mitch SolomonBixby (Bixby, OK)",PF,6-9 / 225,89,Oklahoma State
132,Riley LaChance,"Riley LaChanceBrookfield Central (Brookfield, WI)",SG,6-2 / 160,89,Vanderbilt
133,Nick Babb,"Nick BabbMartin (Arlington, TX)",SG,6-4 / 180,89,Arkansas
134,Nate Mason,"Nate MasonArlington Country Day School (Decatur, GA)",PG,6-1 / 180,89,Minnesota
135,J.P. Macura,"J.P. MacuraLakeville North (Lakeville, MN)",SG,6-4 / 180,89,Xavier
136,Payton Dastrup,"Payton DastrupMountain View (Mesa, AZ)",PF,6-9 / 218,89,Brigham Young
137,Troy Holston,"Troy HolstonOldsmar Christian School (Oldsmar, FL)",SG,6-4 / 187,89,USF
138,Lewis Sullivan,"Lewis SullivanHazel Green (Hazel Green, AL)",SF,6-7 / 190,89,UAB
139,Darrell Davis,"Darrell DavisDouglass Academy (Detroit, MI)",SG,6-4 / 170,89,Dayton
140,Rashard Figures,"Rashard FiguresHackensack (Hackensack, NJ)",SG,6-4 / 185,89,N/A
141,Jordan Barnett,"Jordan BarnettChristian Brothers College (Saint Louis, MO)",SF,6-6 / 180,89,Texas
142,Robert Cartwright,"Robert CartwrightFlintridge Preparatory School (La Canada Flintridge, CA)",PG,6-2 / 165,89,Stanford
143,Cameron Oliver,"Cameron OliverGrant Union (Sacramento, CA)",PF,6-7 / 210,89,Oregon State
144,Isaac Haas,"Isaac HaasHokes Bluff Sch (Gadsden, AL)",C,7-1 / 285,89,Purdue
145,Justin Bibbs,"Justin BibbsMontverde Academy (Montverde, FL)",SG,6-5 / 190,89,Virginia Tech
146,Bryant McIntosh,"Bryant McIntoshGreensburg Community (New Castle, IN)",PG,6-2 / 180,89,Northwestern
147,James Palmer,"James PalmerSt. John's (Washington, DC)",SG,6-5 / 180,89,Miami
148,Isaiah Bailey,"Isaiah BaileyCompton (Compton, CA)",SF,6-5 / 180,89,Fresno State
149,Edmond Sumner,"Edmond SumnerDetroit Country Day (Franklin, MI)",PG,6-4 / 149,89,Xavier
150,Shep Garner,"Shep GarnerRoman Catholic (Philadelphia, PA)",PG,6-2 / 180,89,Penn State
151,Therence Mayimba,"Therence MayimbaSt James Preparatory School (Newark, NJ)",SF,6-5 / 200,89,George Mason
152,Djuan Piper,"Djuan PiperRainier Beach (Seattle, WA)",SF,6-6 / 180,89,N/A
153,Marcanvis Hymon,"Marcanvis HymonWhitehaven (Memphis, TN)",SF,6-8 / 205,89,Ole Miss
154,Khadeen Carrington,"Khadeen CarringtonBishop Loughlin Memorial (Brooklyn, NY)",SG,6-2.5 / 177,89,Seton Hall
155,Marqywell Jackson,"Marqywell JacksonCrockett  (Detroit, MI)",SG,6-4 / 180,89,Duquesne
156,Dorian Pickens,"Dorian PickensPinnacle (Phoenix, AZ)",SG,6-4 / 180,89,Stanford
157,Vincent Edwards,"Vincent EdwardsMiddletown (Middletown, OH)",SF,6-7 / 198,89,Purdue
158,Jeff Garrett,"Jeff GarrettOldsmar Christian School (Oldsmar, FL)",PF,6-7 / 210,89,Alabama
159,LaDamean Keys,"LaDamean KeysBogalusa (Bogalusa, LA)",PF,6-9 / 210,89,N/A
160,CJ Turman,"CJ TurmanMorgan County (Madison, GA)",PF,6-9 / 235,89,Florida Atlantic
161,Ronnie Harrell,"Ronnie HarrellEast (Denver, CO)",SF,6-6 / 170,89,Creighton
162,Casey Benson,"Casey BensonCorona Del Sol (Tempe, AZ)",PG,6-3 / 170,89,Oregon
163,Idrissa Diallo,"Idrissa DialloRibet Academy (Los Angeles, CA)",PF,6-11 / 225,89,Boston College
164,Marcus Stroman,"Marcus StromanKeenan (Columbia, SC)",PG,6-1 / 165,89,South Carolina
165,Keith Pinckney,"Keith PinckneyMiller Grove (Summerville, SC)",PG,6-1 / 170,89,Tulane
166,Kevin Zabo,"Kevin ZaboBrewster Academy (Wolfeboro, NH)",PG,6-1 / 170,89,San Diego State
167,Andre Walker,"Andre WalkerThe Bullis School (Potomac, MD)",PF,6-10 / 215,89,Hofstra
168,Quadri Moore,"Quadri MooreLinden (Linden, NJ)",C,6-9 / 230,89,Cincinnati
169,Matthew Fisher-Davis,"Matthew Fisher-DavisCharlotte Christian (Charlotte, NC)",SG,6-4 / 175,89,Vanderbilt
170,Clayton Custer,"Clayton CusterBlue Valley Northwest (Overland Park, KS)",PG,6-0 / 180,89,Iowa State
171,Jordan Cornish,"Jordan CornishBrother Martin (New Orleans, LA)",SG,6-6 / 215,89,UNLV
172,TeMarcus Blanton,"TeMarcus BlantonLuella (Locust Grove, GA)",SF,6-4 / 180,89,South Carolina
173,Ethan Happ,"Ethan HappRockridge (Taylor Ridge, IL)",SF,6-7 / 175,89,Wisconsin
174,Tariq Owens,"Tariq OwensSt. Vincent Pallotti (Odenton, MD)",PF,6-10.5 / 190,89,Tennessee
175,Jalen Hudson,"Jalen HudsonSt. Vincent-St. Mary (Akron, OH)",SG,6-5 / 185,89,Virginia Tech
176,Phil Cofer,"Phil CoferWhitewater (Fayetteville, GA)",PF,6-8 / 205,89,Florida State
177,Jonathan Williams,"Jonathan WilliamsSt. Patrick (Elizabeth, NJ)",PG,5-11 / 172,89,VCU
178,Lance Tejada,"Lance TejadaBlanche Ely (Hollywood, FL)",PG,6-1 / 180,89,East Carolina
179,Silas Melson,"Silas MelsonJefferson (Portland, OR)",SG,6-3 / 170,89,Gonzaga
180,Mike Williams,"Mike WilliamsBishop Loughlin Memorial (Brooklyn, NY)",SG,6-2 / 180,89,Rutgers
181,Tre Campbell,"Tre CampbellSt. John's (Washington, DC)",PG,6-2 / 165,89,Georgetown
182,Yante Maten,"Yante MatenBloomfield Hills Andover (Bloomfield Hills, MI)",PF,6-8 / 225,88,Georgia
183,Jackson Davis,"Jackson DavisLafayette (Lexington, KY)",PF,6-8 / 220,88,Butler
184,Bakary Konate,"Bakary KonateSunrise Christian (Na, NA)",C,6-11 / 230,88,Minnesota
185,Javon Bess,"Javon BessGahanna Lincoln (Columbus, OH)",SF,6-5 / 185,88,Michigan State
186,Emmitt Holt,"Emmitt HoltWebster-schroeder (Webster, NY)",PF,6-7 / 230,88,Indiana
187,Melvin Swift,"Melvin SwiftYates (Houston, TX)",PF,6-7 / 195,88,N/A
188,Shane Hall,"Shane HallJohnson Central (Paintsville, KY)",PF,6-8 / 200,88,Marshall
189,JaQuel Richmond,"JaQuel RichmondWesleyan Christian (High Point, NC)",PG,6-0 / 170,88,Middle Tennessee State
190,Jake Hammond,"Jake HammondOklahoma City Sky (Duncan, OK)",PF,6-10 / 235,88,Nebraska
191,Connor MacDougall,"Connor MacDougallCorona Del Sol (Tempe, AZ)",C,6-8 / 220,88,Arizona State
192,Kyle Kuzma,"Kyle KuzmaRise Academy (Burton, MI)",PF,6-9 / 200,88,Utah
193,Richard Lee,"Richard LeeBlanche Ely (Fort Lauderdale, FL)",SG,6-2 / 190,88,N/A
194,Murshid Randle,"Murshid RandleCentral East (Fresno, CA)",SG,6-3 / 195,88,N/A
195,Keondre Dew,"Keondre DewLa Jolla (La Jolla, CA)",PF,6-7 / 195,88,Tulsa
196,Elijah Staley,"Elijah StaleyWheeler (Marietta, GA)",PF,6-6 / 240,88,Mississippi State
197,Kodi Justice,"Kodi JusticeDobson (Mesa, AZ)",SF,6-5 / 175,88,Arizona State
198,Shavar Newkirk,"Shavar NewkirkCardinal Hayes (Bronx, NY)",PG,5-11 / 175,88,Saint Joseph's
199,Matz Stockman,"Matz StockmanCanarias Basketball Academy (Na, NA)",PF,7-2 / 238,88,Louisville
200,Mavin Saunders,"Mavin SaundersThe Kinkaid School (Houston, TX)",SF,6-6 / 220,88,N/A
201,Dmitri Thompson,"Dmitri ThompsonOrlando Christian Prep (Orlando, FL)",SG,6-4 / 195,88,Elon
202,Satchel Pierce,"Satchel PierceThe Kiski School (Saltsburg, PA)",C,6-10 / 250,88,Virginia Tech
203,Josh Martin,"Josh MartinBothell (Seattle, WA)",PF,6-9 / 225,88,Minnesota
204,Diontae Jones,"Diontae JonesLas Vegas (Las Vegas, NV)",SF,6-5 / 180,88,Wyoming
205,Isaiah Manderson,"Isaiah MandersonOldsmar Christian School (Oldsmar, FL)",C,6-11 / 230,88,Texas Tech
206,Sean O'Mara,"Sean O'MaraBenet Academy (Lisle, IL)",C,6-8 / 210,88,Xavier
207,Matt Cimino,"Matt CiminoWorcester Academy (Worcester, MA)",PF,6-10 / 215,88,George Washington
208,James Thompson,"James ThompsonCapitol Pre-college Academy For Boys (Baton Rouge, LA)",PF,6-8 / 205,88,South Carolina
209,Demetrius Houston,"Demetrius HoustonCentral (Tuscaloosa, AL)",SF,6-6 / 205,88,Mississippi State
210,Dakota Mathias,"Dakota MathiasElida (Lima, OH)",SG,6-5 / 190,88,Purdue
211,Ricky Doyle,"Ricky DoyleBishop Verot  (Fort Myers, FL)",PF,6-9 / 235,88,Michigan
212,D'Angelo Allen,"D'Angelo AllenKimball (Dallas, TX)",SF,6-6 / 185,88,Missouri
213,Darius  Austin,"Darius  AustinCahokia (East Saint Louis, IL)",SF,6-6 / 215,88,Missouri-Kansas City
214,Shaq Carr,"Shaq CarrCanyon Springs (North Las Vegas, NV)",PG,6-1 / 175,88,UTEP
215,Tyquone Greer,"Tyquone GreerAasta - Orr (Chicago, IL)",SG,6-5 / 180,88,N/A
216,Zach McCormick,"Zach McCormickTurpin (Cincinnati, OH)",CG,6-1 / 170,88,Miami (OH)
217,Ben Lammers,"Ben LammersAlamo Heights (San Antonio, TX)",C,6-9 / 220,88,Georgia Tech
218,Xavier Adams,"Xavier AdamsMarcus (Alvarado, TX)",SG,6-5 / 195,88,New Mexico
219,Patrick McCaw,"Patrick McCawMontrose Christian School (Saint Louis, MO)",SG,6-5 / 190,88,UNLV
220,Jabari Craig,"Jabari CraigFishburne Military School (Tucker, GA)",C,6-10 / 215,88,N/A
221,Jarvis Garrett,"Jarvis GarrettNotre Dame Preparatory School (Fitchburg, MA)",PG,5-10 / 175,88,Rhode Island
222,Malik Marquetti,"Malik MarquettiMillikan (Long Beach, CA)",SF,6-6 / 190,87,USC
223,Devin Watson,"Devin WatsonArmy And Navy Academy (El Cajon, CA)",PG,5-11 / 155,87,N/A
224,Omar Sherman,"Omar ShermanPrime Prep Academy (Dallas, TX)",PF,6-7 / 230,87,Miami
225,Marvin Clark,"Marvin ClarkSunrise Christian (Wichita, KS)",PF,6-7 / 225,87,Michigan State
226,Elliott Smith,"Elliott SmithFreedom (Oakley, CA)",SF,6-5 / 160,87,N/A
227,Mike Thomas,"Mike ThomasVille Platte (Ville Platte, LA)",C,6-9 / 210,87,N/A
228,Justin Tillman,"Justin TillmanPershing (Detroit, MI)",PF,6-7 / 190,87,VCU
229,Ray Kasongo,"Ray KasongoOak Hill Academy (Lick Creek, KY)",PF,6-9 / 235,87,N/A
230,Davell Roby,"Davell RobyWhite Station (Memphis, TN)",PG,6-4 / 195,87,Saint Louis
231,Damiyne Durham,"Damiyne DurhamOakwood (Oakwood, TX)",SG,6-4 / 175,87,Baylor
232,Joe  Furstinger,"Joe  FurstingerSanta Margarita Catholic (Rancho Santa Margarita, CA)",PF,6-8 / 195,87,New Mexico
233,Joniah White,"Joniah WhiteMadison Central (Madison, MS)",C,6-10 / 195,87,Louisiana Tech
234,Jabari McGhee,"Jabari McGheeHargrave Military Academy (HS) (Albany, GA)",PF,6-8 / 225,87,Tennessee
235,Tory Miller,"Tory MillerNew Hampton School (New Hampton, NH)",PF,6-8 / 260,87,Colorado
236,Dan Manzi,"Dan ManziTampa Bay Christian Academy (Tampa, FL)",C,6-9 / 230,87,N/A
237,Jeremiah  Paige,"Jeremiah  PaigeRangeview (Aurora, CO)",CG,6-3 / 160,87,Colorado State
238,Harold Givens,"Harold GivensFaith Baptist Christian School (Norcross, GA)",SF,6-7 / 190,87,New Mexico State
239,Elisha Boone,"Elisha BooneAbraham Lincoln (Las Vegas, NV)",PG,6-3 / 185,87,Saint Peter's
240,Johnnie Vassar,"Johnnie VassarLa Lumiere School (Groton, MA)",PG,6-0 / 160,87,Northwestern
241,Peyton Allen,"Peyton AllenGlenwood (Chatham, IL)",SG,6-4 / 190,87,Texas A&M
242,Jonathan Joseph,"Jonathan JosephOrlando Christian Prep (Orlando, FL)",SF,6-5 / 185,87,Stetson
243,Jordan Green,"Jordan GreenHenry Clay (Lexington, KY)",SG,6-5 / 185,87,N/A
244,Donaven Dorsey,"Donaven DorseyTimberline (Lacey, WA)",SF,6-5 / 175,87,Washington
245,D.J. Wilson,"D.J. WilsonCapital Christian (Sacramento, CA)",SF,6-8 / 200,87,Michigan
246,Evan Bailey,"Evan BaileyJackson (Massillon, OH)",SG,6-5 / 175,87,College of Charleston
247,Michael Finke,"Michael FinkeCentennial (Champaign, IL)",PF,6-9 / 210,87,Illinois
