Rank,Player,High School,Position,Height / Weight,Rating,Team
1,Nerlens Noel,"Nerlens NoelTilton School (Tilton, NH)",PF,6-11 / 215,10,Kentucky
2,Shabazz Muhammad,"Shabazz MuhammadBishop Gorman (Las Vegas, NV)",SG,6-5 / 205,100,UCLA
3,Kyle Anderson,"Kyle AndersonSt Anthony (Jersey City, NJ)",SF,6-9 / 215,100,UCLA
4,Steven Adams,"Steven AdamsNotre Dame Preparatory School (Fitchburg, MA)",C,6-11 / 235,100,Pittsburgh
5,Isaiah Austin,"Isaiah AustinGrace Preparatory Academy (Arlington, TX)",PF,7-0 / 215,100,Baylor
6,Ricky Ledo,"Ricky LedoNotre Dame Preparatory School (Fitchburg, MA)",SG,6-6 / 193,100,Providence
7,Alex Poythress,"Alex PoythressNortheast (Clarksville, TN)",SF,6-7 / 215,99,Kentucky
8,Sam Dekker,"Sam DekkerSheboygan Area Lutheran (Sheboygan, WI)",SF,6-7 / 200,99,Wisconsin
9,Anthony Bennett,"Anthony BennettFindlay Prep (Henderson, NV)",PF,6-7 / 242,99,UNLV
10,Rodney Purvis,"Rodney PurvisUpper Room Christian Academy (Raleigh, NC)",SG,6-4 / 190,99,NC State
11,Kris Dunn,"Kris DunnNew London (New London, CT)",PG,6-2 / 170,99,Providence
12,Grant Jerrett,"Grant JerrettLutheran (La Verne, CA)",PF,6-10 / 230,99,Arizona
13,Marcus Smart,"Marcus SmartMarcus (Flower Mound, TX)",PG,6-4 / 205,99,Oklahoma State
14,Yogi Ferrell,"Yogi FerrellPark Tudor (Indianapolis, IN)",PG,6-0 / 170,99,Indiana
15,Glenn Robinson,"Glenn RobinsonLake Central (Saint John, IN)",SF,6-6 / 185,99,Michigan
16,Kaleb Tarczewski,"Kaleb TarczewskiSt Mark's School (Southborough, MA)",C,7-0 / 225,98,Arizona
17,Rasheed Sulaimon,"Rasheed SulaimonStrake Jesuit (Houston, TX)",SG,6-2 / 180,98,Duke
18,Archie Goodwin,"Archie GoodwinSylvan Hills (Sherwood, AR)",SG,6-4 / 190,98,Kentucky
19,T.J. Warren,"T.J. WarrenBrewster Academy (Wolfeboro, NH)",SF,6-8 / 225,98,NC State
20,Devonta Pollard,"Devonta PollardKemper County (De Kalb, MS)",SF,6-8 / 205,98,Alabama
21,Tony Parker,"Tony ParkerMiller Grove (Lithonia, GA)",PF,6-9 / 280,98,UCLA
22,Robert Carter,"Robert CarterShiloh (Snellville, GA)",PF,6-9 / 240,98,Georgia Tech
23,Winston Shepard,"Winston ShepardFindlay Prep (Henderson, NV)",SF,6-8 / 205,98,San Diego State
24,D'Vauntes Smith-Rivera,"D'Vauntes Smith-RiveraOak Hill Academy (Indianapolis, IN)",PG,6-3 / 210,98,Georgetown
25,Danuel House,"Danuel HouseHightower (Missouri City, TX)",SF,6-7 / 195,98,Houston
26,Gary Harris,"Gary HarrisHamilton Southeastern  (Fishers, IN)",SG,6-4 / 205,97,Michigan State
27,Brandon Ashley,"Brandon AshleyFindlay Prep (Henderson, NV)",PF,6-9 / 220,97,Arizona
28,Mitch McGary,"Mitch McGaryBrewster Academy (Wolfeboro, NH)",PF,6-10 / 255,97,Michigan
29,DaJuan Coleman,"DaJuan ColemanJamesville-Dewitt (Syracuse, NY)",C,6-10 / 280,97,Syracuse
30,Marcus Paige,"Marcus PaigeLinn-Mar (Marion, IA)",PG,6-1 / 165,97,North Carolina
31,Cameron Ridley,"Cameron RidleyFort Bend Bush (Richmond, TX)",C,6-9.5 / 246,97,Texas
32,Cam Biedscheid,"Cam BiedscheidCardinal Ritter College Prep (Saint Louis, MO)",SF,6-6 / 185,97,Notre Dame
33,Perry Ellis,"Perry EllisHeights (Wichita, KS)",PF,6-8 / 230,97,Kansas
34,Semaj Christon,"Semaj ChristonWinton Woods (Cincinnati, OH)",PG,6-3 / 165,97,Xavier
35,Stephen Domingo,"Stephen DomingoSt. Ignatius College Preparatory (San Francisco, CA)",SG,6-7 / 190,97,Georgetown
36,JaKarr Sampson,"JaKarr SampsonBrewster Academy (Akron, OH)",SF,6-8 / 205,96,St. John's
37,Shaq Goodwin,"Shaq GoodwinSouthwest DeKalb (Decatur, GA)",PF,6-9 / 240,96,Memphis
38,Amile Jefferson,"Amile JeffersonFriends' Central School (Wynnewood, PA)",SF,6-7 / 190,96,Duke
39,Katin Reinhardt,"Katin ReinhardtMater Dei (Santa Ana, CA)",SG,6-5 / 175,96,UNLV
40,Dominic Artis,"Dominic ArtisFindlay Prep (Oakland, CA)",PG,6-1 / 180,96,Oregon
41,Rico Gathers,"Rico GathersRiverside Academy (Reserve, LA)",PF,6-7 / 250,96,Baylor
42,Jeremy Hollowell,"Jeremy HollowellLawrence Central (Indianapolis, IN)",SF,6-8 / 200,96,Indiana
43,Solomon Poole,"Solomon PooleTerry Parker (Jacksonville, FL)",SG,6-0 / 175,96,Georgia Tech
44,Tyler Lewis,"Tyler LewisForsyth Country Day School (Lewisville, NC)",PG,5-10 / 160,95,NC State
45,Hanner Mosquera-Perea,"Hanner Mosquera-PereaLa Lumiere School (La Porte, IN)",PF,6-8 / 210,95,Indiana
46,Shaquille Cleare,"Shaquille CleareThe Village School (Houston, TX)",C,6-9 / 270,95,Maryland
47,Willie Cauley-Stein,"Willie Cauley-SteinOlathe Northwest (Olathe, KS)",C,6-11 / 221,95,Kentucky
48,Brice Johnson,"Brice JohnsonEdisto Hi (Cordova, SC)",PF,6-9 / 195,95,North Carolina
49,Omar Calhoun,"Omar CalhounChrist The King Regional (Middle Village, NY)",SG,6-3 / 180,95,Connecticut
