Rank,Player,High School,Position,Height / Weight,Rating,Team
45,Henry Coleman,"Henry ColemanTrinity Episcopal School (Richmond, VA)",PF,6-8 / 240,97,Duke
46,Dalen Terry,"Dalen TerryHillcrest Prep (Phoenix, AZ)",SF,6-6 / 190,97,Arizona
47,Matthew Murrell,"Matthew MurrellIMG Academy (Bradenton, FL)",SG,6-4 / 190,97,Ole Miss
48,Franck Kepnang,"Franck KepnangWesttown School (Norristown, PA)",C,6-11 / 247,96,Oregon
49,Samson Ruzhentsev,"Samson RuzhentsevHamilton Heights Christian Academy (Chattanooga, TN)",SF,6-7 / 210,96,Florida
50,Dwon Odom,"Dwon OdomSt. Francis (Alpharetta, GA)",PG,6-1 / 180,96,Xavier
51,Andre Jackson,"Andre JacksonAlbany (Albany, NY)",SF,6-6 / 195,96,Connecticut
52,Hunter Dickinson,"Hunter DickinsonDeMatha Catholic (Hyattsville, MD)",C,7-2 / 255,96,Michigan
53,Bennedict Mathurin,"Bennedict MathurinNBA Academy Latin America (Mexico, MEXI)",SF,6-6 / 190,96,Arizona
54,Jaemyn Brakefield,"Jaemyn BrakefieldHuntington Prep (Huntington, WV)",PF,6-8 / 210,96,Duke
55,JT Thor,"JT ThorNorcross (Norcross, GA)",PF,6-9 / 190,96,Auburn
56,Trey Patterson,"Trey PattersonRutgers Preparatory School (Somerset, NJ)",PF,6-7 / 195,96,Villanova
57,Kai Sotto,"Kai SottoThe Skill Factory (Atlanta, GA)",C,7-1 / 200,96,N/A
58,Azuolas Tubelis,"Azuolas TubelisLithuania (Lithuania, LITH)",PF,6-9 / 240,96,Arizona
59,MarJon Beauchamp,"MarJon BeauchampDream City Christian (Glendale, AZ)",SF,6-6 / 175,96,Professional
60,R.J. Davis,"R.J. DavisArchbishop Stepinac (White Plains, NY)",CG,5-11 / 164,96,North Carolina
61,Andre Curbelo,"Andre CurbeloLong Island Lutheran (Puerto Rico, PUER)",PG,6-0 / 170,96,Illinois
62,Clifford Omoruyi,"Clifford OmoruyiRoselle Catholic (Roselle, NJ)",C,6-10 / 230,96,Rutgers
63,Alex Fudge,"Alex FudgeRiverside (Jacksonville, FL)",SF,6-8 / 175,96,LSU
64,Matthew-Alexander Moncrieffe,"Matthew-Alexander MoncrieffeOrangeville Prep (Mono, ON)",PF,6-7 / 195,96,Oklahoma State
65,Deivon Smith,"Deivon SmithGrayson (Loganville, GA)",PG,5-11 / 160,96,Mississippi State
66,Micah Peavy,"Micah PeavyDuncanville (Duncanville, TX)",SF,6-7 / 172,96,Texas Tech
67,Ian Martinez,"Ian MartinezJ Serra Catholic (San Juan Capistrano, CA)",SG,6-3 / 170,96,Utah
68,Kenyon Martin,"Kenyon MartinIMG Academy (Bradenton, FL)",PF,6-6 / 195,96,Professional
69,Kerr Kriisa,"Kerr KriisaEstonia (Estonia, ESTO)",PG,6-2 / 170,95,Arizona
70,Jordan Nesbitt,"Jordan NesbittSt Louis Christian Academy (Saint Louis, MO)",SF,6-6 / 180,95,Memphis
71,Puff Johnson,"Puff JohnsonHillcrest Prep (Phoenix, AZ)",SF,6-7 / 185,95,North Carolina
72,Reece Beekman,"Reece BeekmanScotlandville Magnet (Baton Rouge, LA)",PG,6-2 / 160,95,Virginia
73,Rati Andronikashvili,"Rati AndronikashviliGeorgia (Georgia, GEOR)",PG,6-4 / 190,95,Creighton
74,PJ Hall,"PJ HallDorman (Roebuck, SC)",C,6-9 / 220,95,Clemson
75,Chibuzo Agbo Jr.,"Chibuzo Agbo Jr.St. Augustine (San Diego, CA)",SF,6-7 / 215,95,Texas Tech
76,Cam Hayes,"Cam HayesGreensboro Day School (Greensboro, NC)",PG,6-3 / 175,95,NC State
77,Reese Dixon-Waters,"Reese Dixon-WatersSt. Bernard (Playa Del Rey, CA)",SG,6-5 / 195,95,USC
78,James Graham,"James GrahamNicolet (Milwaukee, WI)",SF,6-8 / 205,95,Maryland
79,Julian Strawther,"Julian StrawtherLiberty (Henderson, NV)",SF,6-7 / 210,95,Gonzaga
80,Isaiah Cottrell,"Isaiah CottrellHuntington Prep (Huntington, WV)",PF,6-9 / 215,95,West Virginia
81,Osasere Ighodaro,"Osasere IghodaroDesert Vista (Phoenix, AZ)",PF,6-9 / 205,95,Marquette
82,Jaxson Robinson,"Jaxson RobinsonAda (Ada, OK)",SF,6-5 / 175,95,Texas A&M
83,Jaylen Clark,"Jaylen ClarkEtiwanda (Rancho Cucamonga, CA)",SG,6-5 / 200,95,UCLA
84,Jalen Terry,"Jalen TerryBeecher (Mount Morris, MI)",PG,6-1 / 160,95,Oregon
85,Carter Whitt,"Carter WhittBrewster Academy (Wolfeboro, NH)",PG,6-3 / 170,94,Wake Forest
86,Mwani Wilkinson,"Mwani WilkinsonBishop Gorman (Las Vegas, NV)",SF,6-6 / 195,94,LSU
87,JJ Traynor,"JJ TraynorBardstown (Bardstown, KY)",PF,6-8 / 195,94,Louisville
88,Cam'Ron Fletcher,"Cam'Ron FletcherVashon (Saint Louis, MO)",SF,6-6 / 180,94,Kentucky
89,Dominick Harris,"Dominick HarrisRancho Christian (Temecula, CA)",CG,6-4 / 170,94,Gonzaga
90,Olivier-Maxence Prosper,"Olivier-Maxence ProsperNBA Academy Latin America (Mexico, MEXI)",PF,6-8 / 205,94,Clemson
91,Alex Tchikou,"Alex TchikouDream City Christian (Glendale, AZ)",PF,6-11 / 200,94,Alabama
92,Kadary Richmond,"Kadary RichmondBrewster Academy (Wolfeboro, NH)",SF,6-5 / 175,94,Syracuse
93,Matt Cross,"Matt CrossBrewster Academy (Beverly, MA)",SF,6-6 / 225,94,Miami
94,Tramon Mark,"Tramon MarkDickinson (Dickinson, TX)",PG,6-4 / 180,94,Houston
95,Max Murrell,"Max MurrellMillard North (Omaha, NE)",PF,6-9 / 195,94,Stanford
96,Corey Walker,"Corey WalkerHargrave Military Academy (HS) (Chatham, VA)",PF,6-8 / 219,94,Tennessee
97,Eric Gaines,"Eric GainesLithonia (Lithonia, GA)",CG,6-3 / 170,93,LSU
98,Hassan Diarra,"Hassan DiarraPutnam Science Academy (Putnam, CT)",PG,6-2 / 180,93,Texas A&M
99,Jaden Ivey,"Jaden IveyLa Lumiere School (La Porte, IN)",SG,6-2 / 165,93,Purdue
100,Meechie Johnson,"Meechie JohnsonGarfield Heights (Cleveland, OH)",PG,6-1 / 185,93,Ohio State
101,AJ Hoggard,"AJ HoggardHuntington Prep (Wayne, PA)",CG,6-3 / 185,93,Michigan State
102,Jaylin Williams,"Jaylin WilliamsNorthside (Fort Smith, AR)",C,6-9 / 230,93,Arkansas
103,Xavier Foster,"Xavier FosterOskaloosa (Oskaloosa, IA)",C,7-0 / 225,93,Iowa State
104,Adama Sanogo,"Adama SanogoThe Patrick School (Mali, MALI)",C,6-9 / 250,93,Connecticut
105,Terrance Williams,"Terrance WilliamsGonzaga  (Washington, DC)",PF,6-6 / 215,93,Michigan
106,Dain Dainja,"Dain DainjaPark Center (Minneapolis, MN)",C,6-9 / 260,93,Baylor
107,Ryan Kalkbrenner,"Ryan KalkbrennerTrinity Catholic (Saint Louis, MO)",C,6-11 / 210,93,Creighton
108,Kerwin Walton,"Kerwin WaltonHopkins  (Hopkins, MN)",SG,6-5 / 195,92,North Carolina
109,Ben Gregg,"Ben GreggClackamas (Clackamas, OR)",PF,6-8 / 210,92,Gonzaga
110,Dominique Clifford,"Dominique CliffordThe Vanguard School (Colorado Springs, CO)",SG,6-5 / 170,92,Colorado
111,K.D. Johnson,"K.D. JohnsonHargrave Military Academy (HS) (Chatham, VA)",PG,6-1 / 170,92,Georgia
112,Michael O'Connell,"Michael O'ConnellBlair Academy (Blairstown, NJ)",PG,6-2 / 175,92,Stanford
113,Keon Ambrose-Hylton,"Keon Ambrose-HyltonAndrews Osborne Academy (Toronto, ON)",PF,6-8 / 200,92,Alabama
114,Zeb Jackson,"Zeb JacksonMontverde Academy (Maumee, OH)",SG,6-2 / 160,92,Michigan
115,Ben Carlson,"Ben CarlsonEast Ridge (Saint Paul, MN)",PF,6-9 / 220,92,Wisconsin
116,Jabe Mullins,"Jabe MullinsMount Si (Snoqualmie, WA)",SG,6-5 / 195,92,Saint Mary's
117,Pavlo Dziuba,"Pavlo DziubaUkraine (Ukraine, UKRA)",PF,6-8 / 235,92,Arizona State
118,Daniel Batcho,"Daniel BatchoFrance (France, FRAN)",C,6-10 / 220,92,Arizona
119,John Hugley,"John HugleyBrush (Cleveland, OH)",C,6-9 / 240,92,Pittsburgh
120,Justin Lewis,"Justin LewisBaltimore Polytechnic Institute (Towson, MD)",PF,6-7 / 225,91,Marquette
121,David Jones,"David JonesTeays Valley Christian School (Scott Depot, WV)",SF,6-6 / 195,91,DePaul
122,Jamal Mashburn Jr.,"Jamal Mashburn Jr.Brewster Academy (MIAMI, FL)",CG,6-0 / 160,91,Minnesota
123,LJ Cryer,"LJ CryerMorton Ranch (Katy, TX)",PG,6-1 / 180,91,Baylor
124,William Jeffress,"William JeffressMcDowell (Erie, PA)",PF,6-7 / 205,91,Pittsburgh
125,Shakeel Moore,"Shakeel MooreMoravian Prep (Greensboro, NC)",PG,6-1 / 185,91,NC State
126,Pelle Larsson,"Pelle LarssonSweden (Sweden, SWED)",CG,6-5 / 200,91,Utah
127,Javonte Brown-Ferguson,"Javonte Brown-FergusonThornlea Secondary School (Thornhill, ON)",C,6-11 / 230,91,Connecticut
128,Caleb Murphy,"Caleb MurphyGrayson (Loganville, GA)",CG,6-2 / 170,91,USF
129,Colby Jones,"Colby JonesMountain Brook (Birmingham, AL)",SG,6-6 / 195,91,Xavier
130,Jordan Geronimo,"Jordan GeronimoSt. Paul's School (Concord, NH)",SF,6-6 / 195,91,Indiana
131,Joe Bamisile,"Joe BamisileMonacan (Richmond, VA)",SG,6-5 / 195,91,Virginia Tech
132,Josh O'Garro,"Josh O'GarroSanta Clarita Christian School (Cayman Islands, CAYM)",SF,6-5 / 175,90,Oklahoma
133,Maxwell Lewis,"Maxwell LewisHillcrest Prep (Phoenix, AZ)",SF,6-7 / 180,90,Pepperdine
134,Woody Newton,"Woody NewtonMt. Zion Prep (Baltimore, MD)",PF,6-8 / 190,90,Syracuse
135,Eugene Brown III,"Eugene Brown IIISouthwest DeKalb (Conyers, GA)",SG,6-6 / 185,90,Ohio State
136,Marcus Dockery,"Marcus DockeryBrewster Academy (Wolfeboro, NH)",CG,6-1 / 175,90,Maryland
137,Ethan Morton,"Ethan MortonButler Area (Butler, PA)",CG,6-4 / 195,90,Purdue
138,Rondel Walker,"Rondel WalkerPutnam City West (Oklahoma City, OK)",CG,6-2 / 160,90,Oklahoma State
139,Keon Edwards,"Keon EdwardsHillcrest Prep (Phoenix, AZ)",SF,6-7 / 185,90,DePaul
140,Chris Moore,"Chris MooreWest Memphis (West Memphis, AR)",PF,6-7 / 220,90,Auburn
141,Andrej Jakimovski,"Andrej JakimovskiMacedonia (Macedonia, MACE)",SF,6-7 / 205,90,Washington State
142,Tibet Görener,"Tibet GörenerOrange Lutheran (Istanbul, IS)",SF,6-8 / 195,90,Arizona
143,Josh Taylor,"Josh TaylorNorcross (Norcross, GA)",PF,6-8 / 195,90,Georgia
144,Justice Ajogbor,"Justice AjogborChrist School (Arden, NC)",C,6-9 / 230,90,Harvard
145,Steven Crowl,"Steven CrowlEastview Senior (Saint Paul, MN)",C,6-9 / 210,90,Wisconsin
146,Malachi Wideman,"Malachi WidemanVenice (Venice, FL)",SF,6-4.5 / 197,90,Tennessee
147,Brandon Angel,"Brandon AngelTorrey Pines (San Diego, CA)",PF,6-7 / 200,90,Stanford
148,Ty Berry,"Ty BerrySunrise Christian (Wichita, KS)",CG,6-2 / 170,90,Northwestern
149,Tari Eason,"Tari EasonGarfield (Seattle, WA)",PF,6-8 / 210,90,Cincinnati
150,Jamari Sibley,"Jamari SibleyOak Hill Academy (Mouth Of Wilson, VA)",PF,6-8 / 200,90,Georgetown
