Rank,Player,High School,Position,Height / Weight,Rating,Team
1,Cade Cunningham,"Cade CunninghamMontverde Academy (Arlington, TX)",PG,6-6 / 215,100,Oklahoma State
2,Jalen Green,"Jalen GreenProlific Prep (Napa, CA)",CG,6-5 / 170,100,Professional
3,Evan Mobley,"Evan MobleyRancho Christian (Temecula, CA)",C,6-11 / 205,100,USC
4,Jonathan Kuminga,"Jonathan KumingaThe Patrick School (Congo, CONG)",SF,6-8 / 205,100,Professional
5,Ziaire Williams,"Ziaire WilliamsSierra Canyon (Chatsworth, CA)",SF,6-7 / 175,100,Stanford
6,Brandon Boston Jr.,"Brandon Boston Jr.Sierra Canyon (Chatsworth, CA)",SG,6-6 / 175,99,Kentucky
7,Caleb Love,"Caleb LoveChristian Brothers College (Saint Louis, MO)",PG,6-3 / 170,99,North Carolina
8,Josh Christopher,"Josh ChristopherMayfair (Lakewood, CA)",SG,6-5 / 215,99,Arizona State
9,Scottie Barnes,"Scottie BarnesMontverde Academy (Montverde, FL)",PF,6-8 / 210,99,Florida State
10,Terrence Clarke,"Terrence ClarkeBrewster Academy (Boston, MA)",SG,6-7 / 185,99,Kentucky
11,Greg Brown III,"Greg Brown IIIVandegrift (Austin, TX)",PF,6-9 / 195,99,Texas
12,Moussa Cisse,"Moussa CisseLausanne Collegiate School (Memphis, TN)",C,6-10 / 220,99,Memphis
13,Jalen Suggs,"Jalen SuggsMinnehaha Academy (Minneapolis, MN)",CG,6-5 / 200,99,Gonzaga
14,Jalen Johnson,"Jalen JohnsonNicolet (Milwaukee, WI)",SF,6-8 / 215,99,Duke
15,Daishen Nix,"Daishen NixTrinity International Schools (Las Vegas, NV)",PG,6-5 / 205,99,Professional
16,Jaden Springer,"Jaden SpringerIMG Academy (Bradenton, FL)",CG,6-4 / 204,99,Tennessee
17,Keon Johnson,"Keon JohnsonThe Webb School (Bell Buckle, TN)",SG,6-5 / 186,98,Tennessee
18,Mark Williams,"Mark WilliamsIMG Academy (Bradenton, FL)",C,7-0 / 225,98,Duke
19,Makur Maker,"Makur MakerHillcrest Prep (Phoenix, AZ)",C,6-11 / 235,98,Howard
20,Bryce Thompson,"Bryce ThompsonBooker T. Washington (Tulsa, OK)",CG,6-5 / 175,98,Kansas
21,Josh Primo,"Josh PrimoRoyal Crown (Toronto, OH)",CG,6-6 / 180,98,Alabama
22,Day'Ron Sharpe,"Day'Ron SharpeMontverde Academy (Montverde, FL)",C,6-10 / 246,98,North Carolina
23,DJ Steward,"DJ StewardWhitney Young (Chicago, IL)",CG,6-3 / 165,98,Duke
24,Jeremy Roach,"Jeremy RoachPaul VI Catholic (Fairfax, VA)",PG,6-2 / 180,98,Duke
25,Cameron Thomas,"Cameron ThomasOak Hill Academy (Chesapeake, VA)",SG,6-3 / 180,98,LSU
26,Khristian Lander,"Khristian LanderFrancis Joseph Reitz Sch (Evansville, IN)",PG,6-2 / 165,98,Indiana
27,Sharife Cooper,"Sharife CooperMcEachern (Marietta, GA)",PG,6-0 / 160,98,Auburn
28,Walker Kessler,"Walker KesslerWoodward Academy (Fairburn, GA)",C,7-0 / 245,98,North Carolina
29,Karim Mane,"Karim ManeVanier College (Montreal, QC)",CG,6-4 / 195,98,Professional
30,Isaiah Todd,"Isaiah ToddWord Of God Christian Academy (Raleigh, NC)",PF,6-10 / 195,98,Professional
31,Marcus Bagley,"Marcus BagleySheldon (Sacramento, CA)",SF,6-7 / 220,97,Arizona State
32,Dawson Garcia,"Dawson GarciaPrior Lake (Prior Lake, MN)",PF,6-11 / 220,97,Marquette
33,Josh Hall,"Josh HallMoravian Prep (Durham, NC)",SF,6-9 / 190,97,Professional
34,Isaiah Jackson,"Isaiah JacksonWaterford Mott (Waterford, MI)",C,6-9 / 200,97,Kentucky
35,Adam Miller,"Adam MillerMorgan Park HS (Chicago, IL)",SG,6-3 / 170,97,Illinois
36,Earl Timberlake,"Earl TimberlakeDeMatha Catholic (Hyattsville, MD)",SG,6-6 / 215,97,Miami
37,Devin Askew,"Devin AskewMater Dei (Santa Ana, CA)",PG,6-3 / 195,97,Kentucky
38,Nimari Burnett,"Nimari BurnettProlific Prep (CHICAGO, IL)",CG,6-4 / 190,97,Texas Tech
39,Khalen Robinson,"Khalen RobinsonOak Hill Academy (Bryant, AR)",PG,6-0 / 175,97,Arkansas
40,Moses Moody,"Moses MoodyMontverde Academy (Little Rock, AR)",SG,6-6 / 205,97,Arkansas
41,Jabri Abdur-Rahim,"Jabri Abdur-RahimBlair Academy (Blairstown, NJ)",SF,6-5 / 185,97,Virginia
42,Mac Etienne,"Mac EtienneBrewster Academy (Wolfeboro, NH)",C,6-10 / 220,97,UCLA
43,Mady Sissoko,"Mady SissokoWasatch Academy (Mount Pleasant, UT)",C,6-9 / 230,97,Michigan State
44,Lance Ware,"Lance WareCamden (Burlington, NJ)",PF,6-9 / 215,97,Kentucky
