Rank,Player,High School,Position,Height / Weight,Rating,Team
1,RJ Barrett,"RJ BarrettMontverde Academy (Montverde, FL)",SG,6-7 / 200,100,Duke
2,Nassir Little,"Nassir LittleOrlando Christian Prep (Orlando, FL)",SF,6-7 / 205,100,North Carolina
3,Cam Reddish,"Cam ReddishWesttown School (Norristown, PA)",SF,6-7 / 211,99,Duke
4,Bol Bol,"Bol BolFindlay Prep (Henderson, NV)",C,7-2 / 230,99,Oregon
5,Romeo Langford,"Romeo LangfordNew Albany Senior (New Albany, IN)",SG,6-6 / 215,99,Indiana
6,EJ Montgomery,"EJ MontgomeryWheeler (Marietta, GA)",PF,6-10 / 200,99,Kentucky
7,Zion Williamson,"Zion WilliamsonSpartanburg Day School (Spartanburg, SC)",PF,6-6 / 275,99,Duke
8,Simisola Shittu,"Simisola ShittuVermont Academy (Saxtons River, VT)",PF,6-9 / 220,99,Vanderbilt
9,Charles Bassey,"Charles BasseyAspire Basketball Academy (Louisville, KY)",C,6-10 / 220,99,Western Kentucky
10,Anfernee Simons,"Anfernee SimonsIMG Academy (Bradenton, FL)",CG,6-4 / 170,99,Professional
11,Darius Garland,"Darius GarlandBrentwood Academy (Brentwood, TN)",PG,6-3 / 170,99,Vanderbilt
12,Ashton Hagans,"Ashton HagansNewton (Covington, GA)",PG,6-4 / 185,99,Kentucky
13,Quentin Grimes,"Quentin GrimesCollege Park (The Woodlands, TX)",CG,6-5 / 200,99,Kansas
14,Tre Jones,"Tre JonesApple Valley (Saint Paul, MN)",PG,6-2 / 175,99,Duke
15,Jalen Smith,"Jalen SmithMount Saint Joseph (Baltimore, MD)",C,6-10 / 195,98,Maryland
16,Jordan Brown,"Jordan BrownProlific Prep (Napa, CA)",PF,6-10 / 195,98,Nevada
17,Jaylen Hoard,"Jaylen HoardWesleyan Christian (High Point, NC)",SF,6-8 / 195,98,Wake Forest
18,Keldon Johnson,"Keldon JohnsonOak Hill Academy (Mouth Of Wilson, VA)",SF,6-6 / 216,98,Kentucky
19,Immanuel Quickley,"Immanuel QuickleyJohn Carroll School (Bel Air, MD)",PG,6-3 / 175,98,Kentucky
20,Andrew Nembhard,"Andrew NembhardMontverde Academy (Thornhill, ON)",PG,6-4 / 185,98,Florida
21,Devon Dotson,"Devon DotsonProvidence Day School (Charlotte, NC)",PG,6-2 / 180,98,Kansas
22,Naz Reid,"Naz ReidRoselle Catholic (Roselle, NJ)",PF,6-9 / 220,98,LSU
23,Darius Bazley,"Darius BazleyPrinceton (Cincinnati, OH)",SF,6-9 / 200,98,Professional
24,Louis King,"Louis KingHudson Catholic (Burlington, NJ)",SF,6-8 / 195,98,Oregon
25,Brandon Williams,"Brandon WilliamsCrespi (Encino, CA)",PG,6-2 / 185,98,Arizona
26,Coby White,"Coby WhiteGreenfield School (Wilson, NC)",SG,6-5 / 170,98,North Carolina
27,Kevin Porter Jr.,"Kevin Porter Jr.Rainier Beach (Seattle, WA)",SG,6-5 / 210,98,USC
28,Jahvon Quinerly,"Jahvon QuinerlyHudson Catholic (Jersey City, NJ)",PG,6-0 / 170,98,Villanova
29,Taeshon Cherry,"Taeshon CherryFoothills Christian (El Cajon, CA)",SF,6-8 / 210,98,Arizona State
30,Ayo Dosunmu,"Ayo DosunmuMorgan Park (Chicago, IL)",CG,6-4 / 172,98,Illinois
31,Emmitt Williams,"Emmitt WilliamsOak Ridge (Lehigh Acres, FL)",PF,6-7 / 215,98,LSU
32,Moses Brown,"Moses BrownArchbishop Molloy (Jamaica, NY)",C,7-0 / 210,97,UCLA
33,Luguentz Dort,"Luguentz DortAthlete Institute Basketball Academy (Mono, ON)",SG,6-4 / 200,97,Arizona State
34,Courtney Ramey,"Courtney RameyWebster Groves (Saint Louis, MO)",PG,6-3 / 170,97,Texas
35,Reggie Perry,"Reggie PerryThomasville (Thomasville, GA)",PF,6-9 / 200,97,Mississippi State
36,Javonte Smart,"Javonte SmartScotlandville Magnet (Baton Rouge, LA)",CG,6-4 / 185,97,LSU
37,Daniel Oturu,"Daniel OturuCretin Derham Hall (Saint Paul, MN)",C,6-10 / 220,97,Minnesota
38,Tyler Herro,"Tyler HerroWhitnall (Milwaukee, WI)",SG,6-5 / 195,97,Kentucky
39,Kira Lewis,"Kira LewisHazel Green (Meridianville, AL)",PG,6-3 / 160,97,Alabama
40,David McCormack,"David McCormackOak Hill Academy (Norfolk, VA)",C,6-9 / 255,97,Kansas
41,Gerald Liddell,"Gerald LiddellSteele (Cibolo, TX)",SF,6-6 / 180,97,Texas
42,Ignas Brazdeikis,"Ignas BrazdeikisOrangeville Prep (Mono, ON)",SF,6-8 / 220,97,Michigan
43,Joey Baker,"Joey BakerTrinity Christian School (Fayetteville, NC)",SF,6-7 / 190,97,Duke
44,Elijah Weaver,"Elijah WeaverRockledge (Southwest Brevard Cnty, FL)",CG,6-4 / 195,96,USC
45,A.J. Reeves,"A.J. ReevesBrimmer And May School (Chestnut Hill, MA)",SG,6-5 / 180,96,Providence
46,Aaron Nesmith,"Aaron NesmithPorter Gaud School (Charleston, SC)",SG,6-5 / 190,96,Vanderbilt
47,Aaron Wiggins,"Aaron WigginsWesleyan Christian (High Point, NC)",SG,6-6 / 180,96,Maryland
48,Brandon Slater,"Brandon SlaterPaul VI Catholic (Fairfax, VA)",SF,6-6 / 180,96,Villanova
49,A.J. Lawson,"A.J. LawsonGTA Prep (Mississauga, ON)",CG,6-6 / 160,96,South Carolina
50,Joey Hauser,"Joey HauserStevens Point Area Senior (Stevens Point, WI)",PF,6-8 / 210,96,Marquette
51,Jerome Hunter,"Jerome HunterPickerington North (Pickerington, OH)",PF,6-7 / 214,96,Indiana
52,Shareef O'Neal,"Shareef O'NealCrossroads School (Los Angeles, CA)",PF,6-9 / 205,96,UCLA
53,Kamaka Hepa,"Kamaka HepaJefferson (Portland, OR)",PF,6-9 / 210,96,Texas
54,Francis Okoro,"Francis OkoroNormal Community West (Normal, IL)",C,6-9 / 225,96,Oregon
55,Joe Wieskamp,"Joe WieskampMuscatine (Muscatine, IA)",SG,6-4 / 170,95,Iowa
56,Robert Woodard,"Robert WoodardColumbus (Columbus, MS)",SF,6-6 / 220,95,Mississippi State
57,David Duke,"David DukeCushing Academy (Providence, RI)",CG,6-3 / 175,95,Providence
58,Cole Swider,"Cole SwiderSt Andrews School (Barrington, RI)",PF,6-7 / 210,95,Villanova
59,Will Richardson,"Will RichardsonOak Hill Academy (Midway, GA)",SG,6-4 / 170,95,Oregon
60,Michael Devoe,"Michael DevoeMontverde Academy (Orlando, FL)",PG,6-4 / 175,95,Georgia Tech
61,Cormac Ryan,"Cormac RyanMilton Academy (NEW YORK CITY, NY)",CG,6-5 / 175,95,Stanford
62,Elias Valtonen,"Elias ValtonenHelsinki Basketball Academy (Finland, FINL)",SG,6-6 / 195,95,Arizona State
63,Jules Bernard,"Jules BernardWindward School (Los Angeles, CA)",SG,6-6 / 190,95,UCLA
64,Khavon Moore,"Khavon MooreWestside (Macon, GA)",SF,6-8 / 187,94,Texas Tech
65,Talen Horton-Tucker,"Talen Horton-TuckerSimeon (Chicago, IL)",SF,6-5 / 210,94,Iowa State
66,David Singleton,"David SingletonBishop Montgomery (Torrance, CA)",SG,6-5 / 205,94,UCLA
67,Devonaire Doutrive,"Devonaire DoutriveBirmingham (Van Nuys, CA)",SG,6-5 / 175,94,Arizona
68,Landers Nolley,"Landers NolleyLangston Hughes (Fairburn, GA)",SF,6-7 / 195,94,Virginia Tech
69,Miles Norris,"Miles NorrisBrewster Academy (Wolfeboro, NH)",PF,6-10 / 190,94,Oregon
70,Darius Days,"Darius DaysThe Rock School (Gainesville, FL)",PF,6-7 / 218,94,LSU
71,Eric Ayala,"Eric AyalaIMG Academy (Bradenton, FL)",CG,6-5 / 180,94,Maryland
72,Noah Kirkwood,"Noah KirkwoodNorthfield Mount Hermon (Northfield, MA)",CG,6-7 / 210,94,Harvard
73,Filip Petrusev,"Filip PetrusevMontverde Academy (Montverde, FL)",C,6-10 / 215,94,Gonzaga
74,Jairus Hamilton,Jairus HamiltonCannon School (),SF,6-8 / 210,94,Boston College
75,Marcus Bingham Jr.,"Marcus Bingham Jr.Catholic Central (Grand Rapids, MI)",PF,6-10 / 195,94,Michigan State
76,Prentiss Hubb,Prentiss HubbGonzaga  (),SG,6-2 / 160,93,Notre Dame
