Rank,Player,High School,Position,Height / Weight,Rating,Team
22,Max Christie,"Max ChristieRolling Meadows (Rolling Meadows, IL)",SG,6-6 / 195,98,Michigan State
23,Trevor Keels,"Trevor KeelsPaul VI Catholic (Fairfax, VA)",SG,6-5 / 210,98,Duke
24,Brandon Huntley-Hatfield,"Brandon Huntley-HatfieldScotland Campus (Scotland, PA)",PF,6-9 / 230,98,Tennessee
25,Aminu Mohammed,"Aminu MohammedGreenwood Laboratory School (Washington, DC)",SG,6-5 / 190,98,Georgetown
26,Nathan Bittle,"Nathan BittleProlific Prep (Napa, CA)",C,6-11 / 200,98,Oregon
27,Matthew Cleveland,"Matthew ClevelandPace Academy (Alpharetta, GA)",SF,6-6 / 190,98,Florida State
28,Bryce McGowens,"Bryce McGowensLegacy Early College (Greenville, SC)",SG,6-6 / 175,98,Nebraska
29,Enoch Boakye,"Enoch BoakyeGeorge Harris Prep (Mississauga, ON)",C,6-10 / 240,98,Arizona State
30,Tamar Bates,"Tamar BatesIMG Academy (Bradenton, FL)",SG,6-4 / 175,97,Indiana
31,Kowacie Reeves,"Kowacie ReevesWestside (Macon, GA)",SG,6-6 / 170,97,Florida
32,Efton Reid,"Efton ReidIMG Academy (Bradenton, FL)",C,6-11 / 225,97,LSU
33,Charles Bediako,"Charles BediakoIMG Academy (Bradenton, FL)",C,6-11 / 215,97,Alabama
34,Jalen Warley,"Jalen WarleyWesttown School (Norristown, PA)",CG,6-4 / 175,97,Florida State
35,Malaki Branham,"Malaki BranhamSt. Vincent-St. Mary (Akron, OH)",SG,6-4 / 175,97,Ohio State
36,Jaylon Tyson,"Jaylon TysonJohn Paul II (Plano, TX)",SF,6-6 / 185,97,Texas
37,Manny Obaseki,"Manny ObasekiJohn Paul II (Allen, TX)",SG,6-4 / 175,97,Texas A&M
38,Langston Love,"Langston LoveMontverde Academy (San Antonio, TX)",SG,6-4 / 190,97,Baylor
39,Josh Minott,"Josh MinottSt Andrew's School (Boca Raton, FL)",SF,6-8 / 175,97,Memphis
40,Tyrese Hunter,"Tyrese HunterSt Catherines (Racine, WI)",PG,6-1 / 175,96,Iowa State
41,Benny Williams,"Benny WilliamsIMG Academy (Bradenton, FL)",SF,6-8 / 180,96,Syracuse
42,Mouhamed Gueye,"Mouhamed GueyeProlific Prep (Napa, CA)",PF,6-11 / 205,96,Washington State
43,Jordan Longino,"Jordan LonginoGermantown Academy (Fort Washington, PA)",SG,6-5 / 195,96,Villanova
44,Bryce Hopkins,"Bryce HopkinsFenwick (Oak Park, IL)",PF,6-7 / 220,96,Kentucky
45,Kobe Bufkin,"Kobe BufkinGrand Rapids Christian (Grand Rapids, MI)",CG,6-4 / 175,96,Michigan
46,Nolan Hickman,"Nolan HickmanWasatch Academy (Mount Pleasant, UT)",PG,6-2 / 185,96,Gonzaga
47,Jonas Aidoo,"Jonas AidooLiberty Heights Athletic Institute (Charlotte, NC)",C,6-11 / 215,96,Tennessee
48,Julian Reese,"Julian ReeseSt. Frances Academy (Owings Mills, MD)",PF,6-9 / 230,96,Maryland
49,Arthur Kaluma,"Arthur KalumaDream City Christian (Glendale, AZ)",PF,6-8 / 205,95,Creighton
50,Trey Kaufman,"Trey KaufmanSilver Creek (Sellersburg, IN)",PF,6-8 / 210,95,Purdue
51,Jeremy Sochan,"Jeremy SochanOrange Academy (Germany, GERM)",PF,6-8 / 215,95,Baylor
52,Kaden Perry,"Kaden PerryBattle Ground (Battle Ground, WA)",C,6-8 / 210,95,Gonzaga
53,Frankie Collins,"Frankie CollinsCoronado (Henderson, NV)",PG,6-1 / 180,95,Michigan
54,DaRon Holmes,"DaRon HolmesMontverde Academy (Montverde, FL)",PF,6-8 / 195,95,Dayton
55,Jordan Hawkins,"Jordan HawkinsDeMatha Catholic (Hyattsville, MD)",SG,6-5 / 170,95,Connecticut
56,Dominick Barlow,"Dominick BarlowBridgton Academy (Dumont, NJ)",PF,6-9 / 205,95,Professional
57,Jahmai Mashack,"Jahmai MashackEtiwanda (Rancho Cucamonga, CA)",SF,6-5 / 190,95,Tennessee
58,Samson Johnson,"Samson JohnsonSt. Patrick (Elizabeth, NJ)",C,6-10 / 205,95,Connecticut
59,Lawson Lovering,"Lawson LoveringCheyenne Central (Cheyenne, WY)",C,7-0 / 220,95,Colorado
60,Ernest Ross,"Ernest RossSanta Fe (Alachua, FL)",PF,6-9 / 210,95,NC State
61,Daeshun Ruffin,"Daeshun RuffinCallaway (Jackson, MS)",PG,5-9 / 160,95,Ole Miss
62,Rahsool Diggins,"Rahsool DigginsArchbishop Wood (Philadelphia, PA)",PG,6-1 / 160,95,Connecticut
63,Dontrez Styles,"Dontrez StylesKinston (Kinston, NC)",SF,6-7 / 205,95,North Carolina
64,Pierre Brooks,"Pierre BrooksDouglass Academy (Detroit, MI)",SF,6-6 / 205,94,Michigan State
65,Will McClendon,"Will McClendonBishop Gorman (Las Vegas, NV)",SG,6-3 / 190,94,UCLA
66,Jaden Akins,"Jaden AkinsYpsi Prep Academy (Ypsilanti, MI)",PG,6-3 / 160,94,Michigan State
67,Caleb Furst,"Caleb FurstBlackhawk Christian School (Fort Wayne, IN)",PF,6-8 / 215,94,Purdue
68,Logan Duncomb,"Logan DuncombArchbishop Moeller (Cincinnati, OH)",C,6-9 / 235,94,Indiana
69,Ryan Nembhard,"Ryan NembhardMontverde Academy (Montverde, FL)",PG,6-1 / 165,94,Creighton
70,Justice Williams,"Justice WilliamsMontverde Academy (Philadelphia, PA)",SG,6-3 / 170,93,LSU
71,John Butler,"John ButlerChrist Church Episcopal School (Greenville, SC)",C,7-1 / 190,93,Florida State
72,Brandin Podziemski,"Brandin PodziemskiSt. John's Northwestern Academies (Delafield, WI)",SG,6-5 / 195,93,Illinois
73,Zach Clemence,"Zach ClemenceSunrise Christian (San Antonio, TX)",PF,6-9 / 210,93,Kansas
74,Taine Murray,"Taine MurrayNew Zealand (New Zealand, NEW )",SG,6-5 / 190,93,Virginia
75,Isael Silva,"Isael SilvaProlific Prep (Sacramento, CA)",PG,6-3 / 185,93,Stanford
76,Mason Miller,"Mason MillerHouston (Germantown, TN)",PF,6-9 / 180,93,Creighton
77,Fanbo Zeng,"Fanbo ZengWindermere Prep (Windermere, FL)",PF,6-9 / 190,93,Professional
78,Wesley Cardet,"Wesley CardetWest Oaks Academy (Orlando, FL)",SF,6-6 / 175,93,Samford
79,Terquavion Smith,"Terquavion SmithFarmville Central (Farmville, NC)",SG,6-3 / 180,93,NC State
80,Zion Harmon,"Zion HarmonMarshall County (Benton, KY)",PG,5-10 / 160,93,Western Kentucky
81,Malik Thomas,"Malik ThomasDamien (La Verne, CA)",CG,6-3 / 190,93,USC
82,Dallan Coleman,"Dallan ColemanWest Nassau County (Callahan, FL)",SG,6-6 / 210,93,Georgia Tech
83,Jakai Robinson,"Jakai RobinsonRock Creek Christian Academy (Upper Marlboro, MD)",SF,6-4 / 200,93,Miami
84,David Joplin,"David JoplinBrookfield Central (Brookfield, WI)",PF,6-7 / 215,93,Marquette
85,KJ Adams,"KJ AdamsWestlake (Austin, TX)",PF,6-7 / 200,93,Kansas
86,Emarion Ellis,"Emarion EllisAssumption (Davenport, IA)",CG,6-5 / 175,93,Marquette
87,Devin Carter,"Devin CarterBrewster Academy (Wolfeboro, NH)",CG,6-4 / 175,93,South Carolina
88,Roosevelt Wheeler,"Roosevelt WheelerJohn Marshall (Richmond, VA)",C,6-10 / 220,92,Louisville
89,Trey Alexander,"Trey AlexanderHeritage Hall (Oklahoma City, OK)",SG,6-4 / 185,92,Creighton
90,D'Marco Dunn,"D'Marco DunnWestover (Fayetteville, NC)",SG,6-4 / 180,92,North Carolina
91,Ike Cornish,"Ike CornishLegacy Early College (Baltimore, MD)",SF,6-6 / 185,92,Maryland
92,Brandon Murray,"Brandon MurrayIMG Academy (Bradenton, FL)",SG,6-5 / 200,92,LSU
93,CJ Noland,"CJ NolandWaxahachie (Waxahachie, TX)",SG,6-3 / 215,92,Oklahoma
94,Bobby Pettiford,"Bobby PettifordSouth Granville Of Business And Global Commun (Durham, NC)",PG,6-1 / 175,92,Kansas
95,K.J. Simpson,"K.J. SimpsonChaminade (West Hills, CA)",CG,6-2 / 175,92,Colorado
96,Jusaun Holt,"Jusaun HoltSt Francis Day School (Roswell, GA)",SF,6-6 / 200,92,Alabama
97,Jackson Grant,"Jackson GrantOlympia (Olympia, WA)",C,6-9 / 205,91,Washington
98,Michael James,"Michael JamesOak Ridge (Orlando, FL)",SF,6-6 / 195,91,Louisville
99,Cameron Hildreth,"Cameron HildrethEngland (England, ENGL)",SG,6-4 / 180,91,Wake Forest
100,Corey Floyd Jr.,"Corey Floyd Jr.Roselle Catholic (Roselle, NJ)",SG,6-4 / 190,91,Connecticut
101,Tucker DeVries,"Tucker DeVriesWaukee (Waukee, IA)",SF,6-6 / 190,91,Drake
102,Shane Nowell,"Shane NowellEastside Catholic (Seattle, WA)",SG,6-5 / 190,91,Arizona
103,Miles Kelly,"Miles KellyHargrave Military Academy (HS) (Chatham, VA)",SG,6-5 / 175,91,Georgia Tech
104,Marsalis Roberson,"Marsalis RobersonBishop O'Dowd (Oakland, CA)",SG,6-5 / 180,91,California
105,Brandon Weston,"Brandon WestonHillcrest Prep (Phoenix, AZ)",SF,6-5 / 195,91,Seton Hall
106,Quincy Allen,"Quincy AllenMaret School (Washington, DC)",SF,6-7 / 190,91,Colorado
107,Kameron Jones,"Kameron JonesEvangelical Christian (Cordova, TN)",SG,6-4 / 180,91,Marquette
108,Jerrell Colbert,"Jerrell ColbertHouston (Germantown, TN)",C,6-9 / 210,91,LSU
109,Kyle Cuffe Jr.,"Kyle Cuffe Jr.Blair Academy (Blairstown, NJ)",SG,6-2 / 180,91,Kansas
110,Ahamad Bynum,"Ahamad BynumSimeon (Chicago, IL)",SG,6-1 / 175,91,DePaul
111,Cesare Edwards,"Cesare EdwardsHartsville (Hartsville, SC)",C,6-10 / 205,91,Xavier
112,Ryan Mutombo,"Ryan MutomboLovett School (Atlanta, GA)",C,6-11 / 235,91,Georgetown
113,Isaiah Barnes,"Isaiah BarnesSimeon (Chicago, IL)",SF,6-6 / 180,90,Michigan
114,Chucky Hepburn,"Chucky HepburnBellevue West (Bellevue, NE)",PG,6-1 / 185,90,Wisconsin
115,Stevie Mitchell,"Stevie MitchellWilson (Reading, PA)",PG,6-2 / 175,90,Marquette
116,Wade Taylor,"Wade TaylorLancaster (Lancaster, TX)",PG,5-10 / 180,90,Texas A&M
117,Blake Wesley,"Blake WesleyRiley (South Bend, IN)",SG,6-4 / 170,90,Notre Dame
118,Alex Karaban,"Alex KarabanIMG Academy (Bradenton, FL)",PF,6-7 / 190,90,Connecticut
119,Nnanna Njoku,"Nnanna NjokuSanford School (Hockessin, DE)",C,6-9 / 245,90,Villanova
120,Elijah Tucker,"Elijah TuckerCherokee (Canton, GA)",PF,6-7 / 190,90,Xavier
121,Chance Moore,"Chance MooreMcEachern (Powder Springs, GA)",SG,6-5 / 195,90,Arkansas
122,Gianni Thompson,"Gianni ThompsonBrimmer And May School (Chestnut Hill, MA)",PF,6-8 / 205,90,Boston College
123,Wooga Poplar,"Wooga PoplarMath Civics And Sciences Cs (Philadelphia, PA)",SG,6-4 / 180,90,Miami
124,RJ Melendez,"RJ MelendezCentral Pointe Christian (Kissimmee, FL)",SF,6-7 / 190,90,Illinois
125,Justyn Fernandez,"Justyn FernandezIMG Academy (Bradenton, FL)",SF,6-5 / 200,90,George Mason
126,Ramon Walker,"Ramon WalkerShadow Creek (Pearland, TX)",SF,6-5 / 195,90,Houston
127,Sam Ayomide Onu,"Sam Ayomide OnuThe Phelps School (Malvern, PA)",C,6-11 / 255,90,Memphis
128,Breon Pass,"Breon PassReidsville (Reidsville, NC)",PG,6-0 / 175,90,NC State
129,Bensley Joseph,"Bensley JosephPutnam Science Academy (Putnam, CT)",PG,6-1 / 165,90,Miami
130,Casey Simmons,"Casey SimmonsMilton Academy (Milton, MA)",SG,6-5 / 170,90,Northwestern
131,Adama Bal,"Adama BalINSEP Paris (Paris, FR)",CG,6-6 / 180,90,Arizona
132,Javon Ruffin,"Javon RuffinIsidore Newman (New Orleans, LA)",SG,6-5 / 195,89,Colorado
133,Shane Dezonie,"Shane DezonieBrewster Academy (Tobyhanna, PA)",SG,6-4 / 190,89,Vanderbilt
134,Glenn Taylor Jr.,"Glenn Taylor Jr.Compass Prep (Chandler, AZ)",SF,6-6 / 190,89,Oregon State
135,Kok Yat,"Kok YatNorcross (Norcross, GA)",PF,6-8 / 185,89,Professional
136,"Mike Mitchell, Jr.","Mike Mitchell, Jr.Archbishop Mitty (San Jose, CA)",PG,6-2 / 175,89,Pepperdine
137,Sean Pedulla,"Sean PedullaMemorial (Edmond, OK)",CG,6-1 / 175,89,Virginia Tech
138,Jordan Riley,"Jordan RileyBrentwood (Brentwood, NY)",SG,6-4 / 195,89,Georgetown
139,Jacobi Wright,"Jacobi WrightLegacy Early College (Greenville, SC)",CG,6-2 / 170,89,South Carolina
140,Tyler Powell,"Tyler PowellRibet Academy (Los Angeles, CA)",SF,6-5 / 210,89,Seton Hall
141,Stefan Todorovic,"Stefan TodorovicProlific Prep (Napa, CA)",SF,6-8 / 190,89,SMU
142,Rafael Castro,"Rafael CastroDover (Dover, NJ)",PF,6-9 / 200,89,Providence
143,Luke Goode,"Luke GoodeHomestead (Fort Wayne, IN)",SF,6-7 / 200,89,Illinois
144,Ja'Vier Francis,"Ja'Vier FrancisMontverde Academy (Montverde, FL)",C,6-8 / 200,89,Houston
145,Brooks Barnhizer,"Brooks BarnhizerJefferson (Lafayette, IN)",SF,6-6 / 200,89,Northwestern
146,Jayden Nunn,"Jayden NunnDream City Christian (Flint, MI)",PG,6-4 / 190,89,VCU
147,Joshua Beadle,"Joshua BeadleCardinal Newman School (Columbia, SC)",CG,6-3 / 168,89,Clemson
148,Payton Sandfort,"Payton SandfortWaukee (Waukee, IA)",PF,6-8 / 210,89,Iowa
149,Markus Ilver,"Markus IlverWestern Reserve Academy (Hudson, OH)",PF,6-8 / 195,89,Wisconsin
150,Darius Johnson,"Darius JohnsonEpiscopal (Alexandria, VA)",PG,6-0 / 180,89,UCF
