Rank,Player,High School,Position,Height / Weight,Rating,Team
1,Chet Holmgren,"Chet HolmgrenMinnehaha Academy (Minneapolis, MN)",C,7-0 / 190,100,Gonzaga
2,Paolo Banchero,"Paolo BancheroO Dea (Seattle, WA)",PF,6-9 / 235,99,Duke
3,Shaedon Sharpe,"Shaedon SharpeDream City Christian (Glendale, AZ)",SG,6-5 / 185,99,Kentucky
4,Jaden Hardy,"Jaden HardyCoronado (Henderson, NV)",CG,6-4 / 190,99,Professional
5,Jalen Duren,"Jalen DurenMontverde Academy (Montverde, FL)",C,6-10 / 230,99,Memphis
6,Emoni Bates,"Emoni BatesYpsi Prep Academy (Ypsilanti, MI)",SF,6-8 / 200,99,Memphis
7,Jabari Smith,"Jabari SmithSandy Creek (Tyrone, GA)",PF,6-10 / 210,99,Auburn
8,Patrick Baldwin Jr.,"Patrick Baldwin Jr.Hamilton (Sussex, WI)",SF,6-9 / 190,99,Wisconsin-Milwaukee
9,Peyton Watson,"Peyton WatsonLong Beach Poly (Long Beach, CA)",SF,6-8 / 190,99,UCLA
10,Hunter Sallis,"Hunter SallisMillard North (Omaha, NE)",CG,6-5 / 175,99,Gonzaga
11,Kennedy Chandler,"Kennedy ChandlerSunrise Christian (Wichita, KS)",PG,6-1 / 165,98,Tennessee
12,AJ Griffin,"AJ GriffinArchbishop Stepinac (White Plains, NY)",SF,6-7 / 200,98,Duke
13,Scoot Henderson,"Scoot HendersonKell (Marietta, GA)",PG,6-3 / 180,98,Professional
14,Daimion Collins,"Daimion CollinsAtlanta (Atlanta, TX)",PF,6-9 / 210,98,Kentucky
15,Caleb Houstan,"Caleb HoustanMontverde Academy (Montverde, FL)",PF,6-8 / 205,98,Michigan
16,Moussa Diabate,"Moussa DiabateIMG Academy (Bradenton, FL)",PF,6-10 / 215,98,Michigan
17,JD Davison,"JD DavisonCalhoun Sch (Letohatchee, AL)",PG,6-3 / 175,98,Alabama
18,Kendall Brown,"Kendall BrownSunrise Christian (Wichita, KS)",SF,6-8 / 205,98,Baylor
19,Harrison Ingram,"Harrison IngramSt. Mark's (Dallas, TX)",SF,6-7 / 210,98,Stanford
20,TyTy Washington,"TyTy WashingtonCompass Prep (Chandler, AZ)",PG,6-3 / 185,98,Kentucky
21,Michael Foster,"Michael FosterHillcrest Prep (Phoenix, AZ)",PF,6-9 / 220,98,Professional
